Date,Precipitation
19810616,0
19810617,0
19810618,0
19810619,0
19810620,0
19810621,0
19810622,0
19810623,9999
19810624,10
19810625,3
19810626,30
19810627,30
19810628,25
19810629,61
19810630,0
19810701,0
19810702,30
19810703,9999
19810704,5
19810705,249
19810706,5
19810707,3
19810708,10
19810709,9999
19810710,9999
19810711,41
19810712,0
19810713,0
19810714,0
19810715,30
19810716,0
19810717,10
19810718,0
19810719,9999
19810720,140
19810721,9999
19810722,20
19810723,36
19810724,9999
19810725,0
19810726,0
19810727,0
19810728,191
19810729,64
19810730,30
19810731,150
19810801,160
19810802,61
19810803,79
19810804,3
19810805,3
19810806,173
19810807,0
19810808,0
19810809,0
19810810,0
19810811,20
19810812,0
19810813,0
19810814,5
19810815,3
19810816,51
19810817,25
19810818,61
19810819,5
19810820,0
19810821,23
19810822,3
19810823,3
19810824,10
19810825,0
19810826,25
19810827,0
19810828,0
19810829,0
19810830,8
19810831,0
19810901,9999
19810902,0
19810903,3
19810904,0
19810905,3
19810906,89
19810907,10
19810908,10
19810909,0
19810910,0
19810911,0
19810912,10
19810913,0
19810914,0
19810915,9999
19810916,0
19810917,0
19810918,0
19810919,0
19810920,0
19810921,0
19810922,0
19810923,0
19810924,0
19810925,0
19810926,61
19810927,30
19810928,41
19810929,0
19810930,160
19811001,10
19811002,51
19811003,15
19811004,23
19811005,89
19811006,41
19811007,5
19811008,0
19811009,3
19811010,0
19811011,51
19811012,30
19811013,9999
19811014,0
19811015,0
19811016,3
19811017,3
19811018,0
19811019,3
19811020,10
19811021,5
19811022,541
19811023,0
19811024,3
19811025,0
19811026,0
19811027,9999
19811028,0
19811029,5
19811030,5
19811031,0
19811101,0
19811102,0
19811103,0
19811104,20
19811105,5
19811106,13
19811107,0
19811108,9999
19811109,0
19811110,0
19811111,5
19811112,5
19811113,0
19811114,0
19811115,0
19811116,0
19811117,0
19811118,0
19811119,13
19811120,0
19811121,20
19811122,30
19811123,3
19811124,15
19811125,20
19811126,0
19811127,3
19811128,5
19811129,23
19811130,0
19811201,0
19811202,3
19811203,5
19811204,30
19811205,0
19811206,0
19811207,0
19811208,0
19811209,0
19811210,9999
19811211,5
19811212,0
19811214,9999
19811215,0
19811216,0
19811217,0
19811218,3
19811219,0
19811220,0
19811221,0
19811222,0
19811223,3
19811224,0
19811225,0
19811226,9999
19811227,3
19811228,3
19811229,3
19811230,23
19811231,0
