Date,Precipitation
19320615,0
19320616,0
19320617,0
19320618,0
19320619,0
19320620,50
19320621,21
19320622,55
19320623,0
19320624,0
19320625,6
19320626,0
19320627,0
19320628,0
19320629,0
19320630,0
19320701,20
19320702,0
19320703,0
19320704,0
19320705,0
19320706,117
19320707,0
19320708,0
19320709,0
19320710,0
19320711,0
19320712,3
19320713,71
19320714,0
19320715,0
19320716,38
19320717,68
19320718,14
19320719,0
19320720,0
19320721,0
19320722,0
19320723,0
19320724,0
19320725,0
19320726,95
19320727,100
19320728,0
19320729,0
19320730,49
19320731,12
19320801,90
19320802,0
19320803,32
19320804,0
19320805,12
19320806,0
19320807,0
19320808,0
19320809,0
19320810,0
19320811,0
19320812,29
19320813,0
19320814,110
19320815,0
19320816,33
19320817,0
19320818,0
19320819,85
19320820,0
19320821,45
19320822,0
19320823,0
19320824,0
19320825,0
19320826,0
19320827,0
19320828,0
19320829,0
19320830,43
19320831,4
19320901,120
19320902,172
19320903,80
19320904,24
19320905,10
19320906,260
19320907,2
19320908,0
19320909,17
19320910,103
19320911,195
19320912,28
19320913,0
19320914,0
19320915,0
19320916,0
19320917,0
19320918,7
19320919,9
19320920,11
19320921,6
19320922,17
19320923,27
19320924,40
19320925,151
19320926,8
19320927,51
19320928,0
19320929,0
19320930,65
19321001,114
19321002,129
19321003,0
19321004,40
19321005,53
19321006,0
19321007,58
19321008,39
19321009,0
19321010,0
19321011,0
19321012,0
19321013,337
19321014,132
19321015,23
19321016,85
19321017,103
19321018,88
19321019,37
19321020,64
19321021,33
19321022,0
19321023,58
19321024,2
19321025,119
19321026,43
19321027,23
19321028,0
19321029,54
19321030,25
19321031,0
19321101,87
19321102,22
19321103,19
19321104,12
19321105,0
19321106,0
19321107,0
19321108,22
19321109,49
19321110,0
19321111,0
19321112,0
19321113,0
19321114,0
19321115,0
19321116,0
19321117,0
19321118,0
19321119,0
19321120,62
19321121,19
19321122,53
19321123,57
19321124,42
19321125,14
19321126,32
19321127,41
19321128,0
19321129,0
19321130,0
19321201,0
19321202,18
19321203,23
19321204,2
19321205,45
19321206,18
19321207,0
19321208,0
19321209,0
19321210,0
19321211,0
19321212,0
19321213,0
19321214,0
19321215,8
19321216,0
19321217,0
19321218,0
19321219,0
19321220,0
19321221,0
19321222,0
19321223,0
19321224,0
19321225,0
19321226,0
19321227,0
19321228,0
19321229,0
19321230,43
19321231,3
19330101,13
19330102,7
19330103,3
19330104,0
19330105,58
19330106,37
19330107,27
19330108,41
19330109,0
19330110,0
19330111,1
19330112,0
19330113,0
19330114,0
19330115,0
19330116,2
19330117,21
19330118,3
19330119,53
19330120,0
19330121,3
19330122,21
19330123,0
19330124,0
19330125,0
19330126,0
19330127,5
19330128,0
19330129,0
19330130,37
19330131,1
19330201,165
19330202,3
19330203,25
19330204,64
19330205,52
19330206,3
19330207,13
19330208,0
19330209,0
19330210,0
19330211,0
19330212,0
19330213,9
19330214,0
19330215,0
19330216,40
19330217,0
19330218,16
19330219,0
19330220,17
19330221,47
19330222,2
19330223,0
19330224,0
19330225,0
19330226,0
19330227,0
19330228,0
19330301,0
19330302,21
19330303,157
19330304,94
19330305,0
19330306,0
19330307,17
19330308,0
19330309,0
19330310,0
19330311,0
19330312,0
19330313,0
19330314,10
19330315,0
19330316,198
19330317,46
19330318,0
19330319,60
19330320,30
19330321,0
19330322,0
19330323,0
19330324,0
19330325,0
19330326,0
19330327,0
19330328,0
19330329,0
19330330,0
19330331,8
19330401,42
19330402,46
19330403,19
19330404,0
19330405,0
19330406,0
19330407,0
19330408,0
19330409,1
19330410,0
19330411,0
19330412,0
19330413,0
19330414,0
19330415,38
19330416,0
19330417,0
19330418,0
19330419,0
19330420,0
19330421,0
19330422,0
19330423,0
19330424,0
19330425,0
19330426,0
19330427,0
19330428,0
19330429,9
19330430,0
19330501,0
19330502,0
19330503,0
19330504,0
19330505,36
19330506,132
19330507,60
19330508,0
19330509,8
19330510,20
19330511,0
19330512,0
19330513,86
19330514,4
19330515,6
19330516,0
19330517,0
19330518,0
19330519,0
19330520,0
19330521,0
19330522,0
19330523,0
19330524,0
19330525,0
19330526,0
19330527,0
19330528,0
19330529,0
19330530,8
19330531,66
19330601,0
19330602,0
19330603,0
19330604,0
19330605,0
19330606,0
19330607,0
19330608,0
19330609,0
19330610,0
19330611,25
19330612,0
19330613,0
19330614,0
19330615,0
19330616,0
19330617,60
19330618,0
19330619,6
19330620,0
19330621,86
19330622,404
19330623,0
19330624,0
19330625,0
19330626,0
19330627,47
19330628,40
19330629,2
19330630,0
19330701,0
19330702,0
19330703,0
19330704,0
19330705,0
19330706,0
19330707,0
19330708,0
19330709,72
19330710,0
19330711,79
19330712,46
19330713,76
19330714,43
19330715,0
19330716,0
19330717,0
19330718,0
19330719,0
19330720,0
19330721,0
19330722,0
19330723,0
19330724,6
19330725,0
19330726,0
19330727,35
19330728,1
19330729,15
19330730,0
19330731,50
19330801,0
19330802,0
19330803,0
19330804,0
19330805,0
19330806,0
19330807,5
19330808,0
19330809,0
19330810,0
19330811,0
19330812,0
19330813,0
19330814,0
19330815,0
19330816,118
19330817,61
19330818,37
19330819,88
19330820,28
19330821,250
19330822,140
19330823,270
19330824,0
19330825,0
19330826,0
19330827,0
19330828,0
19330829,0
19330830,0
19330831,0
19330901,10
19330902,104
19330903,0
19330904,0
19330905,0
19330906,0
19330907,0
19330908,0
19330909,0
19330910,0
19330911,0
19330912,0
19330913,41
19330914,10
19330915,0
19330916,0
19330917,0
19330918,0
19330919,0
19330920,0
19330921,0
19330922,0
19330923,11
19330924,0
19330925,0
19330926,0
19330927,0
19330928,0
19330929,0
19330930,0
19331001,0
19331002,7
19331003,0
19331004,0
19331005,0
19331006,0
19331007,0
19331008,125
19331009,1
19331010,7
19331011,53
19331012,42
19331013,9
19331014,0
19331015,260
19331016,96
19331017,0
19331018,3
19331019,40
19331020,159
19331021,25
19331022,0
19331023,0
19331024,0
19331025,30
19331026,0
19331027,82
19331028,0
19331029,63
19331030,0
19331031,175
19331101,3
19331102,0
19331103,0
19331104,0
19331105,16
19331106,17
19331107,0
19331108,0
19331109,0
19331110,0
19331111,0
19331112,0
19331113,0
19331114,0
19331115,0
19331116,0
19331117,0
19331118,9
19331119,0
19331120,0
19331121,0
19331122,0
19331123,20
19331124,0
19331125,2
19331126,0
19331127,0
19331128,0
19331129,0
19331130,0
19331201,0
19331202,0
19331203,0
19331204,0
19331205,0
19331206,0
19331207,0
19331208,0
19331209,0
19331210,0
19331211,0
19331212,0
19331213,0
19331214,29
19331215,0
19331216,0
19331217,2
19331218,3
19331219,0
19331220,0
19331221,0
19331222,0
19331223,28
19331224,37
19331225,0
19331226,48
19331227,70
19331228,0
19331229,0
19331230,25
19331231,0
19340101,0
19340102,0
19340103,0
19340104,31
19340105,0
19340106,0
19340107,6
19340108,0
19340109,0
19340110,1
19340111,0
19340112,77
19340113,5
19340114,66
19340115,11
19340116,0
19340117,98
19340118,8
19340119,0
19340120,0
19340121,0
19340122,0
19340123,0
19340124,0
19340125,0
19340126,4
19340127,0
19340128,0
19340129,18
19340130,3
19340131,5
19340201,0
19340202,20
19340203,0
19340204,1
19340205,0
19340206,0
19340207,5
19340208,0
19340209,0
19340210,0
19340211,46
19340212,0
19340213,0
19340214,0
19340215,0
19340216,0
19340217,0
19340218,1
19340219,2
19340220,3
19340221,11
19340222,0
19340223,0
19340224,0
19340225,55
19340226,0
19340227,0
19340228,0
19340301,0
19340302,30
19340303,0
19340304,8
19340305,5
19340306,4
19340307,73
19340308,0
19340309,0
19340310,0
19340311,44
19340312,132
19340313,49
19340314,25
19340315,7
19340316,38
19340317,76
19340318,75
19340319,0
19340320,24
19340321,23
19340322,2
19340323,0
19340324,0
19340325,14
19340326,0
19340327,1
19340328,0
19340329,0
19340330,65
19340331,0
19340401,0
19340402,0
19340403,0
19340404,0
19340405,0
19340406,0
19340407,0
19340408,0
19340409,0
19340410,20
19340411,0
19340412,45
19340413,4
19340414,0
19340415,0
19340416,0
19340417,20
19340418,95
19340419,21
19340420,0
19340421,0
19340422,0
19340423,35
19340424,5
19340425,0
19340426,36
19340427,0
19340428,55
19340429,0
19340430,0
19340501,1
19340502,0
19340503,5
19340504,0
19340505,0
19340506,0
19340507,150
19340508,0
19340509,0
19340510,0
19340511,0
19340512,0
19340513,14
19340514,58
19340515,16
19340516,111
19340517,28
19340518,0
19340519,0
19340520,3
19340521,5
19340522,0
19340523,0
19340524,0
19340525,48
19340526,11
19340527,7
19340528,0
19340529,0
19340530,0
19340531,0
19340601,0
19340602,0
19340603,0
19340604,0
19340605,22
19340606,0
19340607,0
19340608,0
19340609,0
19340610,0
19340611,0
19340612,0
19340613,0
19340614,0
19340615,0
19340616,0
19340617,0
19340618,0
19340619,2
19340620,0
19340621,10
19340622,23
19340623,0
19340624,0
19340625,138
19340626,0
19340627,0
19340628,95
19340629,0
19340630,0
19340701,0
19340702,0
19340703,0
19340704,0
19340705,0
19340706,0
19340707,0
19340708,0
19340709,0
19340710,0
19340711,0
19340712,0
19340713,37
19340714,3
19340715,0
19340716,0
19340717,0
19340718,0
19340719,16
19340720,0
19340721,0
19340722,0
19340723,0
19340724,0
19340725,0
19340726,21
19340727,9
19340728,190
19340729,14
19340730,0
19340731,217
19340801,4
19340802,233
19340803,0
19340804,27
19340805,0
19340806,5
19340807,0
19340808,0
19340809,0
19340810,64
19340811,39
19340812,373
19340813,1
19340814,0
19340815,0
19340816,0
19340817,0
19340818,0
19340819,0
19340820,0
19340821,0
19340822,10
19340823,0
19340824,14
19340825,0
19340826,0
19340827,0
19340828,0
19340829,3
19340830,31
19340831,0
19340901,140
19340902,0
19340903,0
19340904,138
19340905,58
19340906,0
19340907,0
19340908,0
19340909,9
19340910,0
19340911,0
19340912,0
19340913,0
19340914,0
19340915,0
19340916,18
19340917,0
19340918,50
19340919,22
19340920,18
19340921,0
19340922,120
19340923,194
19340924,66
19340925,1
19340926,6
19340927,0
19340928,0
19340929,0
19340930,23
19341001,66
19341002,102
19341003,0
19341004,43
19341005,28
19341006,0
19341007,27
19341008,23
19341009,198
19341010,21
19341011,9
19341012,129
19341013,0
19341014,46
19341015,14
19341016,52
19341017,0
19341018,0
19341019,59
19341020,40
19341021,60
19341022,48
19341023,16
19341024,27
19341025,38
19341026,14
19341027,83
19341028,69
19341029,124
19341030,0
19341031,126
19341101,108
19341102,99
19341103,44
19341104,133
19341105,0
19341106,16
19341107,400
19341108,0
19341109,0
19341110,0
19341111,0
19341112,36
19341113,3
19341114,0
19341115,0
19341116,0
19341117,0
19341118,0
19341119,0
19341120,12
19341121,0
19341122,0
19341123,2
19341124,0
19341125,0
19341126,0
19341127,0
19341128,0
19341129,13
19341130,0
19341201,0
19341202,105
19341203,7
19341204,80
19341205,37
19341206,90
19341207,9
19341208,0
19341209,23
19341210,93
19341211,23
19341212,3
19341213,34
19341214,16
19341215,6
19341216,47
19341217,0
19341218,0
19341219,0
19341220,0
19341221,0
19341222,0
19341223,0
19341224,32
19341225,0
19341226,25
19341227,0
19341228,3
19341229,44
19341230,20
19341231,10
19350101,0
19350102,0
19350103,22
19350104,5
19350105,0
19350106,20
19350107,0
19350108,0
19350109,0
19350110,0
19350111,15
19350112,11
19350113,40
19350114,0
19350115,8
19350116,0
19350117,0
19350118,0
19350119,0
19350120,0
