Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Lincoln,4881,H32641,-43.648,172.463,11,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Rain: Daily
Station,Date(UTC),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
4881,18810101:2100,0.0,-,-,-,24,D
4881,18810102:2100,0.0,-,-,-,24,D
4881,18810103:2100,0.0,-,-,-,24,D
4881,18810104:2100,4.1,-,-,-,24,D
4881,18810105:2100,0.0,-,-,-,24,D
4881,18810106:2100,0.0,-,-,-,24,D
4881,18810107:2100,0.0,-,-,-,24,D
4881,18810108:2100,0.0,-,-,-,24,D
4881,18810109:2100,0.0,-,-,-,24,D
4881,18810110:2100,0.0,-,-,-,24,D
4881,18810111:2100,0.0,-,-,-,24,D
4881,18810112:2100,0.0,-,-,-,24,D
4881,18810113:2100,0.0,-,-,-,24,D
4881,18810114:2100,0.0,-,-,-,24,D
4881,18810115:2100,0.0,-,-,-,24,D
4881,18810116:2100,0.0,-,-,-,24,D
4881,18810117:2100,0.0,-,-,-,24,D
4881,18810118:2100,1.3,-,-,-,24,D
4881,18810119:2100,34.8,-,-,-,24,D
4881,18810120:2100,4.6,-,-,-,24,D
4881,18810121:2100,0.0,-,-,-,24,D
4881,18810122:2100,0.0,-,-,-,24,D
4881,18810123:2100,0.0,-,-,-,24,D
4881,18810124:2100,0.0,-,-,-,24,D
4881,18810125:2100,0.0,-,-,-,24,D
4881,18810126:2100,0.0,-,-,-,24,D
4881,18810127:2100,0.0,-,-,-,24,D
4881,18810128:2100,0.0,-,-,-,24,D
4881,18810129:2100,0.0,-,-,-,24,D
4881,18810130:2100,0.0,-,-,-,24,D
4881,18810131:2100,0.0,-,-,-,24,D
4881,18810201:2100,0.0,-,-,-,24,D
4881,18810202:2100,0.0,-,-,-,24,D
4881,18810203:2100,0.0,-,-,-,24,D
4881,18810204:2100,0.0,-,-,-,24,D
4881,18810205:2100,3.6,-,-,-,24,D
4881,18810206:2100,0.0,-,-,-,24,D
4881,18810207:2100,0.0,-,-,-,24,D
4881,18810208:2100,0.0,-,-,-,24,D
4881,18810209:2100,0.0,-,-,-,24,D
4881,18810210:2100,0.3,-,-,-,24,D
4881,18810211:2100,0.0,-,-,-,24,D
4881,18810212:2100,0.0,-,-,-,24,D
4881,18810213:2100,0.0,-,-,-,24,D
4881,18810214:2100,0.0,-,-,-,24,D
4881,18810215:2100,0.0,-,-,-,24,D
4881,18810216:2100,0.0,-,-,-,24,D
4881,18810217:2100,0.5,-,-,-,24,D
4881,18810218:2100,0.0,-,-,-,24,D
4881,18810219:2100,0.0,-,132.8,0.0,24,D
4881,18810220:2100,0.0,-,133.7,0.0,24,D
4881,18810221:2100,4.1,-,130.4,0.0,24,D
4881,18810222:2100,0.0,-,131.4,0.0,24,D
4881,18810223:2100,0.0,-,132.4,0.0,24,D
4881,18810224:2100,0.0,-,133.2,0.0,24,D
4881,18810225:2100,0.0,-,134.1,0.0,24,D
4881,18810226:2100,0.0,-,134.9,0.0,24,D
4881,18810227:2100,3.0,-,132.7,0.0,24,D
4881,18810228:2100,0.3,-,133.2,0.0,24,D
4881,18810301:2100,0.0,-,133.8,0.0,24,D
4881,18810302:2100,0.0,-,134.4,0.0,24,D
4881,18810303:2100,0.0,-,134.9,0.0,24,D
4881,18810304:2100,0.0,-,135.4,0.0,24,D
4881,18810305:2100,0.0,-,135.9,0.0,24,D
4881,18810306:2100,0.0,-,136.4,0.0,24,D
4881,18810307:2100,10.2,-,126.7,0.0,24,D
4881,18810308:2100,0.0,-,127.5,0.0,24,D
4881,18810309:2100,0.0,-,128.2,0.0,24,D
4881,18810310:2100,0.0,-,129.0,0.0,24,D
4881,18810311:2100,0.0,-,129.7,0.0,24,D
4881,18810312:2100,0.0,-,130.4,0.0,24,D
4881,18810313:2100,2.0,-,129.1,0.0,24,D
4881,18810314:2100,0.0,-,129.8,0.0,24,D
4881,18810315:2100,0.0,-,130.5,0.0,24,D
4881,18810316:2100,0.0,-,131.1,0.0,24,D
4881,18810317:2100,0.0,-,131.8,0.0,24,D
4881,18810318:2100,0.0,-,132.4,0.0,24,D
4881,18810319:2100,0.0,-,133.0,0.0,24,D
4881,18810320:2100,0.0,-,133.6,0.0,24,D
4881,18810321:2100,0.0,-,134.1,0.0,24,D
4881,18810322:2100,0.0,-,134.7,0.0,24,D
4881,18810323:2100,0.0,-,135.2,0.0,24,D
4881,18810324:2100,0.0,-,135.7,0.0,24,D
4881,18810325:2100,0.0,-,136.2,0.0,24,D
4881,18810326:2100,0.0,-,136.7,0.0,24,D
4881,18810327:2100,0.0,-,137.1,0.0,24,D
4881,18810328:2100,0.0,-,137.6,0.0,24,D
4881,18810329:2100,0.0,-,138.0,0.0,24,D
4881,18810330:2100,3.6,-,134.8,0.0,24,D
4881,18810331:2100,0.0,-,135.3,0.0,24,D
4881,18810401:2100,0.0,-,135.6,0.0,24,D
4881,18810402:2100,4.6,-,131.3,0.0,24,D
4881,18810403:2100,2.0,-,129.7,0.0,24,D
4881,18810404:2100,3.8,-,126.3,0.0,24,D
4881,18810405:2100,1.5,-,125.2,0.0,24,D
4881,18810406:2100,0.3,-,125.4,0.0,24,D
4881,18810407:2100,0.0,-,125.9,0.0,24,D
4881,18810408:2100,0.0,-,126.4,0.0,24,D
4881,18810409:2100,0.0,-,126.8,0.0,24,D
4881,18810410:2100,0.0,-,127.3,0.0,24,D
4881,18810411:2100,6.6,-,121.1,0.0,24,D
4881,18810412:2100,4.6,-,117.1,0.0,24,D
4881,18810413:2100,0.0,-,117.7,0.0,24,D
4881,18810414:2100,0.0,-,118.4,0.0,24,D
4881,18810415:2100,0.0,-,119.0,0.0,24,D
4881,18810416:2100,0.0,-,119.6,0.0,24,D
4881,18810417:2100,0.0,-,120.2,0.0,24,D
4881,18810418:2100,2.3,-,118.5,0.0,24,D
4881,18810419:2100,0.3,-,118.8,0.0,24,D
4881,18810420:2100,0.0,-,119.4,0.0,24,D
4881,18810421:2100,0.0,-,120.0,0.0,24,D
4881,18810422:2100,0.0,-,120.6,0.0,24,D
4881,18810423:2100,0.0,-,121.1,0.0,24,D
4881,18810424:2100,0.0,-,121.7,0.0,24,D
4881,18810425:2100,0.0,-,122.3,0.0,24,D
4881,18810426:2100,0.0,-,122.8,0.0,24,D
4881,18810427:2100,0.0,-,123.3,0.0,24,D
4881,18810428:2100,0.0,-,123.9,0.0,24,D
4881,18810429:2100,3.0,-,121.4,0.0,24,D
4881,18810430:2100,0.5,-,121.4,0.0,24,D
4881,18810501:2100,0.3,-,121.4,0.0,24,D
4881,18810502:2100,20.3,-,101.4,0.0,24,D
4881,18810503:2100,10.7,-,91.2,0.0,24,D
4881,18810504:2100,1.3,-,90.5,0.0,24,D
4881,18810505:2100,0.3,-,90.8,0.0,24,D
4881,18810506:2100,0.3,-,91.1,0.0,24,D
4881,18810507:2100,0.0,-,91.7,0.0,24,D
4881,18810508:2100,0.3,-,92.0,0.0,24,D
4881,18810509:2100,0.3,-,92.3,0.0,24,D
4881,18810510:2100,0.0,-,92.9,0.0,24,D
4881,18810511:2100,0.0,-,93.5,0.0,24,D
4881,18810512:2100,0.0,-,94.1,0.0,24,D
4881,18810513:2100,0.5,-,94.1,0.0,24,D
4881,18810514:2100,0.0,-,94.7,0.0,24,D
4881,18810515:2100,0.0,-,95.3,0.0,24,D
4881,18810516:2100,0.0,-,95.8,0.0,24,D
4881,18810517:2100,0.0,-,96.4,0.0,24,D
4881,18810518:2100,0.0,-,96.9,0.0,24,D
4881,18810519:2100,2.0,-,95.5,0.0,24,D
4881,18810520:2100,0.0,-,96.0,0.0,24,D
4881,18810521:2100,3.0,-,93.6,0.0,24,D
4881,18810522:2100,0.0,-,94.2,0.0,24,D
4881,18810523:2100,0.0,-,94.7,0.0,24,D
4881,18810524:2100,0.0,-,95.3,0.0,24,D
4881,18810525:2100,0.0,-,95.9,0.0,24,D
4881,18810526:2100,0.0,-,96.4,0.0,24,D
4881,18810527:2100,0.0,-,97.0,0.0,24,D
4881,18810528:2100,0.0,-,97.5,0.0,24,D
4881,18810529:2100,0.0,-,98.1,0.0,24,D
4881,18810530:2100,0.0,-,98.6,0.0,24,D
4881,18810531:2100,0.0,-,99.1,0.0,24,D
4881,18810601:2100,0.0,-,99.5,0.0,24,D
4881,18810602:2100,3.0,-,96.9,0.0,24,D
4881,18810603:2100,0.8,-,96.4,0.0,24,D
4881,18810604:2100,0.0,-,96.8,0.0,24,D
4881,18810605:2100,0.0,-,97.2,0.0,24,D
4881,18810606:2100,6.9,-,90.7,0.0,24,D
4881,18810607:2100,0.5,-,90.7,0.0,24,D
4881,18810608:2100,0.0,-,91.1,0.0,24,D
4881,18810609:2100,23.9,-,67.6,0.0,24,D
4881,18810610:2100,2.5,-,65.7,0.0,24,D
4881,18810611:2100,94.7,-,0.0,28.5,24,D
4881,18810612:2100,12.7,-,0.0,12.1,24,D
4881,18810613:2100,0.0,-,0.6,0.0,24,D
4881,18810614:2100,0.0,-,1.1,0.0,24,D
4881,18810615:2100,0.0,-,1.7,0.0,24,D
4881,18810616:2100,0.0,-,2.2,0.0,24,D
4881,18810617:2100,0.0,-,2.8,0.0,24,D
4881,18810618:2100,0.0,-,3.3,0.0,24,D
4881,18810619:2100,0.0,-,3.9,0.0,24,D
4881,18810620:2100,0.0,-,4.4,0.0,24,D
4881,18810621:2100,0.0,-,5.0,0.0,24,D
4881,18810622:2100,0.0,-,5.5,0.0,24,D
4881,18810623:2100,10.7,-,0.0,4.6,24,D
4881,18810624:2100,19.8,-,0.0,19.2,24,D
4881,18810625:2100,6.9,-,0.0,6.3,24,D
4881,18810626:2100,3.8,-,0.0,3.2,24,D
4881,18810627:2100,0.0,-,0.6,0.0,24,D
4881,18810628:2100,0.0,-,1.1,0.0,24,D
4881,18810629:2100,0.0,-,1.7,0.0,24,D
4881,18810630:2100,0.0,-,2.2,0.0,24,D
4881,18810701:2100,0.0,-,2.8,0.0,24,D
4881,18810702:2100,0.0,-,3.4,0.0,24,D
4881,18810703:2100,0.0,-,4.0,0.0,24,D
4881,18810704:2100,0.3,-,4.3,0.0,24,D
4881,18810705:2100,0.0,-,4.8,0.0,24,D
4881,18810706:2100,0.0,-,5.4,0.0,24,D
4881,18810707:2100,0.0,-,6.0,0.0,24,D
4881,18810708:2100,0.0,-,6.6,0.0,24,D
4881,18810709:2100,0.0,-,7.2,0.0,24,D
4881,18810710:2100,0.0,-,7.8,0.0,24,D
4881,18810711:2100,0.0,-,8.4,0.0,24,D
4881,18810712:2100,0.0,-,9.0,0.0,24,D
4881,18810713:2100,0.0,-,9.5,0.0,24,D
4881,18810714:2100,0.0,-,10.1,0.0,24,D
4881,18810715:2100,0.0,-,10.7,0.0,24,D
4881,18810716:2100,0.0,-,11.3,0.0,24,D
4881,18810717:2100,0.0,-,11.9,0.0,24,D
4881,18810718:2100,0.0,-,12.5,0.0,24,D
4881,18810719:2100,4.3,-,8.8,0.0,24,D
4881,18810720:2100,81.3,-,0.0,71.9,24,D
4881,18810721:2100,27.4,-,0.0,26.8,24,D
4881,18810722:2100,22.6,-,0.0,22.0,24,D
4881,18810723:2100,8.9,-,0.0,8.3,24,D
4881,18810724:2100,10.9,-,0.0,10.3,24,D
4881,18810725:2100,1.0,-,0.0,0.4,24,D
4881,18810726:2100,0.0,-,0.6,0.0,24,D
4881,18810727:2100,0.0,-,1.2,0.0,24,D
4881,18810728:2100,0.0,-,1.8,0.0,24,D
4881,18810729:2100,3.0,-,0.0,0.6,24,D
4881,18810730:2100,2.3,-,0.0,1.7,24,D
4881,18810731:2100,5.8,-,0.0,5.2,24,D
4881,18810801:2100,1.5,-,0.0,0.5,24,D
4881,18810802:2100,0.0,-,1.0,0.0,24,D
4881,18810803:2100,0.0,-,2.0,0.0,24,D
4881,18810804:2100,0.0,-,2.9,0.0,24,D
4881,18810805:2100,0.0,-,3.9,0.0,24,D
4881,18810806:2100,0.0,-,4.9,0.0,24,D
4881,18810807:2100,0.0,-,5.9,0.0,24,D
4881,18810808:2100,0.3,-,6.6,0.0,24,D
4881,18810809:2100,0.0,-,7.6,0.0,24,D
4881,18810810:2100,0.0,-,8.5,0.0,24,D
4881,18810811:2100,0.0,-,9.5,0.0,24,D
4881,18810812:2100,0.0,-,10.5,0.0,24,D
4881,18810813:2100,0.0,-,11.5,0.0,24,D
4881,18810814:2100,0.0,-,12.5,0.0,24,D
4881,18810815:2100,6.6,-,6.9,0.0,24,D
4881,18810816:2100,0.0,-,7.8,0.0,24,D
4881,18810817:2100,7.9,-,0.9,0.0,24,D
4881,18810818:2100,0.8,-,1.1,0.0,24,D
4881,18810819:2100,0.0,-,2.1,0.0,24,D
4881,18810820:2100,0.0,-,3.1,0.0,24,D
4881,18810821:2100,0.0,-,4.1,0.0,24,D
4881,18810822:2100,0.0,-,5.0,0.0,24,D
4881,18810823:2100,13.7,-,0.0,7.7,24,D
4881,18810824:2100,2.0,-,0.0,1.0,24,D
4881,18810825:2100,13.2,-,0.0,12.2,24,D
4881,18810826:2100,40.6,-,0.0,39.6,24,D
4881,18810827:2100,0.5,-,0.5,0.0,24,D
4881,18810828:2100,0.0,-,1.5,0.0,24,D
4881,18810829:2100,0.0,-,2.4,0.0,24,D
4881,18810830:2100,0.5,-,2.9,0.0,24,D
4881,18810831:2100,0.0,-,3.9,0.0,24,D
4881,18810901:2100,0.0,-,5.7,0.0,24,D
4881,18810902:2100,0.0,-,7.6,0.0,24,D
4881,18810903:2100,0.0,-,9.4,0.0,24,D
4881,18810904:2100,0.0,-,11.2,0.0,24,D
4881,18810905:2100,0.0,-,13.1,0.0,24,D
4881,18810906:2100,0.0,-,14.9,0.0,24,D
4881,18810907:2100,29.2,-,0.0,12.5,24,D
4881,18810908:2100,1.3,-,0.5,0.0,24,D
4881,18810909:2100,0.0,-,2.4,0.0,24,D
4881,18810910:2100,0.0,-,4.2,0.0,24,D
4881,18810911:2100,0.0,-,6.0,0.0,24,D
4881,18810912:2100,4.1,-,3.7,0.0,24,D
4881,18810913:2100,3.3,-,2.3,0.0,24,D
4881,18810914:2100,0.0,-,4.1,0.0,24,D
4881,18810915:2100,0.0,-,5.9,0.0,24,D
4881,18810916:2100,0.0,-,7.7,0.0,24,D
4881,18810917:2100,0.0,-,9.6,0.0,24,D
4881,18810918:2100,0.0,-,11.4,0.0,24,D
4881,18810919:2100,0.0,-,13.2,0.0,24,D
4881,18810920:2100,0.0,-,15.1,0.0,24,D
4881,18810921:2100,0.0,-,16.9,0.0,24,D
4881,18810922:2100,0.0,-,18.7,0.0,24,D
4881,18810923:2100,2.5,-,18.0,0.0,24,D
4881,18810924:2100,0.0,-,19.9,0.0,24,D
4881,18810925:2100,6.6,-,15.1,0.0,24,D
4881,18810926:2100,2.8,-,14.1,0.0,24,D
4881,18810927:2100,0.0,-,15.9,0.0,24,D
4881,18810928:2100,0.0,-,17.8,0.0,24,D
4881,18810929:2100,0.0,-,19.6,0.0,24,D
4881,18810930:2100,0.0,-,21.4,0.0,24,D
