Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1950,,,0,
1951,10.979452,24.771507,1,"=""010035"""
1952,10.620492,24.858744,1,"=""010035"""
1953,11.062739,24.709589,1,"=""010035"""
1954,10.834794,25.403835,1,"=""010035"""
1955,11.186028,23.846575,1,"=""010035"""
1956,10.76936,24.694809,1,"=""010035"""
1957,,,0,
1958,12.0354395,25.02137,1,"=""010035"""
1959,12.241758,25.383196,1,"=""010035"""
1960,10.75452,24.08548,1,"=""010035"""
1961,11.937088,25.516165,1,"=""010035"""
1962,11.823013,25.226576,1,"=""010035"""
1963,12.324657,24.340279,1,"=""010035"""
1964,11.228962,23.895628,1,"=""010035"""
1965,12.0434065,24.552748,1,"=""010035"""
1966,11.114795,24.231506,1,"=""010035"""
1967,11.715934,24.951923,1,"=""010035"""
1968,10.168853,23.450274,1,"=""010035"""
1969,11.252603,25.453424,1,"=""010035"""
1970,11.58137,24.852055,1,"=""010035"""
1971,10.805234,23.916208,1,"=""010035"""
1972,12.221212,26.228022,1,"=""010035"""
1973,11.679178,24.500547,1,"=""010035"""
1974,11.658402,24.707163,1,"=""010035"""
1975,11.443251,24.83416,1,"=""010035"""
1976,12.17589,25.706575,1,"=""010035"""
1977,12.183978,26.083792,1,"=""010035"""
1978,12.32274,25.349588,1,"=""010035"""
1979,,,0,
1980,12.021408,25.686872,1,"=""010035"""
1981,11.752617,24.482645,1,"=""010035"""
1982,11.651821,25.341484,1,"=""010035"""
1983,12.231025,25.801933,1,"=""010035"""
1984,11.204658,24.590685,1,"=""010035"""
1985,11.904986,25.684383,1,"=""010035"""
1986,10.8324175,24.379396,1,"=""010035"""
1987,11.567218,25.44176,1,"=""010035"""
1988,11.626593,25.599447,1,"=""010035"""
1989,11.067679,25.042265,1,"=""010035"""
1990,10.363662,24.603878,1,"=""010035"""
1991,,,0,
1992,11.896676,24.59389,1,"=""010035"""
1993,11.052617,24.933332,1,"=""010035"""
1994,11.129477,26.352892,1,"=""010035"""
1995,11.200824,24.643406,1,"=""010035"""
1996,11.4322405,25.669945,1,"=""010035"""
1997,10.674794,25.508493,1,"=""010035"""
1998,11.19146,25.544384,1,"=""010035"""
1999,11.254696,25.443682,1,"=""010035"""
2000,10.462432,25.196824,2,"=""010286;010035"""
2001,9.9968805,25.08315,2,"=""010286;010035"""
2002,10.467182000000001,25.980916999999998,2,"=""010286;010035"""
2003,10.899725,25.668493,1,"=""010286"""
2004,10.726484500000002,25.7696665,2,"=""010286;010035"""
2005,10.0772,25.122778,2,"=""010286;010035"""
2006,10.117535,25.980549,1,"=""010286"""
2007,9.785635,26.095879,1,"=""010286"""
2008,10.211203,25.691803,1,"=""010286"""
2009,10.3077135,26.241598,1,"=""010286"""
2010,9.872452,26.758402,1,"=""010286"""
2011,11.65,26.151234,1,"=""010286"""
2012,10.571858,26.700548,1,"=""010286"""
2013,11.283288,26.421917,1,"=""010286"""
2014,11.182739,26.6739,1,"=""010286"""
2015,11.122466,27.114794,1,"=""010286"""
2016,10.062022,24.958197,1,"=""010286"""
