#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.07 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2001.83680,3.81000,,,
2001.86390,9.29000,,,
2001.89180,8.24000,,,
2001.91820,5.79000,,,
2001.94540,0.94000,,,
2001.97250,1.24000,,,
2001.99960,9.29000,,,
2002.02700,7.23000,,,
2002.05370,,0.86000,,
2002.05400,6.27000,,,
2002.08110,5.69000,,,
2002.08190,,7.58000,,
2002.10830,0.98000,9.06000,,
2002.13520,,9.88000,,
2002.13540,2.87000,,,
2002.16260,7.70000,9.03000,,
2002.18970,8.32000,,,
2002.18980,,3.22000,,
2002.21680,8.60000,,,
2002.21690,,4.99000,,
2002.24380,,3.78000,,
2002.24400,2.99000,,,
2002.27110,1.15000,,,
2002.27130,,8.62000,,
2002.29830,,4.34000,,
2002.29880,-2.41000,,,
2002.32540,4.40000,5.16000,,
2002.35250,,4.86000,,
2002.35270,8.39000,,,
2002.37970,8.49000,6.75000,,
2002.40690,6.54000,5.88000,,
2002.43400,-0.02000,3.32000,,
2002.46110,4.52000,6.72000,,
2002.48830,14.31000,9.24000,,
2002.51550,,6.96000,,
2002.54260,10.68000,9.16000,,
2002.56970,7.55000,11.34000,,
2002.59690,5.95000,11.52000,,
2002.62390,8.07000,,,
2002.62400,,11.96000,,
2002.65120,,8.71000,,
2002.65510,11.52000,,,
2002.67830,11.69000,,,
2002.67840,,6.45000,,
2002.70550,,6.27000,,
2002.70640,10.88000,,,
2002.73260,7.91000,,,
2002.73270,,8.75000,,
2002.75980,,6.88000,,
2002.75990,-0.49000,,,
2002.78630,7.62000,,,
2002.78690,,10.52000,,
2002.81410,,13.20000,,
2002.81430,15.53000,,,
2002.84130,,5.54000,,
2002.84150,12.68000,,,
2002.86840,12.02000,6.15000,,
2002.89430,,10.14000,,
2002.89620,12.12000,,,
2002.92270,12.51000,9.38000,,
2002.94980,13.66000,9.68000,,
2002.97700,14.37000,7.70000,,
2003.00410,,7.35000,,
2003.00420,15.71000,,,
2003.03120,12.40000,,,
2003.03130,,7.46000,,
2003.05840,13.32000,12.56000,,
2003.08560,8.80000,12.72000,,
2003.11270,14.06000,15.19000,,
2003.13980,11.62000,,,
2003.13990,,9.88000,,
2003.16700,15.73000,,,
2003.16710,,8.10000,,
2003.19420,15.64000,10.17000,,
2003.22120,9.91000,,,
2003.22130,,11.32000,,
2003.24840,10.21000,,,
2003.24850,,10.20000,,
2003.27560,10.58000,,,
2003.27990,,10.26000,,
2003.30280,14.03000,7.96000,,
2003.32990,17.16000,,,
2003.33000,,8.88000,,
2003.35700,18.55000,10.38000,,
2003.38420,14.05000,10.76000,,
2003.41130,,10.68000,,
2003.41140,10.09000,,,
2003.43850,12.70000,7.89000,,
2003.46570,17.41000,8.77000,,
2003.49280,15.45000,6.46000,,
2003.52000,11.49000,7.14000,,
2003.54700,11.72000,,,
2003.54710,,11.01000,,
2003.57410,5.84000,,,
2003.57420,,9.45000,,
2003.60140,12.30000,10.71000,,
2003.62860,12.88000,7.72000,,
2003.65560,16.59000,,,
2003.65570,,10.46000,,
2003.68270,14.93000,,,
2003.68290,,12.01000,,
2003.71000,5.39000,12.15000,,
2003.73710,,11.88000,,
2003.73720,6.32000,,,
2003.76420,10.29000,,,
2003.76430,,13.95000,,
2003.79140,13.55000,11.84000,,
2003.81860,,11.38000,,
2003.81870,16.84000,,,
2003.84570,17.06000,10.59000,,
2003.87080,,9.40000,,
2003.87280,7.46000,,,
2003.90000,9.28000,,,
2003.91120,,6.93000,,
2003.92710,13.92000,,,
2003.92720,,11.87000,,
2003.95430,18.30000,11.69000,,
2003.98130,18.28000,,,
2003.98150,,8.62000,,
2004.00860,11.51000,9.37000,,
2004.03580,9.29000,,,
2004.03590,,14.27000,,
2004.06280,,13.54000,,
2004.06290,8.36000,,,
2004.08980,11.00000,,,
2004.09010,,12.38000,,
2004.11350,,6.61000,,
2004.11730,16.13000,,,
2004.14430,13.16000,,,
2004.14890,,11.57000,,
2004.17150,15.55000,12.57000,,
2004.19860,8.15000,11.82000,,
2004.22580,10.33000,,,
2004.22590,,12.36000,,
2004.25130,,14.42000,,
2004.25310,16.94000,,,
2004.28010,18.31000,11.56000,,
2004.30730,,14.88000,,
2004.30750,21.98000,,,
2004.33430,15.92000,,,
2004.33440,,10.19000,,
2004.36150,13.92000,10.50000,,
2004.38840,12.11000,,,
2004.38860,,9.67000,,
2004.41580,,13.37000,,
2004.44290,,12.77000,,
2004.47020,,11.31000,,
2004.47280,19.27000,,,
2004.49710,13.88000,,,
2004.49730,,15.28000,,
2004.52260,9.72000,,,
2004.52440,,14.52000,,
2004.54970,7.71000,,,
2004.55160,,12.55000,,
2004.57710,8.39000,,,
2004.57870,,9.76000,,
2004.60600,,11.08000,,
2004.60630,15.81000,,,
2004.63300,,13.59000,,
2004.63310,17.20000,,,
2004.66010,,13.03000,,
2004.66020,13.70000,,,
2004.68700,8.27000,,,
2004.68730,,14.48000,,
2004.71430,11.57000,,,
2004.71450,,17.14000,,
2004.74160,,12.50000,,
2004.74170,7.54000,,,
2004.76860,17.47000,,,
2004.76870,,13.93000,,
2004.79590,,14.87000,,
2004.79600,15.30000,,,
2004.82310,10.36000,,,
2004.82320,,13.27000,,
2004.85020,8.65000,13.74000,,
2004.87730,9.41000,,,
2004.87740,,13.96000,,
2004.90440,,8.68000,,
2004.90450,9.37000,,,
2004.93170,,12.26000,,
2004.93180,17.05000,,,
2004.95410,14.79000,,,
2004.95900,,13.51000,,
2004.98590,12.92000,,,
2004.98600,,19.74000,,
2005.01290,2.41000,,,
2005.01310,,14.99000,,
2005.04010,5.96000,,,
2005.04020,,14.47000,,
2005.06750,12.60000,16.73000,,
2005.09450,18.61000,15.93000,,
2005.12170,15.50000,16.74000,,
2005.14880,8.20000,,,
2005.14910,,16.48000,,
2005.17590,11.37000,19.93000,,
2005.20310,,18.36000,,
2005.20330,10.16000,,,
2005.23010,,13.19000,,
2005.23030,10.34000,,,
2005.25740,13.46000,13.85000,,
2005.28440,,18.78000,,
2005.28470,17.15000,,,
2005.31060,7.42000,,,
2005.31170,,16.00000,,
2005.33890,,17.21000,,
2005.33940,8.80000,,,
2005.36590,12.49000,,,
2005.36600,,17.11000,,
2005.39320,16.87000,,,
2005.39330,,16.17000,,
2005.42000,13.78000,,,
2005.42030,,16.56000,,
2005.44740,13.23000,17.74000,,
2005.47450,8.66000,,,
2005.47460,,17.96000,,
2005.50170,6.50000,17.08000,,
2005.52890,,19.39000,,
2005.52910,11.33000,,,
2005.55600,,15.58000,,
2005.55610,14.65000,,,
2005.58310,17.89000,,,
2005.58330,,17.26000,,
2005.61020,15.99000,,,
2005.61030,,15.07000,,
2005.63760,,15.84000,,
2005.63770,10.11000,,,
2005.66460,,17.58000,,
2005.66470,8.42000,,,
2005.69170,13.20000,,,
2005.69180,,18.35000,,
2005.71370,,17.78000,,
2005.71900,17.94000,,,
2005.74620,16.37000,,,
2005.75110,,17.46000,,
2005.76560,16.35000,,,
2005.77340,,18.21000,,
2005.80040,,16.91000,,
2005.82750,,17.27000,,
2005.85470,,20.30000,,
2005.88180,,19.77000,,
2005.90910,,18.35000,,
2005.93620,,19.36000,,
2005.96330,,20.32000,,
2005.99060,,20.77000,,
2006.01760,,19.11000,,
2006.04470,,14.67000,,
2006.07190,,17.41000,,
2006.09910,,18.18000,,
2006.12620,,17.16000,,
2006.15350,,17.26000,,
2006.18040,,18.20000,,
2006.20760,,13.90000,,
