Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1965,,,0,
1966,19.481369,34.724384,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
1967,,,0,
1968,,,0,
1969,,,0,
1970,,,0,
1971,,,0,
1972,,,0,
1973,,,0,
1974,,,0,
1975,,,0,
1976,,,0,
1977,,,0,
1978,,,0,
1979,,,0,
1980,20.226244,35.465546,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
1981,20.450281,35.200558,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
1982,18.661097,33.931957,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
1983,20.470411,35.106094,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
1984,19.405602,34.596928,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
1985,,,0,
1986,,,0,
1987,,,0,
1988,,,0,
1989,,,0,
1990,,,0,
1991,,,0,
1992,22.36389,36.371113,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
1993,21.27472,34.79058,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
1994,,,0,
1995,,,0,
1996,19.807142,35.50847,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
1997,19.028889,34.63352,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
1998,,,0,
1999,,,0,
2000,,,0,
2001,19.339394,34.12735,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
2002,18.429945,35.59178,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
2003,19.41956,34.88901,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
2004,18.995556,34.654846,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
2005,20.07701,35.669807,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
2006,18.306868,34.010715,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
2007,,,0,
2008,,,0,
2009,,,0,
2010,20.851254,34.313965,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
2011,18.207144,33.09452,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
2012,17.88255,34.416023,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
2013,20.465565,35.959614,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
2014,18.887398,35.003834,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
2015,19.012877,35.12,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
2016,21.06044,36.056713,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
2017,19.456593,34.99862,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
2018,19.4025,35.63435,1,"=""425e09da-c96f-481f-8c51-550d9662d417"""
2019,,,0,
2020,,,0,
2021,,,0,
