Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Nelson Aero,4241,G13222,-41.299,173.226,2,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Rain: Daily
Station,Date(UTC),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
4241,19411002:2100,45.5,-,-,-,24,D
4241,19411003:2100,6.9,-,-,-,24,D
4241,19411004:2100,0.0,-,-,-,24,D
4241,19411005:2100,0.5,-,-,-,24,D
4241,19411006:2100,0.5,-,-,-,24,D
4241,19411007:2100,48.3,-,-,-,24,D
4241,19411008:2100,20.8,-,-,-,24,D
4241,19411009:2100,10.7,-,-,-,24,D
4241,19411012:2100,2.8,-,-,-,72,D
4241,19411013:2100,0.8,-,-,-,24,D
4241,19411014:2100,0.0,-,-,-,24,D
4241,19411015:2100,0.8,-,-,-,24,D
4241,19411016:2100,4.1,-,-,-,24,D
4241,19411017:2100,10.9,-,-,-,24,D
4241,19411018:2100,0.0,-,-,-,24,D
4241,19411019:2100,10.2,-,-,-,24,D
4241,19411020:2100,0.0,-,-,-,24,D
4241,19411021:2100,6.6,-,-,-,24,D
4241,19411022:2100,0.5,-,-,-,24,D
4241,19411023:2100,9.7,-,-,-,24,D
4241,19411024:2100,9.1,-,-,-,24,D
4241,19411025:2100,0.0,-,-,-,24,D
4241,19411026:2100,0.0,-,-,-,24,D
4241,19411027:2100,0.0,-,-,-,24,D
4241,19411028:2100,0.0,-,-,-,24,D
4241,19411029:2100,0.0,-,-,-,24,D
4241,19411030:2100,9.4,-,-,-,24,D
4241,19411031:2100,5.1,-,-,-,24,D
4241,19411101:2100,0.0,-,-,-,24,D
4241,19411102:2100,0.0,-,-,-,24,D
4241,19411103:2100,0.0,-,-,-,24,D
4241,19411104:2100,0.0,-,-,-,24,D
4241,19411105:2100,0.0,-,-,-,24,D
4241,19411106:2100,0.0,-,-,-,24,D
4241,19411107:2100,0.8,-,-,-,24,D
4241,19411108:2100,1.3,-,-,-,24,D
4241,19411109:2100,0.0,-,-,-,24,D
4241,19411110:2100,0.0,-,-,-,24,D
4241,19411111:2100,0.0,-,-,-,24,D
4241,19411112:2100,3.3,-,-,-,24,D
4241,19411113:2100,0.0,-,-,-,24,D
4241,19411114:2100,0.0,-,-,-,24,D
4241,19411115:2100,0.0,-,-,-,24,D
4241,19411116:2100,2.3,-,-,-,24,D
4241,19411117:2100,0.3,-,-,-,24,D
4241,19411118:2100,0.0,-,-,-,24,D
4241,19411119:2100,0.0,-,-,-,24,D
4241,19411120:2100,3.6,-,-,-,24,D
4241,19411121:2100,0.0,-,-,-,24,D
4241,19411122:2100,0.0,-,-,-,24,D
4241,19411123:2100,2.8,-,-,-,24,D
4241,19411124:2100,1.0,-,-,-,24,D
4241,19411125:2100,0.0,-,-,-,24,D
4241,19411126:2100,0.0,-,-,-,24,D
4241,19411127:2100,3.0,-,-,-,24,D
4241,19411128:2100,0.0,-,-,-,24,D
4241,19411129:2100,7.9,-,-,-,24,D
4241,19411130:2100,0.0,-,-,-,24,D
4241,19411201:2100,0.8,-,-,-,24,D
4241,19411202:2100,3.0,-,-,-,24,D
4241,19411203:2100,0.0,-,-,-,24,D
4241,19411204:2100,0.0,-,-,-,24,D
4241,19411205:2100,0.0,-,-,-,24,D
4241,19411206:2100,0.0,-,-,-,24,D
4241,19411207:2100,12.2,-,-,-,24,D
4241,19411208:2100,0.0,-,-,-,24,D
4241,19411209:2100,0.0,-,-,-,24,D
4241,19411210:2100,0.0,-,-,-,24,D
4241,19411211:2100,0.0,-,-,-,24,D
4241,19411212:2100,0.0,-,-,-,24,D
4241,19411213:2100,0.0,-,-,-,24,D
4241,19411214:2100,4.3,-,-,-,24,D
4241,19411215:2100,1.0,-,-,-,24,D
4241,19411216:2100,0.3,-,-,-,24,D
4241,19411217:2100,8.9,-,-,-,24,D
4241,19411218:2100,0.0,-,-,-,24,D
4241,19411219:2100,0.8,-,-,-,24,D
4241,19411220:2100,0.0,-,-,-,24,D
4241,19411221:2100,2.0,-,-,-,24,D
4241,19411222:2100,2.3,-,-,-,24,D
4241,19411223:2100,0.0,-,-,-,24,D
4241,19411224:2100,0.8,-,-,-,24,D
4241,19411225:2100,2.5,-,-,-,24,D
4241,19411226:2100,0.0,-,-,-,24,D
4241,19411227:2100,0.0,-,-,-,24,D
4241,19411228:2100,0.0,-,-,-,24,D
4241,19411229:2100,0.0,-,-,-,24,D
4241,19411230:2100,2.5,-,-,-,24,D
4241,19411231:2100,1.8,-,-,-,24,D
4241,19420101:2100,0.0,-,-,-,24,D
4241,19420102:2100,3.0,-,-,-,24,D
4241,19420103:2100,5.1,-,-,-,24,D
4241,19420104:2100,0.0,-,-,-,24,D
4241,19420105:2100,0.5,-,-,-,24,D
4241,19420106:2100,0.5,-,-,-,24,D
4241,19420107:2100,0.0,-,-,-,24,D
4241,19420108:2100,0.0,-,-,-,24,D
4241,19420109:2100,0.0,-,-,-,24,D
4241,19420110:2100,0.0,-,-,-,24,D
4241,19420111:2100,0.0,-,-,-,24,D
4241,19420112:2100,0.3,-,-,-,24,D
4241,19420113:2100,0.0,-,-,-,24,D
4241,19420114:2100,3.0,-,-,-,24,D
4241,19420115:2100,0.0,-,-,-,24,D
4241,19420116:2100,0.0,-,-,-,24,D
4241,19420117:2100,19.1,-,-,-,24,D
4241,19420118:2100,0.0,-,-,-,24,D
4241,19420119:2100,0.0,-,-,-,24,D
4241,19420120:2100,0.0,-,-,-,24,D
4241,19420121:2100,0.0,-,-,-,24,D
4241,19420122:2100,0.0,-,-,-,24,D
4241,19420123:2100,32.5,-,-,-,24,D
4241,19420124:2100,0.0,-,-,-,24,D
4241,19420125:2100,0.0,-,-,-,24,D
4241,19420126:2100,3.0,-,-,-,24,D
4241,19420127:2100,0.5,-,-,-,24,D
4241,19420128:2100,8.9,-,-,-,24,D
4241,19420129:2100,0.0,-,-,-,24,D
4241,19420130:2100,0.0,-,-,-,24,D
4241,19420131:2100,7.1,-,-,-,24,D
4241,19420201:2100,8.1,-,-,-,24,D
4241,19420202:2100,0.5,-,-,-,24,D
4241,19420203:2100,2.0,-,-,-,24,D
4241,19420204:2100,10.7,-,-,-,24,D
4241,19420205:2100,9.9,-,-,-,24,D
4241,19420206:2100,0.0,-,-,-,24,D
4241,19420207:2100,0.0,-,-,-,24,D
4241,19420208:2100,0.0,-,-,-,24,D
4241,19420209:2100,0.0,-,-,-,24,D
4241,19420210:2100,0.0,-,-,-,24,D
4241,19420211:2100,0.0,-,-,-,24,D
4241,19420212:2100,0.0,-,-,-,24,D
4241,19420213:2100,0.0,-,-,-,24,D
