300017,Casey,-66.28,110.52,40
200284,Cocos Island,-12.19,96.83,3
300000,Davis,-68.57,77.97,18,1958
200839,Lord Howe Island,-31.54,159.08,5
300004,Macquarie Island,-54.50,158.94,6
300001,Mawson,-67.60,62.88,10
200288,Norfolk Island,-29.04,167.94,112
200283,Willis Island,-16.29,149.97,8
