MIN TEMP       200283 19390101 20201231 missing_value=99999.9 WILLIS ISLAND                             
20060301 20060331 99999.9
20060401 20060430 99999.9
20060501 20060531 99999.9
20060601 20060630 99999.9
20060701 20060731 99999.9
20060801 20060831 99999.9
20060901 20060930 99999.9
20061001 20061031 99999.9
20061101 20061130    24.7
20061201 20061231    25.3
20070101 20070131    25.9
20070201 20070228    25.5
20070301 20070331    26.0
20070401 20070430    24.5
20070501 20070531    24.4
20070601 20070630    23.0
20070701 20070731    21.8
20070801 20070831    22.6
20070901 20070930    22.8
20071001 20071031    24.5
20071101 20071130    24.8
20071201 20071231    25.9
20080101 20080131    25.9
20080201 20080229    25.6
20080301 20080331    24.9
20080401 20080430    24.9
20080501 20080531    23.3
20080601 20080630    23.1
20080701 20080731    22.8
20080801 20080831    22.7
20080901 20080930    23.6
20081001 20081031    24.1
20081101 20081130    25.7
20081201 20081231    26.9
20090101 20090131    26.2
20090201 20090228    26.2
20090301 20090331    25.6
20090401 20090430    25.4
20090501 20090531    24.1
20090601 20090630    23.7
20090701 20090731    22.3
20090801 20090831    22.8
20090901 20090930    23.6
20091001 20091031    23.7
20091101 20091130    24.4
20091201 20091231    26.0
20100101 20100131    25.7
20100201 20100228    26.9
20100301 20100331    26.1
20100401 20100430    25.7
20100501 20100531    25.0
20100601 20100630    24.1
20100701 20100731    23.8
20100801 20100831    23.6
20100901 20100930    24.8
20101001 20101031    25.0
20101101 20101130    25.0
20101201 20101231    26.5
20110101 20110131    25.5
20110201 20110228    25.7
20110301 20110331    26.1
20110401 20110430    25.0
20110501 20110531    23.6
20110601 20110630    22.3
20110701 20110731    22.0
20110801 20110831    21.7
20110901 20110930    22.8
20111001 20111031    24.4
20111101 20111130    25.2
20111201 20111231    26.5
20120101 20120131    26.2
20120201 20120229    26.2
20120301 20120331    25.8
20120401 20120430    24.9
20120501 20120531    24.6
20120601 20120630    22.8
20120701 20120731    22.7
20120801 20120831    22.5
20120901 20120930    23.2
20121001 20121031    23.9
20121101 20121130    24.6
20121201 20121231    25.4
20130101 20130131    26.3
20130201 20130228    26.0
20130301 20130331    25.4
20130401 20130430    25.1
20130501 20130531    24.0
20130601 20130630    23.5
20130701 20130731    22.4
20130801 20130831    22.5
20130901 20130930    23.0
20131001 20131031    24.3
20131101 20131130    25.2
20131201 20131231    25.6
20140101 20140131    26.0
20140201 20140228    25.6
20140301 20140331    25.5
20140401 20140430    25.4
20140501 20140531    24.1
20140601 20140630    23.5
20140701 20140731    22.0
20140801 20140831    22.5
20140901 20140930    22.7
20141001 20141031    23.3
20141101 20141130    25.1
20141201 20141231    26.3
20150101 20150131    26.3
20150201 20150228    26.3
20150301 20150331    25.6
20150401 20150430    25.2
20150501 20150531    24.4
20150601 20150630    23.1
20150701 20150731    22.6
20150801 20150831    22.4
20150901 20150930    22.8
20151001 20151031    23.1
20151101 20151130    25.2
20151201 20151231    25.5
20160101 20160131    26.8
20160201 20160229    27.2
20160301 20160331    26.6
20160401 20160430    26.0
20160501 20160531    25.6
20160601 20160630    24.1
20160701 20160731    23.5
20160801 20160831    22.4
20160901 20160930    24.2
20161001 20161031    24.6
20161101 20161130    25.5
20161201 20161231    25.9
20170101 20170131    26.4
20170201 20170228    26.8
20170301 20170331    26.2
20170401 20170430    25.8
20170501 20170531    24.8
20170601 20170630    23.6
20170701 20170731    23.4
20170801 20170831    23.0
20170901 20170930    23.3
20171001 20171031    24.8
20171101 20171130    25.4
20171201 20171231    26.2
20180101 20180131    26.2
20180201 20180228    26.3
20180301 20180331    26.1
20180401 20180430    25.4
20180501 20180531    24.0
20180601 20180630    22.9
20180701 20180731    23.0
20180801 20180831    22.8
20180901 20180930    23.0
20181001 20181031    24.3
20181101 20181130    25.9
20181201 20181231    26.3
20190101 20190131    25.6
20190201 20190228    26.1
20190301 20190331    25.8
20190401 20190430    25.5
20190501 20190531    24.1
20190601 20190630    23.2
20190701 20190731    22.6
20190801 20190831    22.6
20190901 20190930    22.8
20191001 20191031    23.9
20191101 20191130    24.5
20191201 20191231    25.7
20200101 20200131    26.6
20200201 20200229    27.6
20200301 20200331    26.2
20200401 20200430    25.7
20200501 20200531    24.1
20200601 20200630    23.8
20200701 20200731    22.8
20200801 20200831    22.6
20200901 20200930    23.5
20201001 20201031    24.2
20201101 20201130    25.2
20201201 20201231    26.4
