MIN TEMP       300001 19580101 20201231 missing_value=99999.9 MAWSON                                    
19730601 19730630   -16.5
19730701 19730731   -23.5
19730801 19730831   -24.4
19730901 19730930   -16.5
19731001 19731031   -15.2
19731101 19731130    -7.5
19731201 19731231    -5.5
19740101 19740131    -3.0
19740201 19740228    -7.5
19740301 19740331   -14.2
19740401 19740430   -16.4
19740501 19740531   -22.1
19740601 19740630   -15.7
19740701 19740731   -20.0
19740801 19740831   -18.1
19740901 19740930   -22.1
19741001 19741031   -12.6
19741101 19741130    -6.7
19741201 19741231    -3.1
19750101 19750131    -2.0
19750201 19750228    -7.9
19750301 19750331   -14.2
19750401 19750430   -18.1
19750501 19750531   -17.4
19750601 19750630   -16.5
19750701 19750731   -22.6
19750801 19750831   -23.3
19750901 19750930   -22.0
19751001 19751031   -17.3
19751101 19751130    -6.9
19751201 19751231    -4.1
19760101 19760131    -2.1
19760201 19760229    -6.9
19760301 19760331   -14.3
19760401 19760430   -18.5
19760501 19760531   -23.8
19760601 19760630   -19.9
19760701 19760731   -18.9
19760801 19760831   -25.3
19760901 19760930   -24.5
19761001 19761031   -13.9
19761101 19761130    -8.5
19761201 19761231    -1.7
19770101 19770131    -1.1
19770201 19770228    -6.6
19770301 19770331   -14.6
19770401 19770430   -18.6
19770501 19770531   -17.8
19770601 19770630   -16.0
19770701 19770731   -16.9
19770801 19770831   -17.3
19770901 19770930   -22.8
19771001 19771031   -18.3
19771101 19771130   -11.0
19771201 19771231    -3.6
19780101 19780131    -4.5
19780201 19780228    -7.4
19780301 19780331   -11.6
19780401 19780430   -16.6
19780501 19780531   -18.4
19780601 19780630   -18.1
19780701 19780731   -17.6
19780801 19780831   -26.5
19780901 19780930   -21.1
19781001 19781031   -19.2
19781101 19781130    -7.7
19781201 19781231    -3.5
19790101 19790131    -4.1
19790201 19790228    -9.0
19790301 19790331   -14.8
19790401 19790430   -17.0
19790501 19790531   -21.8
19790601 19790630   -20.3
19790701 19790731   -24.9
19790801 19790831   -23.3
19790901 19790930   -19.5
19791001 19791031   -16.8
19791101 19791130    -8.5
19791201 19791231    -3.2
19800101 19800131    -3.5
19800201 19800229    -7.9
19800301 19800331   -11.1
19800401 19800430   -15.2
19800501 19800531   -23.9
19800601 19800630   -23.2
19800701 19800731   -17.2
19800801 19800831   -22.3
19800901 19800930   -17.3
19801001 19801031   -19.2
19801101 19801130    -6.7
19801201 19801231    -3.9
19810101 19810131    -4.2
19810201 19810228    -6.9
19810301 19810331   -11.0
19810401 19810430   -21.6
19810501 19810531   -20.8
19810601 19810630   -21.0
19810701 19810731   -20.8
