MIN TEMP       200284 19600101 20201231 missing_value=99999.9 COCOS ISLAND AIRPORT                      
19801001 19801031    24.4
19801101 19801130    24.6
19801201 19801231    24.6
19810101 19810131    24.1
19810201 19810228    24.2
19810301 19810331    24.9
19810401 19810430    24.7
19810501 19810531    25.5
19810601 19810630    24.4
19810701 19810731    24.3
19810801 19810831    24.0
19810901 19810930    24.6
19811001 19811031    24.9
19811101 19811130    24.1
19811201 19811231    24.5
19820101 19820131    24.6
19820201 19820228    25.1
19820301 19820331    24.7
19820401 19820430    25.0
19820501 19820531    25.1
19820601 19820630    24.5
19820701 19820731    24.0
19820801 19820831    23.9
19820901 19820930    23.3
19821001 19821031    24.2
19821101 19821130    24.8
19821201 19821231    25.5
19830101 19830131    25.5
19830201 19830228    26.3
19830301 19830331    26.5
19830401 19830430    26.1
19830501 19830531    25.6
19830601 19830630    25.1
19830701 19830731    24.4
19830801 19830831    24.9
19830901 19830930    24.9
19831001 19831031    25.1
19831101 19831130    25.0
19831201 19831231    24.7
19840101 19840131    25.0
19840201 19840229    24.4
19840301 19840331    24.8
19840401 19840430    25.4
19840501 19840531    25.3
19840601 19840630    25.3
19840701 19840731    24.4
19840801 19840831    24.5
19840901 19840930    24.5
19841001 19841031    24.8
19841101 19841130    25.4
19841201 19841231    24.9
19850101 19850131    25.4
19850201 19850228    24.7
19850301 19850331    25.4
19850401 19850430    25.1
19850501 19850531    25.8
19850601 19850630    24.8
19850701 19850731    24.1
19850801 19850831    24.2
19850901 19850930    24.4
19851001 19851031    24.5
19851101 19851130    24.8
19851201 19851231    24.8
19860101 19860131    24.9
19860201 19860228    24.6
19860301 19860331    25.4
19860401 19860430    25.2
19860501 19860531    24.8
19860601 19860630    23.9
19860701 19860731    23.2
19860801 19860831    22.9
19860901 19860930    23.1
19861001 19861031    23.4
19861101 19861130    24.2
19861201 19861231    24.6
19870101 19870131    24.6
19870201 19870228    24.7
19870301 19870331    25.7
19870401 19870430    25.9
19870501 19870531    25.0
19870601 19870630    24.9
19870701 19870731    24.5
19870801 19870831    24.5
19870901 19870930    23.8
19871001 19871031    24.4
19871101 19871130    24.6
19871201 19871231    24.5
19880101 19880131    25.0
19880201 19880229    25.7
19880301 19880331    25.4
19880401 19880430    25.9
19880501 19880531    25.0
19880601 19880630    24.5
19880701 19880731    24.1
19880801 19880831    24.5
19880901 19880930    24.6
19881001 19881031    24.6
19881101 19881130    24.3
19881201 19881231    23.8
19890101 19890131    24.7
19890201 19890228    25.1
19890301 19890331    25.3
19890401 19890430    25.2
19890501 19890531    25.2
19890601 19890630    24.1
