MIN TEMP       200288 19440101 20201231 missing_value=99999.9 NORFOLK ISLAND AERO                       
19781101 19781130    16.4
19781201 19781231    17.4
19790101 19790131    19.2
19790201 19790228    18.7
19790301 19790331    19.6
19790401 19790430    17.8
19790501 19790531    16.2
19790601 19790630    15.5
19790701 19790731    13.6
19790801 19790831    12.7
19790901 19790930    13.6
19791001 19791031    14.3
19791101 19791130    16.8
19791201 19791231    18.3
19800101 19800131    19.8
19800201 19800229    19.8
19800301 19800331    17.6
19800401 19800430    17.2
19800501 19800531    16.2
19800601 19800630    14.9
19800701 19800731    13.6
19800801 19800831    12.7
19800901 19800930    13.8
19801001 19801031    14.9
19801101 19801130    15.1
19801201 19801231    16.8
19810101 19810131    18.9
19810201 19810228    21.0
19810301 19810331    20.4
19810401 19810430    18.0
19810501 19810531    16.5
19810601 19810630    15.2
19810701 19810731    13.6
19810801 19810831    12.7
19810901 19810930    12.8
19811001 19811031    14.0
19811101 19811130    15.2
19811201 19811231    19.2
19820101 19820131    19.4
19820201 19820228    19.7
19820301 19820331    18.9
19820401 19820430    16.6
19820501 19820531    15.3
19820601 19820630    13.7
19820701 19820731    12.8
19820801 19820831    12.1
19820901 19820930    13.4
19821001 19821031    13.8
19821101 19821130    15.8
19821201 19821231    17.1
19830101 19830131    18.1
19830201 19830228    18.4
19830301 19830331    19.5
19830401 19830430    19.0
19830501 19830531    16.8
19830601 19830630    15.2
19830701 19830731    12.9
19830801 19830831    13.3
19830901 19830930    14.5
19831001 19831031    15.4
19831101 19831130    16.3
19831201 19831231    17.6
19840101 19840131    18.2
19840201 19840229    18.7
19840301 19840331    19.4
19840401 19840430    17.3
19840501 19840531    16.5
19840601 19840630    15.4
19840701 19840731    14.5
19840801 19840831    14.4
19840901 19840930    14.0
19841001 19841031    14.5
19841101 19841130    17.9
19841201 19841231    18.9
19850101 19850131    19.5
19850201 19850228    19.8
19850301 19850331    19.2
19850401 19850430    18.9
19850501 19850531    15.9
19850601 19850630    15.0
19850701 19850731    13.6
19850801 19850831    13.1
19850901 19850930    14.3
19851001 19851031    15.0
19851101 19851130    16.2
19851201 19851231    18.4
19860101 19860131    20.6
19860201 19860228    19.5
19860301 19860331    19.2
19860401 19860430    18.2
19860501 19860531    17.1
19860601 19860630    14.3
19860701 19860731    13.6
19860801 19860831    13.3
19860901 19860930    12.8
19861001 19861031    15.2
19861101 19861130    16.6
19861201 19861231    17.0
19870101 19870131    18.7
19870201 19870228    19.1
19870301 19870331    18.1
19870401 19870430    17.6
19870501 19870531    16.9
19870601 19870630    14.5
19870701 19870731    13.2
19870801 19870831    14.2
19870901 19870930    14.1
19871001 19871031    15.6
19871101 19871130    15.9
19871201 19871231    17.5
19880101 19880131    19.0
19880201 19880229    19.3
19880301 19880331    19.1
19880401 19880430    18.3
19880501 19880531    17.2
19880601 19880630    16.0
19880701 19880731    14.5
19880801 19880831    13.9
19880901 19880930    15.0
19881001 19881031    16.9
19881101 19881130    17.8
19881201 19881231    18.9
19890101 19890131    19.9
19890201 19890228    19.9
19890301 19890331    19.3
19890401 19890430    18.9
19890501 19890531    16.2
19890601 19890630    15.8
19890701 19890731    13.9
19890801 19890831    13.2
19890901 19890930    13.9
