MIN TEMP       200839 19400101 20201231 missing_value=99999.9 LORD HOWE ISL. AERO                       
19990801 19990831    13.5
19990901 19990930    14.8
19991001 19991031    16.2
19991101 19991130    15.9
19991201 19991231    17.7
20000101 20000131    19.1
20000201 20000229    20.2
20000301 20000331    20.4
20000401 20000430    17.8
20000501 20000531    17.0
20000601 20000630    14.1
20000701 20000731    14.5
20000801 20000831    13.1
20000901 20000930    15.8
20001001 20001031    16.5
20001101 20001130    16.5
20001201 20001231    19.1
20010101 20010131    20.3
20010201 20010228    20.3
20010301 20010331    20.7
20010401 20010430    17.9
20010501 20010531    15.5
20010601 20010630    14.4
20010701 20010731    13.6
20010801 20010831    13.2
20010901 20010930    14.8
20011001 20011031    15.9
20011101 20011130    17.0
20011201 20011231    18.9
20020101 20020131    19.9
20020201 20020228    20.7
20020301 20020331    19.3
20020401 20020430    18.0
20020501 20020531    15.7
20020601 20020630    14.4
20020701 20020731    13.7
20020801 20020831    13.7
20020901 20020930    15.4
20021001 20021031    15.5
20021101 20021130    17.1
20021201 20021231    18.9
20030101 20030131    19.8
20030201 20030228    20.6
20030301 20030331    19.7
20030401 20030430    17.1
20030501 20030531    16.6
20030601 20030630    16.4
20030701 20030731    13.0
20030801 20030831    13.3
20030901 20030930    14.3
20031001 20031031    14.9
20031101 20031130    16.7
20031201 20031231    19.8
20040101 20040131    21.6
20040201 20040229    21.3
20040301 20040331    20.6
20040401 20040430    18.2
20040501 20040531    17.1
20040601 20040630    15.0
20040701 20040731    13.9
20040801 20040831    13.1
20040901 20040930    13.9
20041001 20041031    16.4
20041101 20041130    18.3
20041201 20041231    18.9
20050101 20050131    21.0
20050201 20050228    20.9
20050301 20050331    19.1
20050401 20050430    18.6
20050501 20050531    16.5
20050601 20050630    15.3
20050701 20050731    14.5
20050801 20050831    13.8
20050901 20050930    14.7
20051001 20051031    16.8
20051101 20051130    17.6
20051201 20051231    20.2
20060101 20060131    21.6
20060201 20060228    21.4
20060301 20060331    19.6
20060401 20060430    17.8
20060501 20060531    15.1
20060601 20060630    14.1
20060701 20060731    14.5
20060801 20060831    13.0
20060901 20060930    15.0
20061001 20061031    15.4
20061101 20061130    17.3
20061201 20061231    17.3
20070101 20070131    19.8
20070201 20070228    20.9
20070301 20070331    19.9
20070401 20070430    17.6
20070501 20070531    16.9
20070601 20070630    15.2
20070701 20070731    13.1
20070801 20070831    14.7
20070901 20070930    14.4
20071001 20071031    16.4
20071101 20071130    17.9
20071201 20071231    19.4
20080101 20080131    21.4
20080201 20080229    20.7
20080301 20080331    19.6
20080401 20080430    18.0
20080501 20080531    15.5
20080601 20080630    15.5
20080701 20080731    14.2
20080801 20080831    12.2
20080901 20080930    15.2
20081001 20081031    15.3
20081101 20081130    17.6
20081201 20081231    18.8
20090101 20090131    20.3
20090201 20090228    21.4
20090301 20090331    20.5
20090401 20090430    19.6
20090501 20090531    15.4
20090601 20090630    14.8
20090701 20090731    13.3
20090801 20090831    13.8
20090901 20090930    14.7
20091001 20091031    15.1
20091101 20091130    18.9
20091201 20091231    20.7
20100101 20100131    21.2
20100201 20100228    22.1
20100301 20100331    20.6
20100401 20100430    19.0
20100501 20100531    16.5
20100601 20100630    13.7
20100701 20100731    13.4
20100801 20100831    13.8
20100901 20100930    15.2
20101001 20101031    15.4
20101101 20101130    18.0
20101201 20101231    20.6
20110101 20110131    21.2
20110201 20110228    22.0
20110301 20110331    20.8
20110401 20110430    18.3
20110501 20110531    15.8
20110601 20110630    14.8
20110701 20110731    13.8
20110801 20110831    13.2
20110901 20110930    14.1
20111001 20111031    15.6
20111101 20111130    18.7
20111201 20111231    18.7
20120101 20120131    19.1
20120201 20120229    20.9
20120301 20120331    20.2
20120401 20120430    18.9
20120501 20120531    14.8
20120601 20120630    14.7
20120701 20120731    14.1
20120801 20120831    13.5
20120901 20120930    13.8
20121001 20121031    14.6
20121101 20121130    16.8
20121201 20121231    19.6
20130101 20130131    21.4
20130201 20130228    20.1
20130301 20130331    20.2
20130401 20130430    16.8
20130501 20130531    15.9
20130601 20130630    15.3
20130701 20130731    14.1
20130801 20130831    14.0
20130901 20130930    14.7
20131001 20131031    15.4
20131101 20131130    17.6
20131201 20131231    18.0
20140101 20140131    19.8
20140201 20140228    20.1
20140301 20140331    19.9
20140401 20140430    18.5
20140501 20140531    15.6
20140601 20140630    15.7
20140701 20140731    13.4
20140801 20140831    14.2
20140901 20140930    14.3
20141001 20141031    15.7
20141101 20141130    18.3
20141201 20141231    20.1
20150101 20150131    21.9
20150201 20150228    21.1
20150301 20150331    20.4
20150401 20150430    19.2
20150501 20150531    17.1
20150601 20150630    15.2
