MIN TEMP       300017 19700101 20201231 missing_value=99999.9 CASEY                                     
19800501 19800531   -14.7
19800601 19800630   -15.0
19800701 19800731   -10.3
19800801 19800831   -16.1
19800901 19800930   -14.2
19801001 19801031   -16.7
19801101 19801130    -5.6
19801201 19801231    -2.0
19810101 19810131    -2.2
19810201 19810228    -4.3
19810301 19810331    -5.0
19810401 19810430   -13.0
19810501 19810531   -17.6
19810601 19810630   -15.8
19810701 19810731   -15.2
19810801 19810831   -12.1
19810901 19810930   -14.6
19811001 19811031   -12.7
19811101 19811130    -8.3
19811201 19811231    -3.7
19820101 19820131    -2.0
19820201 19820228    -4.6
19820301 19820331   -13.1
19820401 19820430   -16.9
19820501 19820531   -14.4
19820601 19820630   -19.0
19820701 19820731   -15.9
19820801 19820831   -25.3
19820901 19820930   -24.1
19821001 19821031   -15.0
19821101 19821130   -11.0
19821201 19821231    -3.1
19830101 19830131    -1.4
19830201 19830228    -4.0
19830301 19830331   -11.7
19830401 19830430   -13.2
19830501 19830531   -14.0
19830601 19830630   -15.7
19830701 19830731   -24.0
19830801 19830831   -19.0
19830901 19830930   -13.7
19831001 19831031   -19.3
19831101 19831130   -10.0
19831201 19831231    -4.1
19840101 19840131    -1.2
19840201 19840229    -3.3
19840301 19840331    -5.8
19840401 19840430   -12.3
19840501 19840531   -11.9
19840601 19840630   -19.0
19840701 19840731   -17.3
19840801 19840831   -14.1
19840901 19840930   -17.6
19841001 19841031   -15.5
19841101 19841130   -11.9
19841201 19841231    -2.4
19850101 19850131    -1.9
19850201 19850228    -5.3
19850301 19850331    -6.7
19850401 19850430   -12.9
19850501 19850531   -22.8
19850601 19850630   -18.3
19850701 19850731   -21.3
19850801 19850831   -15.2
19850901 19850930   -17.7
19851001 19851031   -15.7
19851101 19851130    -7.9
19851201 19851231    -4.7
19860101 19860131    -3.3
19860201 19860228    -1.8
19860301 19860331    -7.6
19860401 19860430   -13.9
19860501 19860531   -16.9
19860601 19860630   -20.8
19860701 19860731   -20.2
19860801 19860831   -16.2
19860901 19860930   -16.5
19861001 19861031   -11.1
19861101 19861130    -8.3
19861201 19861231    -2.4
19870101 19870131    -1.3
19870201 19870228    -4.3
19870301 19870331   -10.1
19870401 19870430   -13.7
19870501 19870531   -17.6
19870601 19870630   -13.7
19870701 19870731   -14.4
19870801 19870831   -25.9
19870901 19870930   -16.1
19871001 19871031   -12.3
19871101 19871130    -7.9
19871201 19871231    -2.1
19880101 19880131    -1.8
19880201 19880229    -4.2
19880301 19880331   -10.9
19880401 19880430   -16.1
19880501 19880531   -15.5
19880601 19880630   -17.5
19880701 19880731   -21.4
19880801 19880831   -19.5
19880901 19880930   -19.4
19881001 19881031   -12.6
19881101 19881130    -8.0
19881201 19881231    -3.7
19890101 19890131    -2.7
19890201 19890228    -5.4
19890301 19890331   -11.2
19890401 19890430   -14.1
19890501 19890531   -17.6
19890601 19890630   -22.0
19890701 19890731   -18.9
19890801 19890831   -17.0
19890901 19890930   -12.7
19891001 19891031    -9.5
19891101 19891130   -11.3
19891201 19891231    -2.0
19900101 19900131    -1.3
19900201 19900228    -4.5
19900301 19900331    -9.5
19900401 19900430   -14.8
19900501 19900531   -17.3
19900601 19900630   -22.9
19900701 19900731   -15.1
19900801 19900831   -18.4
19900901 19900930   -19.9
19901001 19901031   -16.2
19901101 19901130    -9.5
19901201 19901231    -2.9
19910101 19910131    -2.0
19910201 19910228    -4.3
19910301 19910331    -8.2
19910401 19910430    -9.1
19910501 19910531   -19.4
19910601 19910630   -14.0
19910701 19910731   -17.4
19910801 19910831   -13.6
19910901 19910930   -18.1
19911001 19911031   -12.6
19911101 19911130    -7.0
19911201 19911231    -1.5
19920101 19920131    -1.3
19920201 19920229    -4.3
19920301 19920331    -8.8
19920401 19920430   -15.0
19920501 19920531   -19.9
19920601 19920630   -15.7
19920701 19920731   -20.9
19920801 19920831   -16.3
19920901 19920930   -20.4
19921001 19921031   -16.4
19921101 19921130    -9.7
19921201 19921231    -4.0
19930101 19930131    -1.5
19930201 19930228    -2.8
19930301 19930331    -9.9
19930401 19930430   -13.3
19930501 19930531   -20.9
19930601 19930630   -22.4
19930701 19930731   -20.6
19930801 19930831   -21.9
19930901 19930930   -18.9
19931001 19931031   -17.7
19931101 19931130   -10.4
19931201 19931231    -4.9
19940101 19940131    -4.0
19940201 19940228    -5.0
19940301 19940331   -10.0
19940401 19940430   -17.5
19940501 19940531   -21.6
19940601 19940630   -15.2
19940701 19940731   -17.2
19940801 19940831   -21.9
19940901 19940930   -15.1
19941001 19941031   -13.5
19941101 19941130    -8.8
19941201 19941231    -5.8
19950101 19950131    -4.4
19950201 19950228    -6.7
19950301 19950331   -11.7
19950401 19950430   -16.3
19950501 19950531   -22.3
19950601 19950630   -17.6
19950701 19950731   -14.4
19950801 19950831   -14.5
19950901 19950930   -16.3
19951001 19951031   -17.4
19951101 19951130    -8.7
19951201 19951231    -5.6
19960101 19960131    -3.2
19960201 19960229    -4.7
19960301 19960331    -8.2
19960401 19960430   -12.7
19960501 19960531   -20.0
19960601 19960630   -20.0
19960701 19960731   -15.8
19960801 19960831   -15.0
19960901 19960930   -15.9
19961001 19961031   -14.5
19961101 19961130    -7.2
19961201 19961231    -3.2
19970101 19970131    -2.0
19970201 19970228    -4.6
19970301 19970331   -10.5
19970401 19970430   -16.4
19970501 19970531   -19.9
19970601 19970630   -13.1
19970701 19970731   -21.1
19970801 19970831   -20.9
19970901 19970930   -18.3
19971001 19971031   -16.9
19971101 19971130    -7.7
19971201 19971231    -2.8
19980101 19980131    -2.4
19980201 19980228    -5.4
19980301 19980331   -12.0
19980401 19980430   -16.8
19980501 19980531   -14.4
19980601 19980630   -18.7
19980701 19980731   -22.2
19980801 19980831   -18.5
19980901 19980930   -21.1
19981001 19981031   -15.6
19981101 19981130    -8.6
19981201 19981231    -3.3
19990101 19990131    -3.7
19990201 19990228    -6.2
19990301 19990331   -12.4
19990401 19990430   -23.3
19990501 19990531   -21.7
19990601 19990630   -17.5
19990701 19990731   -23.2
19990801 19990831   -20.2
19990901 19990930   -18.9
19991001 19991031   -15.2
19991101 19991130    -9.9
19991201 19991231    -5.4
20000101 20000131    -4.2
20000201 20000229    -5.1
20000301 20000331   -10.9
20000401 20000430   -18.7
20000501 20000531   -20.4
20000601 20000630   -18.4
20000701 20000731   -17.7
20000801 20000831   -15.4
20000901 20000930   -13.0
20001001 20001031   -16.4
20001101 20001130    -6.9
20001201 20001231    -3.1
20010101 20010131    -2.2
20010201 20010228    -7.9
20010301 20010331    -7.6
20010401 20010430   -14.1
20010501 20010531   -14.5
20010601 20010630   -20.0
20010701 20010731   -13.3
20010801 20010831   -19.7
20010901 20010930   -14.3
20011001 20011031   -15.6
20011101 20011130   -10.0
20011201 20011231    -4.8
20020101 20020131    -1.4
20020201 20020228    -5.4
20020301 20020331    -9.0
20020401 20020430   -11.7
20020501 20020531   -14.8
20020601 20020630   -14.3
20020701 20020731   -16.2
20020801 20020831   -18.1
20020901 20020930   -17.5
20021001 20021031   -15.7
20021101 20021130    -6.9
20021201 20021231    -4.1
20030101 20030131    -2.3
20030201 20030228    -4.7
20030301 20030331    -9.4
20030401 20030430   -14.1
20030501 20030531   -21.9
20030601 20030630   -21.0
20030701 20030731   -20.5
20030801 20030831   -18.1
20030901 20030930   -16.7
20031001 20031031   -16.2
20031101 20031130    -8.8
20031201 20031231    -3.4
20040101 20040131    -2.8
20040201 20040229    -3.5
20040301 20040331   -10.1
20040401 20040430   -14.6
20040501 20040531   -18.3
20040601 20040630   -18.2
20040701 20040731   -21.5
20040801 20040831   -16.2
20040901 20040930   -17.2
20041001 20041031   -14.0
20041101 20041130    -9.6
20041201 20041231    -2.7
20050101 20050131    -1.5
20050201 20050228    -4.0
20050301 20050331   -10.6
20050401 20050430   -14.2
20050501 20050531   -18.8
20050601 20050630   -17.2
20050701 20050731   -22.7
20050801 20050831   -21.0
20050901 20050930   -16.1
20051001 20051031   -13.6
20051101 20051130    -8.4
20051201 20051231    -1.8
20060101 20060131    -2.4
20060201 20060228    -5.1
20060301 20060331    -7.7
20060401 20060430   -11.2
20060501 20060531   -21.7
20060601 20060630   -19.3
20060701 20060731   -16.8
20060801 20060831   -15.6
20060901 20060930   -19.3
20061001 20061031   -16.4
20061101 20061130   -11.1
20061201 20061231    -3.5
20070101 20070131    -2.4
20070201 20070228    -3.9
20070301 20070331    -7.9
20070401 20070430   -11.1
20070501 20070531   -16.1
20070601 20070630   -17.5
20070701 20070731   -14.1
20070801 20070831   -17.6
20070901 20070930   -15.9
20071001 20071031   -13.8
20071101 20071130    -7.6
20071201 20071231    -4.2
