TMAX       300004 19500501 20201231 missing_value=99999.9 MACQUARIE ISLAND                          
19660501 19660531     5.8
19660601 19660630     4.8
19660701 19660731     4.3
19660801 19660831     4.7
19660901 19660930     4.6
19661001 19661031     4.6
19661101 19661130     5.8
19661201 19661231     7.0
19670101 19670131     8.6
19670201 19670228     8.0
19670301 19670331     7.9
19670401 19670430     6.1
19670501 19670531     5.3
19670601 19670630     5.7
19670701 19670731     4.8
19670801 19670831     5.2
19670901 19670930     5.2
19671001 19671031     5.6
19671101 19671130     5.7
19671201 19671231     7.1
19680101 19680131     8.4
19680201 19680229     8.1
19680301 19680331     7.5
19680401 19680430     7.1
19680501 19680531     6.8
19680601 19680630     5.4
19680701 19680731     5.0
19680801 19680831     5.6
19680901 19680930     5.3
19681001 19681031     5.0
19681101 19681130     6.7
19681201 19681231     7.9
19690101 19690131     9.2
19690201 19690228     8.5
19690301 19690331     7.2
19690401 19690430     6.0
19690501 19690531     6.0
19690601 19690630     4.2
19690701 19690731     5.4
19690801 19690831     4.8
19690901 19690930     4.8
19691001 19691031     4.5
19691101 19691130     6.4
19691201 19691231     7.7
19700101 19700131     7.7
19700201 19700228     8.2
19700301 19700331     7.9
19700401 19700430     6.7
19700501 19700531     5.7
19700601 19700630     5.3
19700701 19700731     5.0
19700801 19700831     5.6
19700901 19700930     4.1
19701001 19701031     5.8
19701101 19701130     6.9
19701201 19701231     8.0
19710101 19710131     9.9
19710201 19710228     9.6
19710301 19710331     9.1
19710401 19710430     7.5
19710501 19710531     7.0
19710601 19710630     6.2
19710701 19710731     5.9
19710801 19710831     5.8
19710901 19710930     4.8
19711001 19711031     5.9
19711101 19711130     6.8
19711201 19711231     8.7
19720101 19720131     8.9
19720201 19720229     8.9
19720301 19720331     8.4
19720401 19720430     6.7
19720501 19720531     5.7
19720601 19720630     4.4
19720701 19720731     4.4
19720801 19720831     4.8
19720901 19720930     4.9
19721001 19721031     5.2
19721101 19721130     6.3
19721201 19721231     7.6
19730101 19730131     8.0
19730201 19730228     7.7
19730301 19730331     7.6
19730401 19730430     6.8
19730501 19730531     4.7
19730601 19730630     5.4
19730701 19730731     6.2
19730801 19730831     5.5
19730901 19730930     5.6
19731001 19731031     5.7
19731101 19731130     6.2
19731201 19731231     7.9
19740101 19740131     9.1
19740201 19740228     8.8
19740301 19740331     8.0
19740401 19740430     7.1
19740501 19740531     5.6
19740601 19740630     4.6
19740701 19740731     4.0
19740801 19740831     4.4
19740901 19740930     5.8
19741001 19741031     5.7
19741101 19741130     7.6
19741201 19741231     9.7
19750101 19750131    10.8
19750201 19750228     9.4
19750301 19750331     9.0
19750401 19750430     7.5
19750501 19750531     5.4
19750601 19750630     5.1
19750701 19750731     4.1
19750801 19750831     4.7
19750901 19750930     5.7
19751001 19751031     5.4
19751101 19751130     6.7
19751201 19751231     7.2
19760101 19760131     8.2
19760201 19760229     8.9
19760301 19760331     8.2
19760401 19760430     7.0
19760501 19760531     6.1
19760601 19760630     4.8
19760701 19760731     4.8
19760801 19760831     4.9
19760901 19760930     5.8
19761001 19761031     6.4
19761101 19761130     7.2
19761201 19761231     9.5
19770101 19770131     9.7
19770201 19770228    10.2
19770301 19770331     9.2
19770401 19770430     7.2
19770501 19770531     6.4
19770601 19770630     5.2
19770701 19770731     5.6
19770801 19770831     6.2
19770901 19770930     5.7
19771001 19771031     5.5
19771101 19771130     6.5
19771201 19771231     8.0
19780101 19780131     8.9
19780201 19780228     9.0
19780301 19780331     7.7
19780401 19780430     7.0
19780501 19780531     6.5
19780601 19780630     4.7
19780701 19780731     6.0
19780801 19780831     5.8
19780901 19780930     6.4
19781001 19781031     6.2
19781101 19781130     6.3
19781201 19781231     7.9
19790101 19790131     8.4
19790201 19790228     7.9
19790301 19790331     8.0
19790401 19790430     7.4
19790501 19790531     6.2
19790601 19790630     6.3
19790701 19790731     6.5
19790801 19790831     4.8
19790901 19790930     5.3
19791001 19791031     6.7
19791101 19791130     6.9
19791201 19791231     8.1
19800101 19800131     9.6
19800201 19800229     9.7
19800301 19800331     9.1
19800401 19800430     8.0
19800501 19800531     6.8
19800601 19800630     5.4
19800701 19800731     5.5
19800801 19800831     6.2
19800901 19800930     6.3
19801001 19801031     6.3
19801101 19801130     6.3
19801201 19801231     8.1
19810101 19810131     8.6
19810201 19810228     8.1
19810301 19810331     8.6
19810401 19810430     7.8
19810501 19810531     6.7
19810601 19810630     5.0
19810701 19810731     5.0
19810801 19810831     5.3
19810901 19810930     5.6
19811001 19811031     6.4
19811101 19811130     7.2
19811201 19811231     8.6
19820101 19820131     8.6
19820201 19820228     8.9
19820301 19820331     8.7
19820401 19820430     7.7
19820501 19820531     6.6
19820601 19820630     5.8
19820701 19820731     4.6
19820801 19820831     5.4
19820901 19820930     5.8
19821001 19821031     5.3
19821101 19821130     5.3
19821201 19821231     6.3
19830101 19830131     8.0
19830201 19830228     8.0
19830301 19830331     6.3
19830401 19830430     6.4
19830501 19830531     5.2
19830601 19830630     4.8
19830701 19830731     5.1
19830801 19830831     5.5
19830901 19830930     5.4
19831001 19831031     6.0
19831101 19831130     6.9
19831201 19831231     7.9
19840101 19840131     9.1
19840201 19840229     9.7
19840301 19840331     9.6
19840401 19840430     7.1
19840501 19840531     6.6
19840601 19840630     6.1
19840701 19840731     5.2
19840801 19840831     4.8
19840901 19840930     5.7
19841001 19841031     6.1
19841101 19841130     6.6
19841201 19841231     9.1
19850101 19850131     9.9
19850201 19850228     9.8
19850301 19850331     8.4
19850401 19850430     7.3
19850501 19850531     6.3
19850601 19850630     5.9
19850701 19850731     5.5
19850801 19850831     5.5
19850901 19850930     5.4
19851001 19851031     6.6
19851101 19851130     7.2
19851201 19851231     8.1
19860101 19860131     9.8
19860201 19860228    10.3
19860301 19860331     9.4
19860401 19860430     7.6
19860501 19860531     5.5
19860601 19860630     4.9
19860701 19860731     5.0
19860801 19860831     5.6
19860901 19860930     5.3
19861001 19861031     6.7
19861101 19861130     7.3
19861201 19861231     9.0
19870101 19870131     9.7
19870201 19870228     9.8
19870301 19870331     8.5
19870401 19870430     7.0
19870501 19870531     5.8
19870601 19870630     4.4
19870701 19870731     5.1
19870801 19870831     5.1
19870901 19870930     4.3
19871001 19871031     5.8
19871101 19871130     7.0
19871201 19871231     7.6
19880101 19880131     8.8
19880201 19880229     8.4
19880301 19880331     7.1
19880401 19880430     6.6
19880501 19880531     4.6
19880601 19880630     4.2
19880701 19880731     5.2
19880801 19880831     5.1
19880901 19880930     5.9
19881001 19881031     5.8
19881101 19881130     6.9
19881201 19881231     9.5
19890101 19890131    10.9
19890201 19890228     9.8
19890301 19890331     8.5
19890401 19890430     7.6
19890501 19890531     7.0
19890601 19890630     6.0
19890701 19890731     5.4
19890801 19890831     6.1
19890901 19890930     6.4
19891001 19891031     6.9
19891101 19891130     6.7
19891201 19891231     7.4
19900101 19900131     8.3
19900201 19900228     8.6
19900301 19900331     8.1
19900401 19900430     5.8
19900501 19900531     5.4
19900601 19900630     5.8
19900701 19900731     5.6
19900801 19900831     4.5
19900901 19900930     5.6
19901001 19901031     5.4
19901101 19901130     6.9
19901201 19901231     7.4
19910101 19910131     8.3
19910201 19910228     7.9
19910301 19910331     8.2
19910401 19910430     6.9
19910501 19910531     5.6
19910601 19910630     4.8
19910701 19910731     4.7
