TMAX       300001 19580101 20201231 missing_value=99999.9 MAWSON                                    
19680301 19680331    -7.1
19680401 19680430    -9.5
19680501 19680531   -11.9
19680601 19680630   -15.1
19680701 19680731   -17.1
19680801 19680831   -17.0
19680901 19680930   -15.6
19681001 19681031    -9.1
19681101 19681130    -3.1
19681201 19681231     1.7
19690101 19690131     2.4
19690201 19690228    -1.6
19690301 19690331    -6.6
19690401 19690430   -11.4
19690501 19690531   -14.0
19690601 19690630   -13.5
19690701 19690731   -16.7
19690801 19690831   -18.5
19690901 19690930   -15.0
19691001 19691031    -8.8
19691101 19691130    -3.1
19691201 19691231     1.7
19700101 19700131     1.9
19700201 19700228    -2.7
19700301 19700331    -5.6
19700401 19700430   -11.0
19700501 19700531   -12.7
19700601 19700630   -16.9
19700701 19700731   -14.8
19700801 19700831   -17.5
19700901 19700930   -13.0
19701001 19701031   -10.0
19701101 19701130    -2.4
19701201 19701231     2.5
19710101 19710131     3.2
19710201 19710228    -0.8
19710301 19710331    -7.4
19710401 19710430   -12.5
19710501 19710531   -13.1
19710601 19710630   -14.6
19710701 19710731   -16.2
19710801 19710831   -14.1
19710901 19710930   -12.9
19711001 19711031    -9.2
19711101 19711130    -3.4
19711201 19711231     3.1
19720101 19720131     4.3
19720201 19720229    -1.3
19720301 19720331    -7.3
19720401 19720430    -9.0
19720501 19720531   -16.0
19720601 19720630   -12.9
19720701 19720731   -14.5
19720801 19720831   -10.8
19720901 19720930   -13.2
19721001 19721031   -11.6
19721101 19721130    -3.4
19721201 19721231     2.3
19730101 19730131     3.0
19730201 19730228    -2.0
19730301 19730331    -9.2
19730401 19730430   -11.7
19730501 19730531   -10.8
19730601 19730630   -12.0
19730701 19730731   -17.8
19730801 19730831   -17.4
19730901 19730930    -9.8
19731001 19731031    -8.7
19731101 19731130    -1.7
19731201 19731231     1.2
19740101 19740131     3.9
19740201 19740228    -1.1
19740301 19740331    -8.3
19740401 19740430   -10.6
19740501 19740531   -15.7
19740601 19740630   -10.9
19740701 19740731   -15.3
19740801 19740831   -11.7
19740901 19740930   -15.6
19741001 19741031    -6.6
19741101 19741130    -1.3
19741201 19741231     3.6
19750101 19750131     4.2
19750201 19750228    -1.8
19750301 19750331    -7.1
19750401 19750430   -11.9
19750501 19750531   -10.5
19750601 19750630   -11.8
19750701 19750731   -17.0
19750801 19750831   -17.3
19750901 19750930   -15.8
19751001 19751031    -9.7
19751101 19751130    -1.2
19751201 19751231     2.6
19760101 19760131     3.6
19760201 19760229    -0.9
19760301 19760331    -8.1
19760401 19760430   -12.2
19760501 19760531   -17.8
19760601 19760630   -14.1
19760701 19760731   -14.7
19760801 19760831   -19.8
19760901 19760930   -17.5
19761001 19761031    -7.6
19761101 19761130    -1.7
19761201 19761231     4.7
19770101 19770131     4.9
19770201 19770228    -0.8
19770301 19770331    -8.4
19770401 19770430   -12.5
19770501 19770531   -12.0
19770601 19770630   -11.9
19770701 19770731   -11.0
19770801 19770831   -12.3
19770901 19770930   -15.4
19771001 19771031   -11.4
19771101 19771130    -4.0
19771201 19771231     2.2
19780101 19780131     2.1
19780201 19780228    -1.0
19780301 19780331    -6.5
19780401 19780430   -10.2
19780501 19780531   -11.3
19780601 19780630   -12.6
19780701 19780731   -13.6
19780801 19780831   -20.0
19780901 19780930   -14.4
19781001 19781031   -11.7
19781101 19781130    -1.6
19781201 19781231     2.7
19790101 19790131     2.0
19790201 19790228    -2.4
19790301 19790331    -7.9
19790401 19790430   -10.8
19790501 19790531   -15.6
19790601 19790630   -15.2
19790701 19790731   -18.5
19790801 19790831   -16.8
19790901 19790930   -13.1
19791001 19791031    -9.1
19791101 19791130    -1.8
19791201 19791231     3.5
19800101 19800131     3.2
19800201 19800229    -1.2
19800301 19800331    -5.6
19800401 19800430    -9.2
19800501 19800531   -16.5
19800601 19800630   -16.6
19800701 19800731   -10.9
19800801 19800831   -14.8
19800901 19800930   -11.4
19801001 19801031   -10.5
19801101 19801130     1.0
19801201 19801231     2.8
19810101 19810131     3.2
19810201 19810228    -0.3
19810301 19810331    -6.0
19810401 19810430   -14.1
19810501 19810531   -15.1
19810601 19810630   -14.9
19810701 19810731   -14.3
19810801 19810831   -10.9
19810901 19810930   -14.2
19811001 19811031   -11.5
19811101 19811130    -2.1
19811201 19811231     2.2
19820101 19820131     2.7
19820201 19820228    -2.2
19820301 19820331    -9.9
19820401 19820430   -15.7
19820501 19820531   -14.9
19820601 19820630   -19.9
19820701 19820731   -14.1
19820801 19820831   -20.7
19820901 19820930   -19.2
19821001 19821031    -9.7
19821101 19821130    -1.1
19821201 19821231     3.9
19830101 19830131     3.3
19830201 19830228    -1.1
19830301 19830331    -8.2
19830401 19830430    -9.4
19830501 19830531   -11.9
19830601 19830630   -15.1
19830701 19830731   -18.5
19830801 19830831   -13.8
19830901 19830930   -11.1
19831001 19831031    -9.5
19831101 19831130    -5.2
19831201 19831231     0.9
19840101 19840131     3.3
19840201 19840229    -1.6
19840301 19840331    -7.8
19840401 19840430   -12.2
19840501 19840531   -11.4
19840601 19840630   -16.2
19840701 19840731   -17.4
19840801 19840831   -13.7
19840901 19840930   -12.2
19841001 19841031   -13.3
19841101 19841130    -2.5
19841201 19841231     2.6
19850101 19850131     3.2
19850201 19850228    -2.3
19850301 19850331    -7.1
19850401 19850430   -10.4
19850501 19850531   -14.6
19850601 19850630   -11.7
19850701 19850731   -20.1
19850801 19850831   -15.9
19850901 19850930   -15.1
19851001 19851031   -11.4
19851101 19851130    -4.6
19851201 19851231     0.5
19860101 19860131     1.4
