TMAX       200839 19400101 20201231 missing_value=99999.9 LORD HOWE ISL. AERO                       
19521201 19521231    23.2
19530101 19530131    24.2
19530201 19530228    24.4
19530301 19530331    24.1
19530401 19530430    23.7
19530501 19530531    22.0
19530601 19530630    19.4
19530701 19530731    18.2
19530801 19530831    18.6
19530901 19530930    19.1
19531001 19531031    20.4
19531101 19531130    22.8
19531201 19531231    25.0
19540101 19540131    25.2
19540201 19540228    26.5
19540301 19540331    24.8
19540401 19540430    23.4
19540501 19540531    20.9
19540601 19540630    19.9
19540701 19540731    18.5
19540801 19540831    18.5
19540901 19540930    19.3
19541001 19541031    20.3
19541101 19541130    23.0
19541201 19541231    23.1
19550101 19550131    25.2
19550201 19550228    25.6
19550301 19550331    25.4
19550401 19550430    23.6
19550501 19550531    21.1
19550601 19550630    19.0
19550701 19550731    18.0
19550801 19550831    18.8
19550901 19550930    19.3
19551001 19551031    20.5
19551101 19551130    21.8
19551201 19551231    23.1
19560101 19560131    24.9
19560201 19560229    24.8
19560301 19560331    24.8
19560401 19560430    24.4
19560501 19560531    21.1
19560601 19560630    19.5
19560701 19560731    18.0
19560801 19560831    18.1
19560901 19560930    18.7
19561001 19561031    20.2
19561101 19561130    21.2
19561201 19561231    23.6
19570101 19570131    24.5
19570201 19570228    24.8
19570301 19570331    23.5
19570401 19570430    22.9
19570501 19570531    20.8
19570601 19570630    19.3
19570701 19570731    17.4
19570801 19570831    18.2
19570901 19570930    19.0
19571001 19571031    20.4
19571101 19571130    22.6
19571201 19571231    24.4
19580101 19580131    25.0
19580201 19580228    25.4
19580301 19580331    25.3
19580401 19580430    23.2
19580501 19580531    22.4
19580601 19580630    19.3
19580701 19580731    18.3
19580801 19580831    19.0
19580901 19580930    19.0
19581001 19581031    20.6
19581101 19581130    22.4
19581201 19581231    23.8
19590101 19590131    25.4
19590201 19590228    25.3
19590301 19590331    25.0
19590401 19590430    22.9
19590501 19590531    19.9
19590601 19590630    19.1
19590701 19590731    18.7
19590801 19590831    18.2
19590901 19590930    19.2
19591001 19591031    19.4
19591101 19591130    21.6
19591201 19591231    24.1
19600101 19600131    25.4
19600201 19600229    25.2
19600301 19600331    23.6
19600401 19600430    22.8
19600501 19600531    20.4
19600601 19600630    18.0
19600701 19600731    18.0
19600801 19600831    17.6
19600901 19600930    18.8
19601001 19601031    20.4
19601101 19601130    21.0
19601201 19601231    22.7
19610101 19610131    24.1
19610201 19610228    24.6
19610301 19610331    23.6
19610401 19610430    22.3
19610501 19610531    20.0
19610601 19610630    18.8
19610701 19610731    17.9
19610801 19610831    17.7
19610901 19610930    18.9
19611001 19611031    20.9
19611101 19611130    21.9
19611201 19611231    23.9
19620101 19620131    25.2
19620201 19620228    25.8
19620301 19620331    24.1
19620401 19620430    22.4
19620501 19620531    21.1
19620601 19620630    20.0
19620701 19620731    18.5
19620801 19620831    18.1
19620901 19620930    19.0
19621001 19621031    20.1
19621101 19621130    21.3
19621201 19621231    23.0
19630101 19630131    24.7
19630201 19630228    25.4
19630301 19630331    24.8
19630401 19630430    22.6
19630501 19630531    21.2
19630601 19630630    18.7
19630701 19630731    17.7
19630801 19630831    18.0
19630901 19630930    18.7
19631001 19631031    19.8
19631101 19631130    21.0
19631201 19631231    22.9
19640101 19640131    25.5
19640201 19640229    25.1
19640301 19640331    24.3
