TMAX       200283 19390101 20201231 missing_value=99999.9 WILLIS ISLAND                             
19451001 19451031    28.4
19451101 19451130    29.2
19451201 19451231    30.7
19460101 19460131    30.9
19460201 19460228    31.0
19460301 19460331    30.3
19460401 19460430    28.7
19460501 19460531    28.0
19460601 19460630    26.3
19460701 19460731    25.8
19460801 19460831    26.0
19460901 19460930    27.3
19461001 19461031    28.1
19461101 19461130    29.5
19461201 19461231    30.3
19470101 19470131    31.1
19470201 19470228    30.2
19470301 19470331    30.3
19470401 19470430    29.3
19470501 19470531    27.6
19470601 19470630    26.7
19470701 19470731    26.4
19470801 19470831    26.4
19470901 19470930    28.3
19471001 19471031    28.4
19471101 19471130    30.1
19471201 19471231    30.8
19480101 19480131    31.3
19480201 19480229    30.9
19480301 19480331    29.9
19480401 19480430    28.7
19480501 19480531    28.5
19480601 19480630    26.6
19480701 19480731    26.6
19480801 19480831    25.9
19480901 19480930    27.5
19481001 19481031    28.6
19481101 19481130    29.8
19481201 19481231    30.2
19490101 19490131    30.2
19490201 19490228    30.6
19490301 19490331    30.2
19490401 19490430    27.9
19490501 19490531    26.7
19490601 19490630    25.7
19490701 19490731    25.7
19490801 19490831    25.8
19490901 19490930    27.7
19491001 19491031    29.6
19491101 19491130    29.4
19491201 19491231    30.5
19500101 19500131    30.5
19500201 19500228    30.8
19500301 19500331    30.0
19500401 19500430    28.5
19500501 19500531    27.7
19500601 19500630    26.7
19500701 19500731    26.5
19500801 19500831    26.2
19500901 19500930    27.2
19501001 19501031    28.9
19501101 19501130    29.3
19501201 19501231    28.7
19510101 19510131    29.4
19510201 19510228    29.9
19510301 19510331    29.2
19510401 19510430    28.1
19510501 19510531    26.7
19510601 19510630    25.9
19510701 19510731    25.8
19510801 19510831    26.2
19510901 19510930    26.8
19511001 19511031    28.3
19511101 19511130    29.8
19511201 19511231    30.6
19520101 19520131    30.6
19520201 19520229    30.7
19520301 19520331    29.4
19520401 19520430    29.0
19520501 19520531    28.5
19520601 19520630    27.5
19520701 19520731    26.1
19520801 19520831    26.5
19520901 19520930    27.3
19521001 19521031    28.3
19521101 19521130    30.4
19521201 19521231    30.8
19530101 19530131    30.4
19530201 19530228    30.6
19530301 19530331    28.9
19530401 19530430    28.4
19530501 19530531    27.5
19530601 19530630    26.7
19530701 19530731    25.5
19530801 19530831    25.0
19530901 19530930    26.7
19531001 19531031    28.8
19531101 19531130    30.6
19531201 19531231    30.7
19540101 19540131    30.1
19540201 19540228    30.6
19540301 19540331    29.3
19540401 19540430    28.3
19540501 19540531    27.5
19540601 19540630    26.4
19540701 19540731    25.9
19540801 19540831    26.2
19540901 19540930    27.1
19541001 19541031    28.7
19541101 19541130    29.5
19541201 19541231    29.8
19550101 19550131    30.6
19550201 19550228    30.7
19550301 19550331    29.2
19550401 19550430    29.1
19550501 19550531    28.0
19550601 19550630    26.8
19550701 19550731    26.2
19550801 19550831    26.6
19550901 19550930    26.9
19551001 19551031    28.9
19551101 19551130    29.3
19551201 19551231    30.5
19560101 19560131    30.8
19560201 19560229    30.6
19560301 19560331    29.6
19560401 19560430    28.9
19560501 19560531    29.0
19560601 19560630    27.3
19560701 19560731    26.7
19560801 19560831    25.8
