Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,070099,1913,01,01,0.0,,Y
IDCJAC0009,070099,1913,01,02,0.0,,Y
IDCJAC0009,070099,1913,01,03,2.5,1,Y
IDCJAC0009,070099,1913,01,04,0.0,,Y
IDCJAC0009,070099,1913,01,05,0.0,,Y
IDCJAC0009,070099,1913,01,06,0.0,,Y
IDCJAC0009,070099,1913,01,07,0.0,,Y
IDCJAC0009,070099,1913,01,08,0.0,,Y
IDCJAC0009,070099,1913,01,09,0.0,,Y
IDCJAC0009,070099,1913,01,10,0.0,,Y
IDCJAC0009,070099,1913,01,11,0.0,,Y
IDCJAC0009,070099,1913,01,12,0.0,,Y
IDCJAC0009,070099,1913,01,13,0.0,,Y
IDCJAC0009,070099,1913,01,14,0.0,,Y
IDCJAC0009,070099,1913,01,15,3.8,1,Y
IDCJAC0009,070099,1913,01,16,4.6,1,Y
IDCJAC0009,070099,1913,01,17,0.0,,Y
IDCJAC0009,070099,1913,01,18,0.5,1,Y
IDCJAC0009,070099,1913,01,19,0.0,,Y
IDCJAC0009,070099,1913,01,20,0.0,,Y
IDCJAC0009,070099,1913,01,21,0.0,,Y
IDCJAC0009,070099,1913,01,22,0.0,,Y
IDCJAC0009,070099,1913,01,23,0.0,,Y
IDCJAC0009,070099,1913,01,24,0.0,,Y
IDCJAC0009,070099,1913,01,25,0.0,,Y
IDCJAC0009,070099,1913,01,26,0.0,,Y
IDCJAC0009,070099,1913,01,27,0.0,,Y
IDCJAC0009,070099,1913,01,28,0.0,,Y
IDCJAC0009,070099,1913,01,29,2.3,1,Y
IDCJAC0009,070099,1913,01,30,0.0,,Y
IDCJAC0009,070099,1913,01,31,0.0,,Y
IDCJAC0009,070099,1913,02,01,0.0,,Y
IDCJAC0009,070099,1913,02,02,0.0,,Y
IDCJAC0009,070099,1913,02,03,0.0,,Y
IDCJAC0009,070099,1913,02,04,0.0,,Y
IDCJAC0009,070099,1913,02,05,0.0,,Y
IDCJAC0009,070099,1913,02,06,5.1,1,Y
IDCJAC0009,070099,1913,02,07,0.0,,Y
IDCJAC0009,070099,1913,02,08,0.0,,Y
IDCJAC0009,070099,1913,02,09,0.3,1,Y
IDCJAC0009,070099,1913,02,10,2.3,1,Y
IDCJAC0009,070099,1913,02,11,0.0,,Y
IDCJAC0009,070099,1913,02,12,0.0,,Y
IDCJAC0009,070099,1913,02,13,0.0,,Y
IDCJAC0009,070099,1913,02,14,2.5,1,Y
IDCJAC0009,070099,1913,02,15,0.0,,Y
IDCJAC0009,070099,1913,02,16,0.0,,Y
IDCJAC0009,070099,1913,02,17,5.1,1,Y
IDCJAC0009,070099,1913,02,18,0.0,,Y
IDCJAC0009,070099,1913,02,19,0.0,,Y
IDCJAC0009,070099,1913,02,20,0.0,,Y
IDCJAC0009,070099,1913,02,21,0.0,,Y
IDCJAC0009,070099,1913,02,22,0.0,,Y
IDCJAC0009,070099,1913,02,23,0.0,,Y
IDCJAC0009,070099,1913,02,24,0.0,,Y
IDCJAC0009,070099,1913,02,25,0.0,,Y
IDCJAC0009,070099,1913,02,26,0.8,1,Y
IDCJAC0009,070099,1913,02,27,5.1,1,Y
IDCJAC0009,070099,1913,02,28,35.6,1,Y
IDCJAC0009,070099,1913,03,01,0.0,,Y
IDCJAC0009,070099,1913,03,02,0.0,,Y
IDCJAC0009,070099,1913,03,03,0.0,,Y
IDCJAC0009,070099,1913,03,04,0.0,,Y
IDCJAC0009,070099,1913,03,05,5.1,1,Y
IDCJAC0009,070099,1913,03,06,8.9,1,Y
IDCJAC0009,070099,1913,03,07,0.0,,Y
IDCJAC0009,070099,1913,03,08,3.6,1,Y
IDCJAC0009,070099,1913,03,09,29.5,1,Y
IDCJAC0009,070099,1913,03,10,0.0,,Y
IDCJAC0009,070099,1913,03,11,0.0,,Y
IDCJAC0009,070099,1913,03,12,0.0,,Y
IDCJAC0009,070099,1913,03,13,11.2,1,Y
IDCJAC0009,070099,1913,03,14,0.0,,Y
IDCJAC0009,070099,1913,03,15,0.0,,Y
IDCJAC0009,070099,1913,03,16,0.5,1,Y
IDCJAC0009,070099,1913,03,17,0.0,,Y
IDCJAC0009,070099,1913,03,18,0.0,,Y
IDCJAC0009,070099,1913,03,19,0.0,,Y
IDCJAC0009,070099,1913,03,20,0.0,,Y
IDCJAC0009,070099,1913,03,21,0.0,,Y
IDCJAC0009,070099,1913,03,22,0.0,,Y
IDCJAC0009,070099,1913,03,23,0.0,,Y
