Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1949,,,0,
1950,15.915891,24.589315,1,"=""040223"""
1951,14.495592,24.746538,1,"=""040223"""
1952,15.917486,25.509563,1,"=""040223"""
1953,15.500274,25.907124,1,"=""040223"""
1954,16.244383,25.407124,1,"=""040223"""
1955,15.953151,25.687672,1,"=""040223"""
1956,15.3398905,25.323223,1,"=""040223"""
1957,15.856712,26.172054,1,"=""040223"""
1958,16.219727,26.06411,1,"=""040223"""
1959,15.491507,25.275068,1,"=""040223"""
1960,15.012295,25.289618,1,"=""040223"""
1961,15.298082,25.367397,1,"=""040223"""
1962,15.463287,25.6,1,"=""040223"""
1963,15.672329,25.15726,1,"=""040223"""
1964,15.701093,25.843443,1,"=""040223"""
1965,15.859452,25.792328,1,"=""040223"""
1966,15.697535,25.3663,1,"=""040223"""
1967,15.974794,25.242191,1,"=""040223"""
1968,16.064754,25.866028,1,"=""040223"""
1969,16.46137,25.77041,1,"=""040223"""
1970,14.860274,25.54767,1,"=""040223"""
1971,15.140274,25.339725,1,"=""040223"""
1972,15.218033,25.15082,1,"=""040223"""
1973,16.792265,26.210468,1,"=""040223"""
1974,15.219452,24.843288,1,"=""040223"""
1975,15.625205,25.421917,1,"=""040223"""
1976,15.84918,25.200819,1,"=""040223"""
1977,15.673972,25.876163,1,"=""040223"""
1978,15.684658,24.998356,1,"=""040223"""
1979,15.926301,25.720274,1,"=""040223"""
1980,16.314207,25.940165,1,"=""040223"""
1981,15.82,25.37315,1,"=""040223"""
1982,15.359726,25.235891,1,"=""040223"""
1983,16.256987,25.16274,1,"=""040223"""
1984,15.613114,24.938524,1,"=""040223"""
1985,15.880274,25.318905,1,"=""040223"""
1986,16.161097,25.687122,1,"=""040223"""
1987,16.320547,25.611507,1,"=""040223"""
1988,16.113388,25.424316,1,"=""040223"""
1989,15.440274,24.635069,1,"=""040223"""
1990,15.560548,24.964384,1,"=""040223"""
1991,15.502192,25.829863,1,"=""040223"""
1992,15.319673,25.084427,1,"=""040223"""
1993,15.779452,25.338356,1,"=""040223"""
1994,14.622466,25.14959,1,"=""040223"""
1995,15.337809,25.20822,1,"=""040223"""
1996,15.209836,25.321312,1,"=""040223"""
1997,15.356439,25.207945,1,"=""040223"""
1998,16.120548,25.652328,1,"=""040223"""
1999,15.682205499999998,24.3872395,2,"=""040842;040223"""
2000,14.962674,24.997208,1,"=""040842"""
2001,15.183836,25.718357,1,"=""040842"""
2002,15.074246,25.856438,1,"=""040842"""
2003,15.109589,25.240822,1,"=""040842"""
2004,15.322951,25.946995,1,"=""040842"""
2005,15.936439,25.796438,1,"=""040842"""
2006,15.4134245,25.513699,1,"=""040842"""
2007,15.795342,25.48,1,"=""040842"""
2008,15.1882515,24.969946,1,"=""040842"""
2009,15.921644,25.896986,1,"=""040842"""
2010,16.233973,24.826027,1,"=""040842"""
2011,15.314246,24.806301,1,"=""040842"""
2012,15.408196,25.06776,1,"=""040842"""
2013,16.056438,25.331781,1,"=""040842"""
2014,16.167671,25.750685,1,"=""040842"""
2015,16.007946,25.295069,1,"=""040842"""
2016,16.506557,25.86284,1,"=""040842"""
