Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1884,,,0,
1885,,,0,
1886,,,0,
1887,,,0,
1888,,,0,
1889,,,0,
1890,,,0,
1891,,,0,
1892,,,0,
1893,,,0,
1894,,,0,
1895,,,0,
1896,,,0,
1897,,,0,
1898,6.958082,18.456985,1,"=""091049"""
1899,,,0,
1900,,,0,
1901,6.5254793,17.83644,1,"=""091049"""
1902,6.2838354,17.820822,1,"=""091049"""
1903,,,0,
1904,,,0,
1905,,,0,
1906,5.779452,17.739286,1,"=""091049"""
1907,4.7246575,17.780273,1,"=""091049"""
1908,6.03306,18.266943,1,"=""091049"""
1909,7.1352615,17.263561,1,"=""091049"""
1910,7.9238358,18.252329,1,"=""091049"""
1911,7.5616436,18.009588,1,"=""091049"""
1912,7.3155737,18.25082,1,"=""091049"""
1913,6.989863,18.134521,1,"=""091049"""
1914,7.52274,19.38274,1,"=""091049"""
1915,7.379452,18.101095,1,"=""091049"""
1916,7.812568,17.890438,1,"=""091049"""
1917,7.967397,18.12685,1,"=""091049"""
1918,7.350685,18.783287,1,"=""091049"""
1919,7.599452,19.038904,1,"=""091049"""
1920,7.5369864,18.622677,1,"=""091049"""
1921,8.133972,19.252604,1,"=""091049"""
1922,7.6764383,18.769316,1,"=""091049"""
1923,7.3345203,18.22137,1,"=""091049"""
1924,7.1289616,17.731693,1,"=""091049"""
1925,7.113425,18.602467,1,"=""091049"""
1926,8.011507,18.750685,1,"=""091049"""
1927,7.0835614,18.105753,1,"=""091049"""
1928,8.083607,18.088251,1,"=""091049"""
1929,7.3493037,17.075699,1,"=""091049"""
1930,7.5054793,18.653425,1,"=""091049"""
1931,7.0021915,17.90411,1,"=""091049"""
1932,7.5040984,17.961203,1,"=""091049"""
1933,6.7654796,18.077808,1,"=""091049"""
1934,7.683014,18.593407,1,"=""091049"""
1935,7.2906847,18.141644,1,"=""091049"""
1936,7.339344,18.196175,1,"=""091049"""
1937,7.1369863,18.525206,1,"=""091049"""
1938,,,0,
1939,7.33489,18.469042,1,"=""091049"""
1940,6.1372952000000005,17.8508195,2,"=""091049;091104"""
1941,6.58036825,17.656983500000003,2,"=""091049;091104"""
1942,7.226815,17.727314,2,"=""091049;091104"""
1943,6.248336500000001,17.801482,2,"=""091049;091104"""
1944,5.9975276,16.638292,1,"=""091104"""
1945,6.37586765,16.982642499999997,2,"=""091049;091104"""
1946,6.76605165,16.8463235,2,"=""091049;091104"""
1947,7.19288315,18.024307,2,"=""091049;091104"""
1948,6.266234,17.011941999999998,2,"=""091049;091104"""
1949,5.74374735,16.742408,2,"=""091049;091104"""
1950,6.48260275,17.675890000000003,2,"=""091049;091104"""
1951,6.432003,17.5152475,2,"=""091049;091104"""
1952,6.269584399999999,17.026360500000003,2,"=""091049;091104"""
1953,6.3143835500000005,17.449589,2,"=""091049;091104"""
1954,6.477260299999999,17.6484935,2,"=""091049;091104"""
1955,6.46685785,17.3880005,2,"=""091049;091104"""
1956,6.78278685,17.257298,2,"=""091049;091104"""
1957,5.3139277,16.479387,1,"=""091104"""
1958,5.7758904,16.457808,1,"=""091104"""
1959,6.246537,17.24349,1,"=""091104"""
1960,6.066295,16.785793,1,"=""091104"""
1961,6.933884,17.857576,1,"=""091104"""
1962,6.534711,16.721212,1,"=""091104"""
1963,6.16768,16.820442,1,"=""091104"""
1964,6.432787,15.758197,1,"=""091104"""
1965,6.320274,16.707123,1,"=""091104"""
1966,6.7493153,16.723013,1,"=""091104"""
1967,6.5616436,16.925753,1,"=""091104"""
1968,6.8128414,16.188797,1,"=""091104"""
1969,6.6939726,16.633972,1,"=""091104"""
1970,5.9764385,16.447945,1,"=""091104"""
1971,6.139452,16.709042,1,"=""091104"""
1972,5.5677595,17.85233,1,"=""091104"""
1973,6.3315067,17.042192,1,"=""091104"""
1974,6.4709587,16.967945,1,"=""091104"""
1975,5.801096,16.59863,1,"=""091104"""
1976,5.5972676,16.784973,1,"=""091104"""
1977,5.52,16.883562,1,"=""091104"""
1978,6.1871233,16.729315,1,"=""091104"""
1979,6.0350685,17.193699,1,"=""091104"""
1980,6.549727,17.350273,1,"=""091104"""
1981,6.761813,17.569862,1,"=""091104"""
1982,5.8447804,17.635069,1,"=""091104"""
1983,6.0344353,16.991507,1,"=""091104"""
1984,,,0,
1985,,,0,
1986,5.812329,16.429121,1,"=""091104"""
1987,5.930411,16.908493,1,"=""091104"""
1988,7.593169,17.948908,1,"=""091104"""
1989,6.7038355,17.354795,1,"=""091104"""
1990,6.409589,17.328768,1,"=""091104"""
1991,6.050137,17.055891,1,"=""091104"""
1992,6.4260273,16.48634,1,"=""091104"""
1993,6.473973,17.148493,1,"=""091104"""
1994,5.8769865,17.121918,1,"=""091104"""
1995,5.907123,16.428493,1,"=""091104"""
1996,5.960109,16.121584,1,"=""091104"""
1997,5.9742465,17.390684,1,"=""091104"""
1998,6.020274,17.438082,1,"=""091104"""
1999,6.40419,17.60822,1,"=""091104"""
2000,6.3172603,17.57315,1,"=""091104"""
2001,6.4093666,17.27781,1,"=""091104"""
2002,5.93863,17.623562,1,"=""091104"""
2003,6.16137,17.481369,1,"=""091104"""
2004,5.7587433,16.892307,1,"=""091104"""
2005,6.54279775,17.7661705,2,"=""091311;091104"""
2006,5.28553735,17.506335999999997,2,"=""091311;091104"""
2007,6.859097500000001,18.400575500000002,2,"=""091311;091104"""
2008,6.1819179,17.5276565,2,"=""091311;091104"""
