Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1881,,,0,
1882,,,0,
1883,,,0,
1884,,,0,
1885,,,0,
1886,11.014521,27.066849,1,"=""048030"""
1887,10.55863,28.456985,1,"=""048030"""
1888,12.822404,29.934153,1,"=""048030"""
1889,15.496986,28.81863,1,"=""048030"""
1890,10.836712,27.71863,1,"=""048030"""
1891,,,0,
1892,,,0,
1893,,,0,
1894,,,0,
1895,,,0,
1896,,,0,
1897,11.982466,25.458357,1,"=""048030"""
1898,12.583562,26.0537,1,"=""048030"""
1899,12.383014,25.44,1,"=""048030"""
1900,,,0,
1901,,,0,
1902,10.164109,26.204384,1,"=""048030"""
1903,11.177534,24.783287,1,"=""048030"""
1904,11.335246,24.914207,1,"=""048030"""
1905,9.854546,23.683754,1,"=""048030"""
1906,12.647123,25.355616,1,"=""048030"""
1907,,,0,
1908,12.061049,25.507143,1,"=""048030"""
1909,11.410411,24.223288,1,"=""048030"""
1910,12.66274,24.922253,1,"=""048030"""
1911,12.190685,24.19233,1,"=""048030"""
1912,12.560548,25.772131,1,"=""048030"""
1913,12.591389,25.411295,1,"=""048030"""
1914,14.186539,27.36989,1,"=""048030"""
1915,13.229396,25.984932,1,"=""048030"""
1916,12.644657,24.541256,1,"=""048030"""
1917,12.086849,24.155617,1,"=""048030"""
1918,12.442466,25.250824,1,"=""048030"""
1919,13.519009,26.776648,1,"=""048030"""
1920,12.437883,24.56205,1,"=""048030"""
1921,,,0,
1922,12.251648,26.352747,1,"=""048030"""
1923,12.815978,26.255342,1,"=""048030"""
1924,11.03895,24.800547,1,"=""048030"""
1925,10.836987,24.774794,1,"=""048030"""
1926,11.538356,25.840275,1,"=""048030"""
1927,10.716897,25.423204,1,"=""048030"""
1928,11.3950815,25.977869,1,"=""048030"""
1929,10.581543,25.54931,1,"=""048030"""
1930,11.726389,25.481918,1,"=""048030"""
1931,10.533424,24.785479,1,"=""048030"""
1932,11.49235,25.407377,1,"=""048030"""
1933,9.805205,24.903563,1,"=""048030"""
1934,10.294429,25.235891,1,"=""048030"""
1935,,,0,
1936,10.144809,24.837431,1,"=""048030"""
1937,11.116713,26.091232,1,"=""048030"""
1938,11.882192,27.12767,1,"=""048030"""
1939,13.073424,25.208517,1,"=""048030"""
1940,12.580874,26.907923,1,"=""048030"""
1941,12.069863,25.22,1,"=""048030"""
1942,12.523014,24.853315,1,"=""048030"""
1943,11.745206,25.223078,1,"=""048030"""
1944,12.254372,26.311506,1,"=""048030"""
1945,11.765934,25.888462,1,"=""048030"""
1946,12.036164,25.939285,1,"=""048030"""
1947,12.319452,25.056438,1,"=""048030"""
1948,11.605465,25.516666,1,"=""048030"""
1949,11.3619175,25.149315,1,"=""048030"""
1950,12.292055,24.769316,1,"=""048030"""
1951,11.78274,26.1263,1,"=""048030"""
1952,11.7937155,25.446447,1,"=""048030"""
1953,11.914795,26.075825,1,"=""048030"""
1954,11.909589,26.02685,1,"=""048030"""
1955,12.309589,25.400274,1,"=""048030"""
1956,10.917213,24.344263,1,"=""048030"""
1957,11.283562,28.102198,1,"=""048030"""
1958,12.31044,26.67589,1,"=""048030"""
1959,12.567671,26.372877,1,"=""048030"""
1960,12.25929,25.500273,1,"=""048030"""
1961,12.399725,26.588736,1,"=""048030"""
1962,11.674515,25.769781,1,"=""048030"""
1963,12.4319175,24.951644,2,"=""048027;048030"""
1964,11.693151,25.412217,2,"=""048027;048030"""
1965,12.652128000000001,26.931739,2,"=""048027;048030"""
1966,12.451923,24.329315,1,"=""048027"""
1967,13.223836,25.463562,1,"=""048027"""
1968,13.060656,24.484154,1,"=""048027"""
1969,12.850685,24.71726,1,"=""048027"""
1970,11.995891,24.391506,1,"=""048027"""
1971,12.39945,24.167307,1,"=""048027"""
1972,12.577049,25.393715,1,"=""048027"""
1973,13.318082,24.696987,1,"=""048027"""
1974,11.9906845,24.035069,1,"=""048027"""
1975,12.63863,25.84685,1,"=""048027"""
1976,11.390984,24.495628,1,"=""048027"""
1977,12.595616,26.015343,1,"=""048027"""
1978,12.135343,24.162739,1,"=""048027"""
1979,13.0679455,25.62685,1,"=""048027"""
1980,13.307651,26.109016,1,"=""048027"""
1981,13.26,24.943014,1,"=""048027"""
1982,13.020274,25.98274,1,"=""048027"""
1983,12.747124,24.276922,1,"=""048027"""
1984,11.12459,23.824043,1,"=""048027"""
1985,12.271781,24.746574,1,"=""048027"""
1986,12.237808,24.926027,1,"=""048027"""
1987,12.818082,24.832603,1,"=""048027"""
1988,13.174044,25.091803,1,"=""048027"""
1989,12.528571,24.40274,1,"=""048027"""
1990,13.045205,24.773151,1,"=""048027"""
1991,13.169863,25.894247,1,"=""048027"""
1992,12.133607,23.73306,1,"=""048027"""
1993,12.781918,25.119452,1,"=""048027"""
1994,12.28137,25.463835,1,"=""048027"""
1995,12.558356,24.815891,1,"=""048027"""
