Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1861,,,0,
1862,,,0,
1863,,,0,
1864,,,0,
1865,9.375757,18.056475,1,"=""090015"""
1866,,,0,
1867,,,0,
1868,,,0,
1869,,,0,
1870,10.581369,18.157534,1,"=""090015"""
1871,10.745206,18.724384,1,"=""090015"""
1872,10.778142,18.5153,1,"=""090015"""
1873,10.816986,19.072054,1,"=""090015"""
1874,10.178082,18.380821,1,"=""090015"""
1875,10.297253,18.536438,1,"=""090015"""
1876,10.276164,19.123417,1,"=""090015"""
1877,10.171191,18.2135,1,"=""090015"""
1878,,,0,
1879,,,0,
1880,10.439617,19.38989,1,"=""090015"""
1881,10.2,19.062466,1,"=""090015"""
1882,10.055068,19.275068,1,"=""090015"""
1883,,,0,
1884,,,0,
1885,,,0,
1886,10.385595,18.655249,1,"=""090015"""
1887,,,0,
1888,10.397541,18.123627,1,"=""090015"""
1889,10.827945,18.624157,1,"=""090015"""
1890,11.338904,19.19863,1,"=""090015"""
1891,10.910685,19.152603,1,"=""090015"""
1892,10.412842,18.283287,1,"=""090015"""
1893,10.798356,18.506302,1,"=""090015"""
1894,10.865753,18.815342,1,"=""090015"""
1895,10.778022,18.86,1,"=""090015"""
1896,10.656044,18.745356,1,"=""090015"""
1897,11.340998,18.728651,1,"=""090015"""
1898,12.164384,18.939726,1,"=""090015"""
1899,11.000548,17.406849,1,"=""090015"""
1900,10.001096,17.892603,1,"=""090015"""
1901,9.566575,17.678846,1,"=""090015"""
1902,10.27315,17.696438,1,"=""090015"""
1903,10.411295,17.191507,1,"=""090015"""
1904,10.47459,17.492077,1,"=""090015"""
1905,9.668493,16.53416,1,"=""090015"""
1906,10.309863,17.207672,1,"=""090015"""
1907,10.18137,17.060822,1,"=""090015"""
1908,10.634973,17.30137,1,"=""090015"""
1909,10.113699,16.189863,1,"=""090015"""
1910,10.9320545,16.853424,1,"=""090015"""
1911,10.826575,16.123014,1,"=""090015"""
1912,10.874864,16.559017,1,"=""090015"""
1913,10.581918,16.35041,1,"=""090015"""
1914,10.229315,17.11863,1,"=""090015"""
1915,10.354494,16.19233,1,"=""090015"""
1916,10.499178,16.44153,1,"=""090015"""
1917,10.723185,16.435715,1,"=""090015"""
1918,,,0,
1919,11.424581,17.189316,1,"=""090015"""
1920,10.730167,16.42022,1,"=""090015"""
1921,,,0,
1922,10.938827,16.623901,1,"=""090015"""
1923,10.692857,16.391506,1,"=""090015"""
1924,,,0,
1925,10.668767,16.36511,1,"=""090015"""
1926,11.1895895,16.832418,1,"=""090015"""
1927,10.315068,16.308767,1,"=""090015"""
1928,,,0,
1929,10.155647,15.599452,1,"=""090015"""
1930,10.696428,16.864931,1,"=""090015"""
1931,10.201649,15.929316,1,"=""090015"""
1932,10.525274,16.260382,1,"=""090015"""
1933,10.477198,16.226576,1,"=""090015"""
1934,11.331956,17.093699,1,"=""090015"""
1935,9.044931,16.508219,1,"=""090015"""
1936,10.409315,16.379234,1,"=""090015"""
1937,10.955069,16.29726,1,"=""090015"""
1938,10.9884615,16.61863,1,"=""090015"""
1939,10.535014,16.523014,1,"=""090015"""
1940,10.39863,16.453005,1,"=""090015"""
1941,10.400274,16.277136,1,"=""090015"""
1942,10.776439,16.467123,1,"=""090015"""
1943,10.161496,15.627671,1,"=""090015"""
1944,9.605571,16.153551,1,"=""090015"""
1945,9.915342,16.06411,1,"=""090015"""
1946,9.848767,15.510959,1,"=""090015"""
1947,10.789589,16.73077,1,"=""090015"""
1948,10.239345,15.896995,1,"=""090015"""
1949,9.668612,15.414247,1,"=""090015"""
1950,10.736986,16.696438,1,"=""090015"""
1951,10.596165,16.572054,1,"=""090015"""
1952,9.952329,15.970219,1,"=""090015"""
1953,10.25452,16.620548,1,"=""090015"""
1954,10.127398,16.557535,1,"=""090015"""
1955,10.366758,16.63315,1,"=""090015"""
1956,,,0,
1957,,,0,
1958,,,0,
1959,,,0,
1960,,,0,
1961,10.66923,17.390684,1,"=""090015"""
1962,,,0,
1963,10.332055,16.629314,1,"=""090015"""
1964,9.804408,16.131695,1,"=""090015"""
1965,10.15884,16.833698,1,"=""090015"""
1966,10.237255,16.752054,1,"=""090015"""
1967,,,0,
1968,,,0,
1969,,,0,
1970,10.183561,16.269146,1,"=""090015"""
1971,10.618132,16.698076,1,"=""090015"""
