Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1938,,,0,
1939,8.813461,19.93599,1,"=""084030"""
1940,8.305465,20.185165,1,"=""084030"""
1941,8.420822,19.232876,1,"=""084030"""
1942,8.297534,19.88137,1,"=""084030"""
1943,7.504121,18.900549,1,"=""084030"""
1944,7.7460055,19.70854,1,"=""084030"""
1945,7.8527474,19.237637,1,"=""084030"""
1946,7.9686112,19.236843,1,"=""084030"""
1947,,,0,
1948,7.7263737,19.409065,1,"=""084030"""
1949,8.389474,18.9721,1,"=""084030"""
1950,9.172802,19.667582,1,"=""084030"""
1951,8.855617,20.087124,1,"=""084030"""
1952,8.856593,19.207418,1,"=""084030"""
1953,8.624931,19.787672,1,"=""084030"""
1954,8.353972,19.891233,1,"=""084030"""
1955,8.555494,19.937912,1,"=""084030"""
1956,8.834247,19.275957,1,"=""084030"""
1957,7.8994474,20.240772,1,"=""084030"""
1958,8.45,19.552748,1,"=""084030"""
1959,9.283517,20.382143,1,"=""084030"""
1960,8.578142,20.068853,1,"=""084030"""
1961,9.0643835,20.449316,1,"=""084030"""
1962,8.351381,20.09972,1,"=""084030"""
1963,,,0,
1964,,,0,
1965,,,0,
1966,,,0,
1967,8.57863,19.962362,1,"=""084030"""
1968,9.358904,20.326777,1,"=""084030"""
1969,9.357534,19.737087,1,"=""084030"""
1970,8.989041,19.441917,1,"=""084030"""
1971,9.2553425,20.21863,1,"=""084030"""
1972,8.763661,20.832787,1,"=""084030"""
1973,9.582466,20.69178,1,"=""084030"""
1974,9.5715065,19.986576,1,"=""084030"""
1975,9.496164,20.51096,1,"=""084030"""
1976,9.351093,19.875488,1,"=""084030"""
1977,9.112877,20.116987,1,"=""084030"""
1978,9.540274,20.08245,1,"=""084030"""
1979,9.139178,21.230412,1,"=""084030"""
1980,9.455464,21.709042,1,"=""084030"""
1981,9.468132,21.392307,1,"=""084030"""
1982,9.033151,21.55863,1,"=""084030"""
1983,9.424932,21.03178,1,"=""084030"""
1984,,,0,
1985,9.017534,19.77452,1,"=""084030"""
1986,8.386027,19.701933,1,"=""084030"""
1987,8.39589,19.983791,1,"=""084030"""
1988,9.531967,20.977596,1,"=""084030"""
1989,9.226795,20.092562,1,"=""084030"""
1990,9.360822,20.196438,1,"=""084030"""
1991,9.34478,20.120718,1,"=""084030"""
1992,9.035617,19.359564,1,"=""084030"""
1993,9.401099,20.031319,1,"=""084030"""
1994,8.235068,19.88959,1,"=""084030"""
1995,8.428219,19.22959,1,"=""084030"""
1996,,,0,
1997,8.827945,20.486301,1,"=""084030"""
1998,8.979224,20.317175,1,"=""084030"""
1999,9.053972,20.84548,1,"=""084030"""
2000,9.059945,20.738905,1,"=""084030"""
2001,9.736777,20.2047575,2,"=""084145;084030"""
2002,9.898901,20.311813,1,"=""084145"""
2003,9.63719,20.274931,1,"=""084145"""
2004,9.749861,19.777159,1,"=""084145"""
2005,9.874033,20.762983,1,"=""084145"""
2006,9.438827,20.074022,1,"=""084145"""
2007,10.0954795,20.9505835,2,"=""084145;084030"""
2008,9.300797,20.490007,2,"=""084145;084030"""
2009,9.479121,21.3428005,2,"=""084145;084030"""
2010,9.552055,20.557396500000003,2,"=""084145;084030"""
2011,10.278571,19.945206,1,"=""084145"""
2012,9.941644,20.250137,1,"=""084145"""
2013,,,0,
2014,10.406336,20.901102,1,"=""084145"""
2015,10.088202,20.14944,1,"=""084145"""
2016,,,0,
