Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1907,11.472329,25.33644,1,"=""012039"""
1908,11.240548,24.688524,1,"=""012039"""
1909,11.187672,24.620548,1,"=""012039"""
1910,11.620822,25.479177,1,"=""012039"""
1911,11.844932,26.216164,1,"=""012039"""
1912,12.746995,26.842623,1,"=""012039"""
1913,12.059726,25.955616,1,"=""012039"""
1914,12.580274,26.650412,1,"=""012039"""
1915,12.652877,25.486576,1,"=""012039"""
1916,11.472131,25.67705,1,"=""012039"""
1917,11.116986,24.118082,1,"=""012039"""
1918,12.659178,25.998903,1,"=""012039"""
1919,12.480548,26.157534,1,"=""012039"""
1920,11.921858,25.745901,1,"=""012039"""
1921,12.69726,26.615343,1,"=""012039"""
1922,11.989589,26.026302,1,"=""012039"""
1923,12.389315,26.297808,1,"=""012039"""
1924,11.834426,25.901913,1,"=""012039"""
1925,12.045205,25.435343,1,"=""012039"""
1926,12.142739,26.165205,1,"=""012039"""
1927,12.273699,25.696438,1,"=""012039"""
1928,11.871075,26.304932,1,"=""012039"""
1929,11.52411,25.304384,1,"=""012039"""
1930,12.148767,26.615068,1,"=""012039"""
1931,10.671978,24.499722,1,"=""012039"""
1932,12.123224,25.77541,1,"=""012039"""
1933,12.003287,25.83315,1,"=""012039"""
1934,12.627398,25.83452,1,"=""012039"""
1935,11.749315,25.36822,1,"=""012039"""
1936,12.861749,26.514208,1,"=""012039"""
1937,13.235068,25.418081,1,"=""012039"""
1938,12.188219,25.659725,1,"=""012039"""
1939,12.076732,24.742105,1,"=""012039"""
1940,12.469061,26.003021,1,"=""012039"""
1941,12.31589,25.31863,1,"=""012039"""
1942,11.688219,24.069315,1,"=""012039"""
1943,11.109451,24.3489035,2,"=""012038;012039"""
1944,11.5629495,25.7650455,2,"=""012038;012039"""
1945,12.2190935,25.5875345,2,"=""012038;012039"""
1946,11.554794000000001,25.28405,2,"=""012038;012039"""
1947,11.8541095,24.8349315,2,"=""012038;012039"""
1948,11.5352455,25.334177,2,"=""012038;012039"""
1949,11.7923285,24.970274,2,"=""012038;012039"""
1950,12.0397265,25.8250685,2,"=""012038;012039"""
1951,12.0327395,24.937807499999998,2,"=""012038;012039"""
1952,10.9122945,24.4251365,2,"=""012038;012039"""
1953,11.203562,24.871233,1,"=""012038"""
1954,11.196164,25.117535,1,"=""012038"""
1955,10.965754,23.591507,1,"=""012038"""
1956,10.824043,24.872952,1,"=""012038"""
1957,11.522739,26.02685,1,"=""012038"""
1958,11.593972,24.751232,1,"=""012038"""
1959,11.974794,25.835068,1,"=""012038"""
1960,10.368032,23.86612,1,"=""012038"""
1961,11.460548,26.225754,1,"=""012038"""
1962,11.463014,26.011232,1,"=""012038"""
1963,11.677808,24.373425,1,"=""012038"""
1964,11.01694,25.020218,1,"=""012038"""
1965,11.916713,25.752329,1,"=""012038"""
1966,10.804383,24.783333,1,"=""012038"""
1967,11.567857,24.824726,1,"=""012038"""
1968,10.830054,24.246994,1,"=""012038"""
1969,11.462192,25.828218,1,"=""012038"""
1970,11.354521,25.464657,1,"=""012038"""
1971,11.118356,24.966848,1,"=""012038"""
1972,12.267487,26.098907,1,"=""012038"""
1973,12.056198,24.349451,1,"=""012038"""
1974,11.729589,24.09589,1,"=""012038"""
1975,11.035342,24.130136,1,"=""012038"""
1976,11.423771,25.515028,1,"=""012038"""
1977,12.125753,26.135069,1,"=""012038"""
1978,12.4134245,25.383015,1,"=""012038"""
1979,12.007398,25.635069,1,"=""012038"""
1980,12.246721,25.858196,1,"=""012038"""
1981,11.400274,24.96767,1,"=""012038"""
1982,11.819178,25.580822,1,"=""012038"""
1983,12.198357,25.908493,1,"=""012038"""
1984,11.521312,24.59071,1,"=""012038"""
1985,11.879726,25.60685,1,"=""012038"""
1986,11.323835,24.423014,1,"=""012038"""
1987,11.469589,25.186028,1,"=""012038"""
1988,11.921585,25.398361,1,"=""012038"""
1989,11.525479,24.904932,1,"=""012038"""
1990,11.857808,24.710686,1,"=""012038"""
1991,12.557534,26.201643,1,"=""012038"""
1992,11.649041,23.626503,1,"=""012038"""
1993,11.423562,24.739725,1,"=""012038"""
1994,11.976165,26.679178,1,"=""012038"""
1995,11.493151,24.439726,1,"=""012038"""
1996,11.867486,25.969398,1,"=""012038"""
1997,11.963836,25.29315,1,"=""012038"""
1998,12.26274,25.412054,1,"=""012038"""
1999,11.773352,24.860823,1,"=""012038"""
2000,11.316394,24.39399,1,"=""012038"""
2001,11.305205,24.95589,1,"=""012038"""
2002,12.308494,26.510685,1,"=""012038"""
2003,12.442192,25.565754,1,"=""012038"""
2004,12.0497265,25.65,1,"=""012038"""
2005,12.35589,26.195068,1,"=""012038"""
2006,12.287945,25.991507,1,"=""012038"""
2007,12.416713,26.403013,1,"=""012038"""
2008,12.340437,25.484972,1,"=""012038"""
2009,12.393972,26.063288,1,"=""012038"""
2010,12.3991785,25.84685,1,"=""012038"""
2011,12.664384,24.78822,1,"=""012038"""
2012,12.282514,25.819672,1,"=""012038"""
2013,12.670411,26.05178,1,"=""012038"""
2014,12.642307,26.12959,1,"=""012038"""
2015,12.873973,26.356987,1,"=""012038"""
2016,11.916991,24.919445,1,"=""012038"""
