Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1893,,,0,
1894,16.557262,28.196339,1,"=""034002"""
1895,17.003582,29.53654,1,"=""034002"""
1896,16.729889,28.885237,1,"=""034002"""
1897,,,0,
1898,17.183792,30.517647,1,"=""034002"""
1899,16.061983,29.998623,1,"=""034002"""
1900,17.782192,31.216713,1,"=""034002"""
1901,17.06767,29.86137,1,"=""034002"""
1902,,,0,
1903,,,0,
1904,,,0,
1905,,,0,
1906,17.595343,30.345455,1,"=""034002"""
1907,,,0,
1908,16.679453,29.759836,1,"=""034002"""
1909,15.943562,30.215,1,"=""034002"""
1910,16.724726,29.772253,1,"=""034002"""
1911,,,0,
1912,,,0,
1913,15.998608,29.561813,1,"=""034002"""
1914,,,0,
1915,,,0,
1916,,,0,
1917,16.104986,28.979109,1,"=""034002"""
1918,,,0,
1919,16.714764,30.453424,1,"=""034002"""
1920,17.26858,30.263388,1,"=""034002"""
1921,17.25863,29.634079,1,"=""034002"""
1922,16.935343,30.550411,1,"=""034002"""
1923,15.730685,30.881643,1,"=""034002"""
1924,16.689589,29.752733,1,"=""034002"""
1925,16.383287,29.621918,1,"=""034002"""
1926,17.142458,31.026302,1,"=""034002"""
1927,16.960989,29.264383,1,"=""034002"""
1928,17.188797,30.56323,1,"=""034002"""
1929,16.610958,30.107944,1,"=""034002"""
1930,16.823835,29.313972,1,"=""034002"""
1931,18.020273,31.169863,1,"=""034002"""
1932,17.062021,30.605192,1,"=""034002"""
1933,17.704659,29.51589,1,"=""034002"""
1934,17.14767,29.496143,1,"=""034002"""
1935,17.69233,31.200548,1,"=""034002"""
1936,17.645082,29.713934,1,"=""034002"""
1937,17.048492,30.187397,1,"=""034002"""
1938,17.561918,30.230137,1,"=""034002"""
1939,16.948767,30.062466,1,"=""034002"""
1940,16.984426,29.875683,1,"=""034002"""
1941,16.23863,29.326576,1,"=""034002"""
1942,17.561918,31.016712,1,"=""034002"""
1943,17.114836,31.56226,1,"=""034002"""
1944,,,0,
1945,,,0,
1946,,,0,
1947,,,0,
1948,17.44836,30.88989,1,"=""034002"""
1949,17.063013,29.600822,1,"=""034002"""
1950,17.358356,28.431232,1,"=""034002"""
1951,16.867672,30.531507,1,"=""034002"""
1952,18.2306,30.998907,1,"=""034002"""
1953,17.44548,30.20822,1,"=""034002"""
1954,17.050959,28.519009,1,"=""034002"""
1955,17.367218,29.421978,1,"=""034002"""
1956,16.910774,28.779282,1,"=""034002"""
1957,,,0,
1958,,,0,
1959,16.942106,29.871746,1,"=""034002"""
1960,15.285475,29.346518,1,"=""034002"""
1961,14.803581,30.08674,1,"=""034002"""
1962,17.46959,30.315617,1,"=""034002"""
1963,16.796143,29.488705,1,"=""034002"""
1964,17.866758,30.253334,1,"=""034002"""
1965,16.75138,29.496418,1,"=""034002"""
1966,17.185123,29.958904,1,"=""034002"""
1967,,,0,
1968,16.848314,29.708145,1,"=""034002"""
1969,,,0,
1970,17.309269,30.570671,1,"=""034002"""
1971,17.171389,30.23416,1,"=""034002"""
1972,16.556906,29.648619,1,"=""034002"""
1973,18.827198,30.059498,1,"=""034002"""
1974,,,0,
1975,,,0,
1976,17.27933,29.887186,1,"=""034002"""
1977,,,0,
1978,17.076649,29.3573,1,"=""034002"""
1979,17.33795,29.885956,1,"=""034002"""
1980,17.40934,30.389835,1,"=""034002"""
1981,17.533056,29.63889,1,"=""034002"""
1982,16.72548,30.239452,1,"=""034002"""
1983,18.423626,30.2427,1,"=""034002"""
1984,17.882645,30.235537,1,"=""034002"""
1985,17.766943,30.495592,1,"=""034002"""
1986,,,0,
1987,18.691233,31.179281,1,"=""034002"""
1988,18.40683,30.861748,1,"=""034002"""
1989,17.520994,29.587912,1,"=""034002"""
1990,17.515152,29.969807,1,"=""034002"""
1991,,,0,
1992,,,0,
1993,18.112087,30.719505,1,"=""034084"""
1994,17.520775,30.508587,1,"=""034084"""
1995,18.495068,30.616985,1,"=""034084"""
1996,18.30822,31.016438,1,"=""034084"""
1997,17.711294,29.787672,1,"=""034084"""
1998,18.463287,30.086302,1,"=""034084"""
1999,17.254469,29.69723,1,"=""034084"""
2000,16.890028,28.583103,1,"=""034084"""
2001,17.21044,30.991758,1,"=""034084"""
2002,17.260607,31.313774,1,"=""034084"""
2003,18.102793,31.027147,1,"=""034084"""
2004,17.622253,30.982418,1,"=""034084"""
2005,17.829805,30.824377,1,"=""034084"""
2006,,,0,
2007,17.47647,29.655462,1,"=""034084"""
2008,17.389473,29.788088,1,"=""034084"""
2009,,,0,
2010,18.220165,29.28685,1,"=""034084"""
2011,16.36188,29.302473,1,"=""034084"""
2012,16.669167,29.699451,1,"=""034084"""
2013,17.540607,31.072802,1,"=""034084"""
2014,17.446537,30.407713,1,"=""034084"""
2015,18.056868,31.297535,1,"=""034084"""
2016,18.95589,31.27452,1,"=""034084"""
