Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1893,16.552055,33.12,1,"=""030045"""
1894,15.02137,30.415342,1,"=""030045"""
1895,15.298626,31.900824,1,"=""030045"""
1896,15.415847,31.689072,1,"=""030045"""
1897,,,0,
1898,15.831129,32.208817,1,"=""030045"""
1899,15.553315,32.098343,1,"=""030045"""
1900,,,0,
1901,17.292032,33.192055,1,"=""030045"""
1902,,,0,
1903,,,0,
1904,,,0,
1905,16.153463,33.73435,1,"=""030045"""
1906,,,0,
1907,,,0,
1908,,,0,
1909,,,0,
1910,15.942149,32.95457,1,"=""030045"""
1911,15.081918,32.751507,1,"=""030045"""
1912,15.96694,33.99235,1,"=""030045"""
1913,14.682466,32.53041,1,"=""030045"""
1914,16.552328,33.366028,1,"=""030045"""
1915,17.380274,35.13589,1,"=""030045"""
1916,17.00854,32.982788,1,"=""030045"""
1917,,,0,
1918,14.948767,32.536438,1,"=""030045"""
1919,16.11863,33.372753,1,"=""030045"""
1920,16.89235,31.707924,1,"=""030045"""
1921,,,0,
1922,16.145027,32.76,1,"=""030045"""
1923,,,0,
1924,,,0,
1925,14.923014,32.59423,1,"=""030045"""
1926,16.539726,34.44822,1,"=""030045"""
1927,15.981644,32.773697,1,"=""030045"""
1928,16.738525,33.78716,1,"=""030045"""
1929,15.442857,32.38219,1,"=""030045"""
1930,15.785206,31.474451,1,"=""030045"""
1931,17.036713,33.605755,1,"=""030045"""
1932,17.083607,32.98552,1,"=""030045"""
1933,17.406576,31.818905,1,"=""030045"""
1934,17.351233,32.3737,1,"=""030045"""
1935,17.521917,33.32,1,"=""030045"""
1936,17.036066,32.349453,1,"=""030045"""
1937,16.149311,32.606888,1,"=""030045"""
1938,17.01041,33.30904,1,"=""030045"""
1939,16.189863,31.899452,1,"=""030045"""
1940,16.579725,32.256283,1,"=""030045"""
1941,16.000547,31.46274,1,"=""030045"""
1942,17.71589,33.764385,1,"=""030045"""
1943,16.125753,32.845753,1,"=""030045"""
1944,16.459562,32.3694,1,"=""030045"""
1945,16.823076,32.886303,1,"=""030045"""
1946,15.42,32.89589,1,"=""030045"""
1947,16.840385,32.738735,1,"=""030045"""
1948,16.635519,33.182514,1,"=""030045"""
1949,16.168493,31.98,1,"=""030045"""
1950,16.05315,30.586027,1,"=""030045"""
1951,14.40274,32.22356,1,"=""030045"""
1952,16.513935,33.648087,1,"=""030045"""
1953,15.334341,31.952602,1,"=""030045"""
1954,15.867956,31.618282,1,"=""030045"""
1955,16.5537,31.567398,1,"=""030045"""
1956,15.64399,30.758196,1,"=""030045"""
1957,15.953973,32.162086,1,"=""030045"""
1958,17.230684,32.992878,1,"=""030045"""
1959,17.322039,32.270523,1,"=""030045"""
1960,,,0,
1961,,,0,
1962,,,0,
1963,16.566849,31.870686,1,"=""030045"""
1964,17.054918,32.335518,1,"=""030045"""
1965,16.760275,32.664658,1,"=""030045"""
1966,16.632782,32.139286,1,"=""030045"""
1967,17.195604,32.636166,1,"=""030045"""
1968,17.005192,32.334972,1,"=""030045"""
1969,17.3925,33.304165,1,"=""030045"""
1970,16.766481,33.164722,1,"=""030045"""
1971,16.363407,32.375977,1,"=""030045"""
1972,,,0,
1973,,,0,
1974,15.612188,32.079723,1,"=""030045"""
1975,,,0,
1976,,,0,
1977,,,0,
1978,,,0,
1979,,,0,
1980,16.991209,34.1261,1,"=""030045"""
1981,,,0,
1982,,,0,
1983,17.927298,32.901672,1,"=""030045"""
1984,16.086033,32.086273,1,"=""030045"""
1985,16.964987,33.007565,1,"=""030045"""
1986,17.767307,33.813225,1,"=""030045"""
1987,17.730959,33.486427,1,"=""030045"""
1988,,,0,
1989,,,0,
1990,,,0,
1991,16.500826,32.65322,1,"=""030045"""
1992,17.180874,33.440445,1,"=""030045"""
1993,17.989315,33.4,1,"=""030045"""
1994,17.227272,32.924656,1,"=""030045"""
1995,17.927124,33.24219,1,"=""030045"""
1996,17.809862,33.461475,1,"=""030045"""
1997,17.546028,32.675617,1,"=""030045"""
1998,19.030136,33.634342,1,"=""030045"""
1999,17.92905,32.89162,1,"=""030045"""
2000,17.30822,31.946028,1,"=""030045"""
2001,17.056355,33.34254,1,"=""030045"""
2002,17.070604,33.85718,1,"=""030045"""
2003,18.343334,33.483334,1,"=""030045"""
2004,17.692308,33.039726,1,"=""030045"""
2005,18.655277,33.703056,1,"=""030045"""
2006,17.744629,32.552925,1,"=""030045"""
2007,17.643766,32.27673,1,"=""030045"""
2008,16.894428,32.469917,1,"=""030045"""
2009,,,0,
2010,17.742542,32.19339,1,"=""030045"""
2011,,,0,
2012,16.293888,32.386944,1,"=""030045"""
2013,,,0,
2014,,,0,
2015,18.241062,33.801395,1,"=""030045"""
2016,18.989916,33.52689,1,"=""030045"""
