Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1965,10.667123,24.83452,1,"=""061089"""
1966,10.480663,23.56768,1,"=""061089"""
1967,11.102466,23.76685,1,"=""061089"""
1968,11.29235,23.989891,1,"=""061089"""
1969,11.30411,23.85178,1,"=""061089"""
1970,10.69589,23.818682,1,"=""061089"""
1971,10.629315,23.343014,1,"=""061089"""
1972,10.611749,23.780874,1,"=""061089"""
1973,12.065206,24.612602,1,"=""061089"""
1974,11.007398,23.371508,1,"=""061089"""
1975,11.3236265,24.143955,1,"=""061089"""
1976,10.3785715,23.114012,1,"=""061089"""
1977,,,0,
1978,10.832877,22.821644,1,"=""061089"""
1979,11.112329,24.396164,1,"=""061089"""
1980,11.848634,25.64071,1,"=""061089"""
1981,11.74411,23.981369,1,"=""061089"""
1982,10.585753,24.439178,1,"=""061089"""
1983,11.575891,23.724384,1,"=""061089"""
1984,10.442623,22.908197,1,"=""061089"""
1985,10.577839,23.42904,1,"=""061089"""
1986,10.1570635,24.101652,1,"=""061089"""
1987,11.186188,23.961096,1,"=""061089"""
1988,11.348634,23.79836,1,"=""061089"""
1989,11.100551,23.0058,1,"=""061089"""
1990,11.440822,23.21315,1,"=""061089"""
1991,11.476099,24.50934,1,"=""061089"""
1992,10.676601,22.633059,1,"=""061089"""
1993,11.095304,23.56832,1,"=""061089"""
1994,10.580168,24.452515,1,"=""061089"""
1995,,,0,
1996,,,0,
1997,,,0,
1998,10.956044,23.832321,1,"=""061363"""
1999,,,0,
2000,9.712568,23.324242,1,"=""061363"""
2001,9.742265,24.150417,1,"=""061363"""
2002,,,0,
2003,,,0,
2004,9.778273,24.697493,1,"=""061363"""
2005,9.864067,25.033241,1,"=""061363"""
2006,10.015343,25.313698,1,"=""061363"""
2007,10.749863,24.353151,1,"=""061363"""
2008,9.310656,23.160929,1,"=""061363"""
2009,10.358402,25.061325,1,"=""061363"""
2010,,,0,
2011,10.104932,23.630959,1,"=""061363"""
2012,9.424317,24.532787,1,"=""061363"""
2013,9.770604,25.416483,1,"=""061363"""
2014,10.318082,25.586302,1,"=""061363"""
2015,10.381044,24.454521,1,"=""061363"""
2016,10.437159,25.262295,1,"=""061363"""
