Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Hamilton, Ruakura,2101,C75731,-37.780,175.313,40,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(UTC),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
2101,19391231:2100,-,-,9.3,24,-,-,-,-,-,D
2101,19400101:2100,23.0,24,14.6,24,-,-,-,-,-,D
2101,19400102:2100,21.1,24,3.9,24,-,-,-,-,-,D
2101,19400103:2100,21.2,24,5.6,24,-,-,-,-,-,D
2101,19400104:2100,22.6,24,11.8,24,-,-,-,-,-,D
2101,19400105:2100,21.6,24,7.4,24,-,-,-,-,-,D
2101,19400106:2100,27.9,24,7.9,24,-,-,-,-,-,D
2101,19400107:2100,27.1,24,12.6,24,-,-,-,-,-,D
2101,19400108:2100,25.4,24,11.2,24,-,-,-,-,-,D
2101,19400109:2100,26.2,24,10.2,24,-,-,-,-,-,D
2101,19400110:2100,25.2,24,10.0,24,-,-,-,-,-,D
2101,19400111:2100,24.4,24,10.0,24,-,-,-,-,-,D
2101,19400112:2100,26.3,24,15.4,24,-,-,-,-,-,D
2101,19400113:2100,21.7,24,13.9,24,-,-,-,-,-,D
2101,19400114:2100,19.9,24,7.1,24,-,-,-,-,-,D
2101,19400115:2100,20.9,24,12.8,24,-,-,-,-,-,D
2101,19400116:2100,20.9,24,11.5,24,-,-,-,-,-,D
2101,19400117:2100,22.6,24,13.4,24,-,-,-,-,-,D
2101,19400118:2100,22.4,24,11.6,24,-,-,-,-,-,D
2101,19400119:2100,23.3,24,14.4,24,-,-,-,-,-,D
2101,19400120:2100,23.1,24,16.9,24,-,-,-,-,-,D
2101,19400121:2100,24.5,24,14.7,24,-,-,-,-,-,D
2101,19400122:2100,25.5,24,11.6,24,-,-,-,-,-,D
2101,19400123:2100,27.8,24,13.4,24,-,-,-,-,-,D
2101,19400124:2100,24.6,24,16.3,24,-,-,-,-,-,D
2101,19400125:2100,21.7,24,16.5,24,-,-,-,-,-,D
2101,19400126:2100,21.1,24,13.6,24,-,-,-,-,-,D
2101,19400127:2100,21.2,24,15.1,24,-,-,-,-,-,D
2101,19400128:2100,21.3,24,17.8,24,-,-,-,-,-,D
2101,19400129:2100,22.4,24,16.7,24,-,-,-,-,-,D
2101,19400130:2100,22.7,24,14.3,24,-,-,-,-,-,D
2101,19400131:2100,19.9,24,11.3,24,-,-,-,-,-,D
2101,19400201:2100,19.5,24,6.2,24,-,-,-,-,-,D
2101,19400202:2100,19.4,24,13.2,24,-,-,-,-,-,D
2101,19400203:2100,19.2,24,10.0,24,-,-,-,-,-,D
2101,19400204:2100,19.4,24,13.4,24,-,-,-,-,-,D
2101,19400205:2100,21.4,24,11.1,24,-,-,-,-,-,D
2101,19400206:2100,22.3,24,16.6,24,-,-,-,-,-,D
2101,19400207:2100,20.7,24,13.9,24,-,-,-,-,-,D
2101,19400208:2100,20.6,24,10.6,24,-,-,-,-,-,D
2101,19400209:2100,19.3,24,11.7,24,-,-,-,-,-,D
2101,19400210:2100,17.2,24,6.1,24,-,-,-,-,-,D
2101,19400211:2100,18.3,24,8.4,24,-,-,-,-,-,D
2101,19400212:2100,20.6,24,12.8,24,-,-,-,-,-,D
2101,19400213:2100,19.3,24,9.8,24,-,-,-,-,-,D
2101,19400214:2100,17.3,24,6.6,24,-,-,-,-,-,D
2101,19400215:2100,17.1,24,12.8,24,-,-,-,-,-,D
2101,19400216:2100,21.1,24,17.2,24,-,-,-,-,-,D
2101,19400217:2100,21.6,24,17.3,24,-,-,-,-,-,D
2101,19400218:2100,21.7,24,5.3,24,-,-,-,-,-,D
2101,19400219:2100,23.2,24,6.3,24,-,-,-,-,-,D
2101,19400220:2100,23.2,24,12.2,24,-,-,-,-,-,D
2101,19400221:2100,23.8,24,7.9,24,-,-,-,-,-,D
2101,19400222:2100,25.1,24,9.4,24,-,-,-,-,-,D
2101,19400223:2100,24.5,24,18.4,24,-,-,-,-,-,D
2101,19400224:2100,23.2,24,14.5,24,-,-,-,-,-,D
2101,19400225:2100,20.6,24,4.9,24,-,-,-,-,-,D
2101,19400226:2100,21.3,24,17.1,24,-,-,-,-,-,D
2101,19400227:2100,23.8,24,13.2,24,-,-,-,-,-,D
2101,19400228:2100,23.3,24,11.8,24,-,-,-,-,-,D
2101,19400229:2100,25.5,24,20.0,24,-,-,-,-,-,D
2101,19400301:2100,24.9,24,15.0,24,-,-,-,-,-,D
2101,19400302:2100,19.2,24,14.2,24,-,-,-,-,-,D
2101,19400303:2100,22.7,24,9.6,24,-,-,-,-,-,D
2101,19400304:2100,18.9,24,1.5,24,-,-,-,-,-,D
2101,19400305:2100,20.9,24,5.7,24,-,-,-,-,-,D
2101,19400306:2100,19.9,24,7.9,24,-,-,-,-,-,D
2101,19400307:2100,21.2,24,8.2,24,-,-,-,-,-,D
2101,19400308:2100,22.0,24,10.7,24,-,-,-,-,-,D
2101,19400309:2100,23.7,24,3.2,24,-,-,-,-,-,D
2101,19400310:2100,21.2,24,5.1,24,-,-,-,-,-,D
2101,19400311:2100,18.1,24,-1.2,24,-,-,-,-,-,D
2101,19400312:2100,17.9,24,11.1,24,-,-,-,-,-,D
2101,19400313:2100,20.6,24,4.8,24,-,-,-,-,-,D
2101,19400314:2100,24.9,24,6.6,24,-,-,-,-,-,D
2101,19400315:2100,22.0,24,8.4,24,-,-,-,-,-,D
2101,19400316:2100,22.2,24,12.2,24,-,-,-,-,-,D
2101,19400317:2100,18.9,24,3.3,24,-,-,-,-,-,D
2101,19400318:2100,22.2,24,4.6,24,-,-,-,-,-,D
2101,19400319:2100,20.0,24,8.1,24,-,-,-,-,-,D
2101,19400320:2100,20.1,24,12.2,24,-,-,-,-,-,D
2101,19400321:2100,19.7,24,12.9,24,-,-,-,-,-,D
2101,19400322:2100,17.2,24,6.2,24,-,-,-,-,-,D
2101,19400323:2100,16.6,24,9.4,24,-,-,-,-,-,D
2101,19400324:2100,20.7,24,6.4,24,-,-,-,-,-,D
2101,19400325:2100,19.9,24,10.8,24,-,-,-,-,-,D
2101,19400326:2100,20.3,24,12.2,24,-,-,-,-,-,D
2101,19400327:2100,20.0,24,4.0,24,-,-,-,-,-,D
2101,19400328:2100,16.1,24,10.5,24,-,-,-,-,-,D
2101,19400329:2100,19.1,24,7.8,24,-,-,-,-,-,D
2101,19400330:2100,22.3,24,5.1,24,-,-,-,-,-,D
2101,19400331:2100,19.5,24,5.1,24,-,-,-,-,-,D
2101,19400401:2100,21.2,24,11.7,24,-,-,-,-,-,D
2101,19400402:2100,17.4,24,2.3,24,-,-,-,-,-,D
2101,19400403:2100,17.4,24,3.7,24,-,-,-,-,-,D
2101,19400404:2100,17.9,24,-1.7,24,-,-,-,-,-,D
2101,19400405:2100,17.2,24,4.9,24,-,-,-,-,-,D
2101,19400406:2100,19.9,24,7.8,24,-,-,-,-,-,D
2101,19400407:2100,19.0,24,1.3,24,-,-,-,-,-,D
2101,19400408:2100,18.5,24,8.4,24,-,-,-,-,-,D
2101,19400409:2100,17.7,24,10.1,24,-,-,-,-,-,D
2101,19400410:2100,19.1,24,2.5,24,-,-,-,-,-,D
2101,19400411:2100,19.4,24,5.9,24,-,-,-,-,-,D
2101,19400412:2100,14.7,24,9.2,24,-,-,-,-,-,D
2101,19400413:2100,18.0,24,2.8,24,-,-,-,-,-,D
2101,19400414:2100,19.0,24,3.4,24,-,-,-,-,-,D
2101,19400415:2100,16.2,24,9.7,24,-,-,-,-,-,D
2101,19400416:2100,20.9,24,7.5,24,-,-,-,-,-,D
2101,19400417:2100,16.1,24,10.7,24,-,-,-,-,-,D
2101,19400418:2100,17.5,24,10.0,24,-,-,-,-,-,D
2101,19400419:2100,17.4,24,0.6,24,-,-,-,-,-,D
2101,19400420:2100,17.9,24,1.7,24,-,-,-,-,-,D
2101,19400421:2100,17.2,24,2.1,24,-,-,-,-,-,D
2101,19400422:2100,17.3,24,3.6,24,-,-,-,-,-,D
2101,19400423:2100,17.2,24,-2.2,24,-,-,-,-,-,D
2101,19400424:2100,17.7,24,0.6,24,-,-,-,-,-,D
2101,19400425:2100,14.8,24,9.3,24,-,-,-,-,-,D
2101,19400426:2100,18.4,24,5.6,24,-,-,-,-,-,D
2101,19400427:2100,16.3,24,5.6,24,-,-,-,-,-,D
2101,19400428:2100,16.1,24,-2.2,24,-,-,-,-,-,D
2101,19400429:2100,14.4,24,-2.2,24,-,-,-,-,-,D
2101,19400430:2100,15.4,24,6.7,24,-,-,-,-,-,D
2101,19400501:2100,15.2,24,9.5,24,-,-,-,-,-,D
2101,19400502:2100,17.4,24,1.8,24,-,-,-,-,-,D
2101,19400503:2100,19.8,24,10.7,24,-,-,-,-,-,D
2101,19400504:2100,19.1,24,9.7,24,-,-,-,-,-,D
2101,19400505:2100,16.1,24,4.3,24,-,-,-,-,-,D
2101,19400506:2100,13.5,24,0.4,24,-,-,-,-,-,D
2101,19400507:2100,13.8,24,0.6,24,-,-,-,-,-,D
2101,19400508:2100,15.1,24,5.7,24,-,-,-,-,-,D
2101,19400509:2100,13.9,24,9.1,24,-,-,-,-,-,D
2101,19400510:2100,13.9,24,8.9,24,-,-,-,-,-,D
2101,19400511:2100,16.2,24,-1.5,24,-,-,-,-,-,D
2101,19400512:2100,16.2,24,4.8,24,-,-,-,-,-,D
2101,19400513:2100,15.0,24,9.5,24,-,-,-,-,-,D
2101,19400514:2100,15.4,24,6.3,24,-,-,-,-,-,D
2101,19400515:2100,14.8,24,6.4,24,-,-,-,-,-,D
2101,19400516:2100,16.1,24,4.8,24,-,-,-,-,-,D
2101,19400517:2100,17.3,24,3.9,24,-,-,-,-,-,D
2101,19400518:2100,15.2,24,11.3,24,-,-,-,-,-,D
2101,19400519:2100,16.8,24,7.9,24,-,-,-,-,-,D
2101,19400520:2100,10.3,24,4.2,24,-,-,-,-,-,D
2101,19400521:2100,11.8,24,3.3,24,-,-,-,-,-,D
2101,19400522:2100,12.3,24,4.9,24,-,-,-,-,-,D
2101,19400523:2100,12.1,24,0.6,24,-,-,-,-,-,D
2101,19400524:2100,14.6,24,0.8,24,-,-,-,-,-,D
2101,19400525:2100,15.2,24,7.2,24,-,-,-,-,-,D
2101,19400526:2100,15.1,24,6.8,24,-,-,-,-,-,D
2101,19400527:2100,13.6,24,3.3,24,-,-,-,-,-,D
2101,19400528:2100,11.0,24,-2.6,24,-,-,-,-,-,D
2101,19400529:2100,12.1,24,-2.2,24,-,-,-,-,-,D
2101,19400530:2100,12.1,24,1.7,24,-,-,-,-,-,D
2101,19400531:2100,13.1,24,2.7,24,-,-,-,-,-,D
2101,19400601:2100,12.4,24,5.6,24,-,-,-,-,-,D
2101,19400602:2100,15.6,24,4.5,24,-,-,-,-,-,D
2101,19400603:2100,14.2,24,6.2,24,-,-,-,-,-,D
2101,19400604:2100,13.1,24,4.0,24,-,-,-,-,-,D
2101,19400605:2100,11.4,24,0.6,24,-,-,-,-,-,D
2101,19400606:2100,14.5,24,5.2,24,-,-,-,-,-,D
2101,19400607:2100,15.6,24,6.1,24,-,-,-,-,-,D
2101,19400608:2100,17.4,24,6.2,24,-,-,-,-,-,D
2101,19400609:2100,14.7,24,7.3,24,-,-,-,-,-,D
2101,19400610:2100,12.4,24,6.3,24,-,-,-,-,-,D
2101,19400611:2100,14.9,24,3.4,24,-,-,-,-,-,D
2101,19400612:2100,13.5,24,6.2,24,-,-,-,-,-,D
2101,19400613:2100,14.6,24,0.6,24,-,-,-,-,-,D
2101,19400614:2100,12.2,24,3.2,24,-,-,-,-,-,D
2101,19400615:2100,13.2,24,0.4,24,-,-,-,-,-,D
2101,19400616:2100,10.7,24,-3.8,24,-,-,-,-,-,D
2101,19400617:2100,14.3,24,-2.7,24,-,-,-,-,-,D
2101,19400618:2100,10.9,24,0.5,24,-,-,-,-,-,D
2101,19400619:2100,13.6,24,2.2,24,-,-,-,-,-,D
2101,19400620:2100,13.6,24,0.2,24,-,-,-,-,-,D
2101,19400621:2100,12.8,24,0.1,24,-,-,-,-,-,D
2101,19400622:2100,12.7,24,4.8,24,-,-,-,-,-,D
2101,19400623:2100,13.3,24,5.1,24,-,-,-,-,-,D
2101,19400624:2100,13.2,24,5.4,24,-,-,-,-,-,D
2101,19400625:2100,13.1,24,2.0,24,-,-,-,-,-,D
2101,19400626:2100,13.6,24,3.9,24,-,-,-,-,-,D
2101,19400627:2100,13.3,24,-1.4,24,-,-,-,-,-,D
2101,19400628:2100,11.3,24,-3.3,24,-,-,-,-,-,D
2101,19400629:2100,12.2,24,-3.3,24,-,-,-,-,-,D
2101,19400630:2100,11.7,24,0.3,24,-,-,-,-,-,D
2101,19400701:2100,10.8,24,-5.2,24,-,-,-,-,-,D
2101,19400702:2100,10.7,24,1.4,24,-,-,-,-,-,D
2101,19400703:2100,10.9,24,2.8,24,-,-,-,-,-,D
2101,19400704:2100,10.2,24,0.2,24,-,-,-,-,-,D
2101,19400705:2100,13.4,24,4.6,24,-,-,-,-,-,D
2101,19400706:2100,13.4,24,1.2,24,-,-,-,-,-,D
2101,19400707:2100,10.8,24,-1.2,24,-,-,-,-,-,D
2101,19400708:2100,10.5,24,-4.8,24,-,-,-,-,-,D
2101,19400709:2100,10.8,24,-5.9,24,-,-,-,-,-,D
2101,19400710:2100,10.7,24,-0.4,24,-,-,-,-,-,D
2101,19400711:2100,11.2,24,5.5,24,-,-,-,-,-,D
2101,19400712:2100,14.6,24,5.8,24,-,-,-,-,-,D
2101,19400713:2100,13.6,24,2.6,24,-,-,-,-,-,D
2101,19400714:2100,12.9,24,0.3,24,-,-,-,-,-,D
2101,19400715:2100,14.1,24,6.1,24,-,-,-,-,-,D
2101,19400716:2100,11.9,24,6.7,24,-,-,-,-,-,D
2101,19400717:2100,10.7,24,3.1,24,-,-,-,-,-,D
2101,19400718:2100,13.8,24,2.1,24,-,-,-,-,-,D
2101,19400719:2100,14.1,24,3.2,24,-,-,-,-,-,D
2101,19400720:2100,13.9,24,1.1,24,-,-,-,-,-,D
2101,19400721:2100,13.8,24,6.3,24,-,-,-,-,-,D
2101,19400722:2100,14.6,24,2.3,24,-,-,-,-,-,D
2101,19400723:2100,15.1,24,3.6,24,-,-,-,-,-,D
2101,19400724:2100,12.4,24,7.3,24,-,-,-,-,-,D
2101,19400725:2100,12.2,24,8.1,24,-,-,-,-,-,D
2101,19400726:2100,16.4,24,7.3,24,-,-,-,-,-,D
2101,19400727:2100,16.6,24,1.7,24,-,-,-,-,-,D
2101,19400728:2100,14.3,24,-2.4,24,-,-,-,-,-,D
2101,19400729:2100,13.9,24,-2.7,24,-,-,-,-,-,D
2101,19400730:2100,14.4,24,-2.4,24,-,-,-,-,-,D
2101,19400731:2100,14.2,24,-0.7,24,-,-,-,-,-,D
2101,19400801:2100,14.4,24,0.4,24,-,-,-,-,-,D
2101,19400802:2100,14.9,24,1.2,24,-,-,-,-,-,D
2101,19400803:2100,14.7,24,2.2,24,-,-,-,-,-,D
2101,19400804:2100,13.3,24,-0.3,24,-,-,-,-,-,D
2101,19400805:2100,13.2,24,-2.7,24,-,-,-,-,-,D
2101,19400806:2100,14.2,24,-1.8,24,-,-,-,-,-,D
2101,19400807:2100,15.3,24,5.3,24,-,-,-,-,-,D
2101,19400808:2100,17.0,24,4.5,24,-,-,-,-,-,D
2101,19400809:2100,14.4,24,8.8,24,-,-,-,-,-,D
2101,19400810:2100,16.5,24,9.7,24,-,-,-,-,-,D
2101,19400811:2100,16.3,24,8.0,24,-,-,-,-,-,D
2101,19400812:2100,13.9,24,10.2,24,-,-,-,-,-,D
2101,19400813:2100,17.1,24,1.9,24,-,-,-,-,-,D
2101,19400814:2100,15.4,24,4.3,24,-,-,-,-,-,D
2101,19400815:2100,12.1,24,7.2,24,-,-,-,-,-,D
2101,19400816:2100,12.7,24,4.7,24,-,-,-,-,-,D
2101,19400817:2100,14.5,24,1.1,24,-,-,-,-,-,D
2101,19400818:2100,12.4,24,-3.6,24,-,-,-,-,-,D
2101,19400819:2100,13.8,24,3.0,24,-,-,-,-,-,D
