Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Tauranga Aero,1612,B76621,-37.67242,176.19635,0,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(UTC),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
1612,19410426:2100,16.7,24,3.6,24,-,-,-,-,-,D
1612,19410427:2100,18.0,24,4.1,24,-,-,-,-,-,D
1612,19410428:2100,18.4,24,7.9,24,-,-,-,-,-,D
1612,19410429:2100,17.3,24,13.4,24,-,-,-,-,-,D
1612,19410430:2100,19.1,24,14.7,24,-,-,-,-,-,D
1612,19410501:2100,19.1,24,13.9,24,-,-,-,-,-,D
1612,19410502:2100,19.0,24,14.1,24,-,-,-,-,-,D
1612,19410503:2100,20.6,24,9.6,24,-,-,-,-,-,D
1612,19410504:2100,18.5,24,9.0,24,-,-,-,-,-,D
1612,19410505:2100,17.4,24,4.5,24,-,-,-,-,-,D
1612,19410506:2100,15.8,24,7.8,24,-,-,-,-,-,D
1612,19410507:2100,17.4,24,11.8,24,-,-,-,-,-,D
1612,19410508:2100,16.8,24,-0.4,24,-,-,-,-,-,D
1612,19410509:2100,16.7,24,3.9,24,-,-,-,-,-,D
1612,19410510:2100,17.9,24,8.4,24,-,-,-,-,-,D
1612,19410511:2100,17.4,24,10.7,24,-,-,-,-,-,D
1612,19410512:2100,18.4,24,11.8,24,-,-,-,-,-,D
1612,19410513:2100,19.0,24,10.1,24,-,-,-,-,-,D
1612,19410514:2100,17.9,24,9.0,24,-,-,-,-,-,D
1612,19410515:2100,18.0,24,6.9,24,-,-,-,-,-,D
1612,19410516:2100,16.3,24,6.3,24,-,-,-,-,-,D
1612,19410517:2100,18.4,24,7.8,24,-,-,-,-,-,D
1612,19410518:2100,16.3,24,7.3,24,-,-,-,-,-,D
1612,19410519:2100,16.3,24,8.5,24,-,-,-,-,-,D
1612,19410520:2100,13.6,24,1.7,24,-,-,-,-,-,D
1612,19410521:2100,14.1,24,0.7,24,-,-,-,-,-,D
1612,19410522:2100,14.7,24,1.8,24,-,-,-,-,-,D
1612,19410523:2100,15.0,24,3.4,24,-,-,-,-,-,D
1612,19410524:2100,16.2,24,4.7,24,-,-,-,-,-,D
1612,19410525:2100,16.7,24,6.9,24,-,-,-,-,-,D
1612,19410526:2100,16.9,24,10.1,24,-,-,-,-,-,D
1612,19410527:2100,17.2,24,7.9,24,-,-,-,-,-,D
1612,19410528:2100,15.6,24,4.1,24,-,-,-,-,-,D
1612,19410529:2100,16.8,24,7.8,24,-,-,-,-,-,D
1612,19410530:2100,11.2,24,-1.5,24,-,-,-,-,-,D
1612,19410531:2100,12.3,24,-0.3,24,-,-,-,-,-,D
1612,19410601:2100,16.3,24,0.8,24,-,-,-,-,-,D
1612,19410602:2100,15.6,24,4.0,24,-,-,-,-,-,D
1612,19410603:2100,16.3,24,11.2,24,-,-,-,-,-,D
1612,19410604:2100,18.3,24,12.9,24,-,-,-,-,-,D
1612,19410605:2100,15.7,24,2.4,24,-,-,-,-,-,D
1612,19410606:2100,10.7,24,0.8,24,-,-,-,-,-,D
1612,19410607:2100,13.4,24,7.9,24,-,-,-,-,-,D
1612,19410608:2100,15.1,24,5.8,24,-,-,-,-,-,D
1612,19410609:2100,15.2,24,5.2,24,-,-,-,-,-,D
1612,19410610:2100,16.2,24,8.9,24,-,-,-,-,-,D
1612,19410611:2100,15.1,24,7.9,24,-,-,-,-,-,D
1612,19410612:2100,15.2,24,9.1,24,-,-,-,-,-,D
1612,19410613:2100,14.6,24,7.9,24,-,-,-,-,-,D
1612,19410614:2100,13.6,24,7.2,24,-,-,-,-,-,D
1612,19410615:2100,14.1,24,2.4,24,-,-,-,-,-,D
1612,19410616:2100,14.6,24,7.9,24,-,-,-,-,-,D
1612,19410617:2100,11.3,24,-0.4,24,-,-,-,-,-,D
1612,19410618:2100,8.5,24,-2.6,24,-,-,-,-,-,D
1612,19410619:2100,10.2,24,2.3,24,-,-,-,-,-,D
1612,19410620:2100,11.8,24,0.7,24,-,-,-,-,-,D
1612,19410621:2100,11.9,24,-1.0,24,-,-,-,-,-,D
1612,19410622:2100,12.4,24,4.1,24,-,-,-,-,-,D
1612,19410623:2100,10.7,24,7.4,24,-,-,-,-,-,D
1612,19410624:2100,12.4,24,7.8,24,-,-,-,-,-,D
1612,19410625:2100,13.4,24,8.6,24,-,-,-,-,-,D
1612,19410626:2100,11.7,24,2.8,24,-,-,-,-,-,D
1612,19410627:2100,13.4,24,4.1,24,-,-,-,-,-,D
1612,19410628:2100,12.3,24,1.9,24,-,-,-,-,-,D
1612,19410629:2100,11.7,24,2.3,24,-,-,-,-,-,D
1612,19410630:2100,13.4,24,2.3,24,-,-,-,-,-,D
1612,19410701:2100,11.8,24,-1.5,24,-,-,-,-,-,D
1612,19410702:2100,11.3,24,2.3,24,-,-,-,-,-,D
1612,19410703:2100,11.8,24,4.1,24,-,-,-,-,-,D
1612,19410704:2100,15.1,24,8.6,24,-,-,-,-,-,D
1612,19410705:2100,15.0,24,10.8,24,-,-,-,-,-,D
1612,19410706:2100,15.1,24,12.8,24,-,-,-,-,-,D
1612,19410707:2100,15.2,24,11.2,24,-,-,-,-,-,D
1612,19410708:2100,17.4,24,1.9,24,-,-,-,-,-,D
1612,19410709:2100,12.4,24,4.1,24,-,-,-,-,-,D
1612,19410710:2100,12.4,24,3.4,24,-,-,-,-,-,D
1612,19410711:2100,12.8,24,4.7,24,-,-,-,-,-,D
1612,19410712:2100,14.6,24,2.3,24,-,-,-,-,-,D
1612,19410713:2100,13.5,24,0.2,24,-,-,-,-,-,D
1612,19410714:2100,12.3,24,0.7,24,-,-,-,-,-,D
1612,19410715:2100,13.5,24,0.8,24,-,-,-,-,-,D
1612,19410716:2100,13.5,24,-1.6,24,-,-,-,-,-,D
1612,19410717:2100,12.4,24,0.2,24,-,-,-,-,-,D
1612,19410718:2100,13.5,24,0.6,24,-,-,-,-,-,D
1612,19410719:2100,12.4,24,1.8,24,-,-,-,-,-,D
1612,19410720:2100,13.5,24,0.6,24,-,-,-,-,-,D
1612,19410721:2100,14.5,24,-0.3,24,-,-,-,-,-,D
1612,19410722:2100,13.4,24,6.7,24,-,-,-,-,-,D
1612,19410723:2100,14.0,24,9.6,24,-,-,-,-,-,D
1612,19410724:2100,14.5,24,7.4,24,-,-,-,-,-,D
1612,19410725:2100,16.3,24,9.6,24,-,-,-,-,-,D
1612,19410726:2100,16.3,24,9.6,24,-,-,-,-,-,D
1612,19410727:2100,15.8,24,8.6,24,-,-,-,-,-,D
1612,19410730:2100,13.5,72,0.2,72,-,-,-,-,-,D
1612,19410731:2100,12.4,24,1.3,24,-,-,-,-,-,D
1612,19410801:2100,12.8,24,3.0,24,-,-,-,-,-,D
1612,19410802:2100,12.9,24,2.3,24,-,-,-,-,-,D
1612,19410803:2100,10.2,24,4.7,24,-,-,-,-,-,D
1612,19410804:2100,13.4,24,-1.1,24,-,-,-,-,-,D
1612,19410805:2100,12.4,24,-0.5,24,-,-,-,-,-,D
1612,19410806:2100,12.3,24,4.1,24,-,-,-,-,-,D
1612,19410807:2100,14.1,24,7.4,24,-,-,-,-,-,D
1612,19410808:2100,14.7,24,1.9,24,-,-,-,-,-,D
1612,19410809:2100,12.9,24,7.4,24,-,-,-,-,-,D
1612,19410810:2100,15.0,24,3.9,24,-,-,-,-,-,D
1612,19410811:2100,15.8,24,1.8,24,-,-,-,-,-,D
1612,19410812:2100,13.0,24,9.5,24,-,-,-,-,-,D
1612,19410813:2100,15.2,24,5.8,24,-,-,-,-,-,D
1612,19410814:2100,15.6,24,6.3,24,-,-,-,-,-,D
1612,19410815:2100,13.9,24,5.1,24,-,-,-,-,-,D
1612,19410816:2100,12.3,24,-0.3,24,-,-,-,-,-,D
1612,19410817:2100,12.9,24,2.9,24,-,-,-,-,-,D
1612,19410818:2100,13.3,24,3.4,24,-,-,-,-,-,D
1612,19410819:2100,12.8,24,0.6,24,-,-,-,-,-,D
1612,19410820:2100,12.4,24,4.0,24,-,-,-,-,-,D
1612,19410821:2100,12.9,24,3.9,24,-,-,-,-,-,D
1612,19410822:2100,14.0,24,2.4,24,-,-,-,-,-,D
1612,19410823:2100,15.2,24,3.6,24,-,-,-,-,-,D
1612,19410824:2100,15.2,24,1.8,24,-,-,-,-,-,D
1612,19410825:2100,14.7,24,4.7,24,-,-,-,-,-,D
1612,19410826:2100,13.6,24,10.6,24,-,-,-,-,-,D
1612,19410827:2100,14.0,24,9.5,24,-,-,-,-,-,D
1612,19410828:2100,14.0,24,4.6,24,-,-,-,-,-,D
1612,19410829:2100,14.5,24,3.5,24,-,-,-,-,-,D
1612,19410830:2100,15.2,24,1.3,24,-,-,-,-,-,D
1612,19410831:2100,13.5,24,1.8,24,-,-,-,-,-,D
1612,19410901:2100,14.6,24,8.6,24,-,-,-,-,-,D
1612,19410902:2100,14.6,24,3.5,24,-,-,-,-,-,D
1612,19410903:2100,14.1,24,1.9,24,-,-,-,-,-,D
1612,19410904:2100,14.1,24,6.2,24,-,-,-,-,-,D
1612,19410905:2100,15.1,24,6.8,24,-,-,-,-,-,D
1612,19410906:2100,15.7,24,7.3,24,-,-,-,-,-,D
1612,19410907:2100,14.1,24,5.7,24,-,-,-,-,-,D
1612,19410908:2100,15.7,24,0.2,24,-,-,-,-,-,D
1612,19410909:2100,14.6,24,1.8,24,-,-,-,-,-,D
1612,19410910:2100,13.5,24,1.2,24,-,-,-,-,-,D
1612,19410911:2100,12.9,24,2.9,24,-,-,-,-,-,D
1612,19410912:2100,15.1,24,10.2,24,-,-,-,-,-,D
1612,19410913:2100,14.0,24,4.1,24,-,-,-,-,-,D
1612,19410914:2100,15.8,24,2.8,24,-,-,-,-,-,D
1612,19410915:2100,14.1,24,2.9,24,-,-,-,-,-,D
1612,19410916:2100,15.2,24,4.5,24,-,-,-,-,-,D
1612,19410917:2100,16.7,24,9.6,24,-,-,-,-,-,D
1612,19410918:2100,17.8,24,5.2,24,-,-,-,-,-,D
1612,19410919:2100,14.9,24,6.2,24,-,-,-,-,-,D
1612,19410920:2100,16.3,24,5.1,24,-,-,-,-,-,D
1612,19410921:2100,15.7,24,5.8,24,-,-,-,-,-,D
1612,19410922:2100,16.8,24,5.6,24,-,-,-,-,-,D
1612,19410923:2100,20.2,24,3.6,24,-,-,-,-,-,D
1612,19410924:2100,18.4,24,5.1,24,-,-,-,-,-,D
1612,19410925:2100,17.3,24,14.1,24,-,-,-,-,-,D
1612,19410926:2100,17.9,24,9.7,24,-,-,-,-,-,D
1612,19410927:2100,16.3,24,2.8,24,-,-,-,-,-,D
1612,19410928:2100,16.2,24,0.1,24,-,-,-,-,-,D
1612,19410929:2100,18.6,24,4.6,24,-,-,-,-,-,D
1612,19410930:2100,17.8,24,12.4,24,-,-,-,-,-,D
1612,19411001:2100,19.7,24,12.8,24,-,-,-,-,-,D
1612,19411002:2100,18.0,24,13.6,24,-,-,-,-,-,D
1612,19411003:2100,16.8,24,12.8,24,-,-,-,-,-,D
1612,19411004:2100,17.3,24,3.4,24,-,-,-,-,-,D
1612,19411005:2100,15.1,24,5.6,24,-,-,-,-,-,D
1612,19411006:2100,14.6,24,7.9,24,-,-,-,-,-,D
1612,19411007:2100,11.8,24,9.1,24,-,-,-,-,-,D
1612,19411008:2100,14.5,24,10.7,24,-,-,-,-,-,D
1612,19411009:2100,15.6,24,11.2,24,-,-,-,-,-,D
1612,19411010:2100,16.7,24,6.8,24,-,-,-,-,-,D
1612,19411011:2100,16.8,24,7.4,24,-,-,-,-,-,D
1612,19411012:2100,16.3,24,5.7,24,-,-,-,-,-,D
1612,19411013:2100,17.2,24,9.6,24,-,-,-,-,-,D
1612,19411014:2100,16.8,24,8.0,24,-,-,-,-,-,D
1612,19411015:2100,17.4,24,10.8,24,-,-,-,-,-,D
1612,19411016:2100,17.3,24,9.6,24,-,-,-,-,-,D
1612,19411017:2100,16.8,24,5.2,24,-,-,-,-,-,D
1612,19411018:2100,17.4,24,2.9,24,-,-,-,-,-,D
1612,19411019:2100,15.7,24,6.7,24,-,-,-,-,-,D
1612,19411020:2100,16.9,24,6.2,24,-,-,-,-,-,D
1612,19411021:2100,19.1,24,13.0,24,-,-,-,-,-,D
1612,19411022:2100,18.0,24,6.7,24,-,-,-,-,-,D
1612,19411023:2100,17.3,24,10.1,24,-,-,-,-,-,D
1612,19411024:2100,16.3,24,7.3,24,-,-,-,-,-,D
1612,19411025:2100,14.6,24,3.4,24,-,-,-,-,-,D
1612,19411026:2100,16.2,24,2.9,24,-,-,-,-,-,D
1612,19411027:2100,15.7,24,8.6,24,-,-,-,-,-,D
1612,19411028:2100,16.3,24,10.8,24,-,-,-,-,-,D
1612,19411029:2100,18.0,24,4.1,24,-,-,-,-,-,D
1612,19411030:2100,16.3,24,9.5,24,-,-,-,-,-,D
1612,19411031:2100,17.4,24,7.9,24,-,-,-,-,-,D
1612,19411101:2100,17.9,24,5.2,24,-,-,-,-,-,D
1612,19411102:2100,18.9,24,10.1,24,-,-,-,-,-,D
1612,19411103:2100,17.3,24,12.8,24,-,-,-,-,-,D
1612,19411104:2100,18.9,24,6.8,24,-,-,-,-,-,D
1612,19411105:2100,19.5,24,7.8,24,-,-,-,-,-,D
1612,19411106:2100,21.8,24,8.0,24,-,-,-,-,-,D
1612,19411107:2100,21.3,24,9.1,24,-,-,-,-,-,D
1612,19411108:2100,16.3,24,7.9,24,-,-,-,-,-,D
1612,19411109:2100,17.8,24,5.7,24,-,-,-,-,-,D
1612,19411110:2100,17.3,24,7.3,24,-,-,-,-,-,D
1612,19411111:2100,17.2,24,6.2,24,-,-,-,-,-,D
1612,19411112:2100,20.2,24,11.3,24,-,-,-,-,-,D
