Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,066214,2017,01,01,,,
IDCJAC0009,066214,2017,01,02,,,
IDCJAC0009,066214,2017,01,03,,,
IDCJAC0009,066214,2017,01,04,,,
IDCJAC0009,066214,2017,01,05,,,
IDCJAC0009,066214,2017,01,06,,,
IDCJAC0009,066214,2017,01,07,,,
IDCJAC0009,066214,2017,01,08,,,
IDCJAC0009,066214,2017,01,09,,,
IDCJAC0009,066214,2017,01,10,,,
IDCJAC0009,066214,2017,01,11,,,
IDCJAC0009,066214,2017,01,12,,,
IDCJAC0009,066214,2017,01,13,,,
IDCJAC0009,066214,2017,01,14,,,
IDCJAC0009,066214,2017,01,15,,,
IDCJAC0009,066214,2017,01,16,,,
IDCJAC0009,066214,2017,01,17,,,
IDCJAC0009,066214,2017,01,18,,,
IDCJAC0009,066214,2017,01,19,,,
IDCJAC0009,066214,2017,01,20,,,
IDCJAC0009,066214,2017,01,21,,,
IDCJAC0009,066214,2017,01,22,,,
IDCJAC0009,066214,2017,01,23,,,
IDCJAC0009,066214,2017,01,24,,,
IDCJAC0009,066214,2017,01,25,,,
IDCJAC0009,066214,2017,01,26,,,
IDCJAC0009,066214,2017,01,27,,,
IDCJAC0009,066214,2017,01,28,,,
IDCJAC0009,066214,2017,01,29,,,
IDCJAC0009,066214,2017,01,30,,,
IDCJAC0009,066214,2017,01,31,,,
IDCJAC0009,066214,2017,02,01,,,
IDCJAC0009,066214,2017,02,02,,,
IDCJAC0009,066214,2017,02,03,,,
IDCJAC0009,066214,2017,02,04,,,
IDCJAC0009,066214,2017,02,05,,,
IDCJAC0009,066214,2017,02,06,,,
IDCJAC0009,066214,2017,02,07,,,
IDCJAC0009,066214,2017,02,08,,,
IDCJAC0009,066214,2017,02,09,,,
IDCJAC0009,066214,2017,02,10,,,
IDCJAC0009,066214,2017,02,11,,,
IDCJAC0009,066214,2017,02,12,,,
IDCJAC0009,066214,2017,02,13,,,
IDCJAC0009,066214,2017,02,14,,,
IDCJAC0009,066214,2017,02,15,,,
IDCJAC0009,066214,2017,02,16,,,
IDCJAC0009,066214,2017,02,17,,,
IDCJAC0009,066214,2017,02,18,,,
IDCJAC0009,066214,2017,02,19,,,
IDCJAC0009,066214,2017,02,20,,,
IDCJAC0009,066214,2017,02,21,,,
IDCJAC0009,066214,2017,02,22,,,
IDCJAC0009,066214,2017,02,23,,,
IDCJAC0009,066214,2017,02,24,,,
IDCJAC0009,066214,2017,02,25,,,
IDCJAC0009,066214,2017,02,26,,,
IDCJAC0009,066214,2017,02,27,,,
IDCJAC0009,066214,2017,02,28,,,
IDCJAC0009,066214,2017,03,01,,,
IDCJAC0009,066214,2017,03,02,,,
IDCJAC0009,066214,2017,03,03,,,
IDCJAC0009,066214,2017,03,04,,,
IDCJAC0009,066214,2017,03,05,,,
IDCJAC0009,066214,2017,03,06,,,
IDCJAC0009,066214,2017,03,07,,,
