Year,Value
1946,-0.153
1947,-1.220
1948,0.426
1949,0.084
1950,-0.812
1951,-0.546
1952,-0.493
1953,-0.372
1954,-0.247
1955,0.056
1956,-0.198
1957,-0.093
1958,-0.434
1959,-0.317
1960,-0.297
1961,-0.355
1962,-0.257
1963,-0.175
1964,0.158
1965,-0.029
1966,-0.185
1967,0.084
1968,0.033
1969,-0.381
1970,-0.240
1971,-0.176
1972,-0.117
1973,-0.032
1974,-0.098
1975,0.000
1976,-0.147
1977,-0.337
1978,-0.240
1979,-0.383
1980,-0.276
1981,-0.287
1982,-0.374
1983,-0.046
1984,-0.297
1985,-0.388
1986,-0.415
1987,-0.094
1988,-0.354
1989,-0.038
1990,-0.481
1991,-0.473
1992,-0.101
1993,-0.085
1994,-0.397
1995,-0.350
1996,-0.289
1997,-0.410
1998,-0.866
1999,-0.501
2000,-0.318
2001,-0.503
2002,-0.463
2003,-0.616
2004,-0.756
2005,-0.621
2006,-0.579
2007,-0.557
2008,-0.397
2009,-0.598
2010,-0.612
2011,-0.714
2012,-0.503
2013,-0.518
2014,-0.532
2015,-0.572
2016,-0.926
2017,-0.328
2018,-0.824
2019,-0.908
2020,-0.913
2021,-0.628
2022,-1.045
2023,-1.200
2024,-1.130
2025,-0.933
