Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066214,2017,01,01,,,
IDCJAC0010,066214,2017,01,02,,,
IDCJAC0010,066214,2017,01,03,,,
IDCJAC0010,066214,2017,01,04,,,
IDCJAC0010,066214,2017,01,05,,,
IDCJAC0010,066214,2017,01,06,,,
IDCJAC0010,066214,2017,01,07,,,
IDCJAC0010,066214,2017,01,08,,,
IDCJAC0010,066214,2017,01,09,,,
IDCJAC0010,066214,2017,01,10,,,
IDCJAC0010,066214,2017,01,11,,,
IDCJAC0010,066214,2017,01,12,,,
IDCJAC0010,066214,2017,01,13,,,
IDCJAC0010,066214,2017,01,14,,,
IDCJAC0010,066214,2017,01,15,,,
IDCJAC0010,066214,2017,01,16,,,
IDCJAC0010,066214,2017,01,17,,,
IDCJAC0010,066214,2017,01,18,,,
IDCJAC0010,066214,2017,01,19,,,
IDCJAC0010,066214,2017,01,20,,,
IDCJAC0010,066214,2017,01,21,,,
IDCJAC0010,066214,2017,01,22,,,
IDCJAC0010,066214,2017,01,23,,,
IDCJAC0010,066214,2017,01,24,,,
IDCJAC0010,066214,2017,01,25,,,
IDCJAC0010,066214,2017,01,26,,,
IDCJAC0010,066214,2017,01,27,,,
IDCJAC0010,066214,2017,01,28,,,
IDCJAC0010,066214,2017,01,29,,,
IDCJAC0010,066214,2017,01,30,,,
IDCJAC0010,066214,2017,01,31,,,
IDCJAC0010,066214,2017,02,01,,,
IDCJAC0010,066214,2017,02,02,,,
IDCJAC0010,066214,2017,02,03,,,
IDCJAC0010,066214,2017,02,04,,,
IDCJAC0010,066214,2017,02,05,,,
IDCJAC0010,066214,2017,02,06,,,
IDCJAC0010,066214,2017,02,07,,,
IDCJAC0010,066214,2017,02,08,,,
IDCJAC0010,066214,2017,02,09,,,
IDCJAC0010,066214,2017,02,10,,,
IDCJAC0010,066214,2017,02,11,,,
IDCJAC0010,066214,2017,02,12,,,
IDCJAC0010,066214,2017,02,13,,,
IDCJAC0010,066214,2017,02,14,,,
IDCJAC0010,066214,2017,02,15,,,
IDCJAC0010,066214,2017,02,16,,,
IDCJAC0010,066214,2017,02,17,,,
IDCJAC0010,066214,2017,02,18,,,
IDCJAC0010,066214,2017,02,19,,,
IDCJAC0010,066214,2017,02,20,,,
IDCJAC0010,066214,2017,02,21,,,
IDCJAC0010,066214,2017,02,22,,,
IDCJAC0010,066214,2017,02,23,,,
IDCJAC0010,066214,2017,02,24,,,
IDCJAC0010,066214,2017,02,25,,,
IDCJAC0010,066214,2017,02,26,,,
IDCJAC0010,066214,2017,02,27,,,
IDCJAC0010,066214,2017,02,28,,,
IDCJAC0010,066214,2017,03,01,,,
IDCJAC0010,066214,2017,03,02,,,
IDCJAC0010,066214,2017,03,03,,,
IDCJAC0010,066214,2017,03,04,,,
IDCJAC0010,066214,2017,03,05,,,
IDCJAC0010,066214,2017,03,06,,,
IDCJAC0010,066214,2017,03,07,,,
IDCJAC0010,066214,2017,03,08,,,
IDCJAC0010,066214,2017,03,09,,,
IDCJAC0010,066214,2017,03,10,,,
IDCJAC0010,066214,2017,03,11,,,
IDCJAC0010,066214,2017,03,12,,,
IDCJAC0010,066214,2017,03,13,,,
IDCJAC0010,066214,2017,03,14,,,
IDCJAC0010,066214,2017,03,15,,,
IDCJAC0010,066214,2017,03,16,,,
IDCJAC0010,066214,2017,03,17,,,
IDCJAC0010,066214,2017,03,18,,,
IDCJAC0010,066214,2017,03,19,,,
IDCJAC0010,066214,2017,03,20,,,
IDCJAC0010,066214,2017,03,21,,,
IDCJAC0010,066214,2017,03,22,,,
IDCJAC0010,066214,2017,03,23,,,
IDCJAC0010,066214,2017,03,24,,,
IDCJAC0010,066214,2017,03,25,,,
IDCJAC0010,066214,2017,03,26,,,
IDCJAC0010,066214,2017,03,27,,,
IDCJAC0010,066214,2017,03,28,,,
IDCJAC0010,066214,2017,03,29,,,
IDCJAC0010,066214,2017,03,30,,,
IDCJAC0010,066214,2017,03,31,,,
IDCJAC0010,066214,2017,04,01,,,
IDCJAC0010,066214,2017,04,02,,,
IDCJAC0010,066214,2017,04,03,,,
IDCJAC0010,066214,2017,04,04,,,
IDCJAC0010,066214,2017,04,05,,,
IDCJAC0010,066214,2017,04,06,,,
IDCJAC0010,066214,2017,04,07,,,
IDCJAC0010,066214,2017,04,08,,,
IDCJAC0010,066214,2017,04,09,,,
IDCJAC0010,066214,2017,04,10,,,
IDCJAC0010,066214,2017,04,11,,,
IDCJAC0010,066214,2017,04,12,,,
IDCJAC0010,066214,2017,04,13,,,
IDCJAC0010,066214,2017,04,14,,,
IDCJAC0010,066214,2017,04,15,,,
IDCJAC0010,066214,2017,04,16,,,
IDCJAC0010,066214,2017,04,17,,,
IDCJAC0010,066214,2017,04,18,,,
IDCJAC0010,066214,2017,04,19,,,
IDCJAC0010,066214,2017,04,20,,,
IDCJAC0010,066214,2017,04,21,,,
IDCJAC0010,066214,2017,04,22,,,
IDCJAC0010,066214,2017,04,23,,,
IDCJAC0010,066214,2017,04,24,,,
IDCJAC0010,066214,2017,04,25,,,
IDCJAC0010,066214,2017,04,26,,,
IDCJAC0010,066214,2017,04,27,,,
IDCJAC0010,066214,2017,04,28,,,
IDCJAC0010,066214,2017,04,29,,,
IDCJAC0010,066214,2017,04,30,,,
IDCJAC0010,066214,2017,05,01,,,
IDCJAC0010,066214,2017,05,02,,,
IDCJAC0010,066214,2017,05,03,,,
IDCJAC0010,066214,2017,05,04,,,
IDCJAC0010,066214,2017,05,05,,,
IDCJAC0010,066214,2017,05,06,,,
IDCJAC0010,066214,2017,05,07,,,
IDCJAC0010,066214,2017,05,08,,,
IDCJAC0010,066214,2017,05,09,,,
IDCJAC0010,066214,2017,05,10,,,
IDCJAC0010,066214,2017,05,11,,,
IDCJAC0010,066214,2017,05,12,,,
IDCJAC0010,066214,2017,05,13,,,
IDCJAC0010,066214,2017,05,14,,,
IDCJAC0010,066214,2017,05,15,,,
IDCJAC0010,066214,2017,05,16,,,
IDCJAC0010,066214,2017,05,17,,,
IDCJAC0010,066214,2017,05,18,,,
IDCJAC0010,066214,2017,05,19,,,
IDCJAC0010,066214,2017,05,20,,,
IDCJAC0010,066214,2017,05,21,,,
IDCJAC0010,066214,2017,05,22,,,
IDCJAC0010,066214,2017,05,23,,,
IDCJAC0010,066214,2017,05,24,,,
IDCJAC0010,066214,2017,05,25,,,
IDCJAC0010,066214,2017,05,26,,,
IDCJAC0010,066214,2017,05,27,,,
IDCJAC0010,066214,2017,05,28,,,
IDCJAC0010,066214,2017,05,29,,,
IDCJAC0010,066214,2017,05,30,,,
IDCJAC0010,066214,2017,05,31,,,
IDCJAC0010,066214,2017,06,01,,,
IDCJAC0010,066214,2017,06,02,,,
IDCJAC0010,066214,2017,06,03,,,
IDCJAC0010,066214,2017,06,04,,,
IDCJAC0010,066214,2017,06,05,,,
IDCJAC0010,066214,2017,06,06,,,
IDCJAC0010,066214,2017,06,07,,,
IDCJAC0010,066214,2017,06,08,,,
IDCJAC0010,066214,2017,06,09,,,
IDCJAC0010,066214,2017,06,10,,,
IDCJAC0010,066214,2017,06,11,,,
IDCJAC0010,066214,2017,06,12,,,
IDCJAC0010,066214,2017,06,13,,,
IDCJAC0010,066214,2017,06,14,,,
IDCJAC0010,066214,2017,06,15,,,
IDCJAC0010,066214,2017,06,16,,,
IDCJAC0010,066214,2017,06,17,,,
IDCJAC0010,066214,2017,06,18,,,
IDCJAC0010,066214,2017,06,19,,,
IDCJAC0010,066214,2017,06,20,,,
IDCJAC0010,066214,2017,06,21,,,
IDCJAC0010,066214,2017,06,22,,,
IDCJAC0010,066214,2017,06,23,,,
IDCJAC0010,066214,2017,06,24,,,
IDCJAC0010,066214,2017,06,25,,,
IDCJAC0010,066214,2017,06,26,,,
IDCJAC0010,066214,2017,06,27,,,
IDCJAC0010,066214,2017,06,28,,,
IDCJAC0010,066214,2017,06,29,,,
IDCJAC0010,066214,2017,06,30,,,
IDCJAC0010,066214,2017,07,01,,,
IDCJAC0010,066214,2017,07,02,,,
IDCJAC0010,066214,2017,07,03,,,
IDCJAC0010,066214,2017,07,04,,,
IDCJAC0010,066214,2017,07,05,,,
IDCJAC0010,066214,2017,07,06,,,
IDCJAC0010,066214,2017,07,07,,,
IDCJAC0010,066214,2017,07,08,,,
IDCJAC0010,066214,2017,07,09,,,
IDCJAC0010,066214,2017,07,10,,,
IDCJAC0010,066214,2017,07,11,,,
IDCJAC0010,066214,2017,07,12,,,
IDCJAC0010,066214,2017,07,13,,,
IDCJAC0010,066214,2017,07,14,,,
IDCJAC0010,066214,2017,07,15,,,
IDCJAC0010,066214,2017,07,16,,,
IDCJAC0010,066214,2017,07,17,,,
IDCJAC0010,066214,2017,07,18,,,
IDCJAC0010,066214,2017,07,19,,,
IDCJAC0010,066214,2017,07,20,,,
IDCJAC0010,066214,2017,07,21,,,
IDCJAC0010,066214,2017,07,22,,,
