#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (https://www.star.nesdis.noaa.gov/socd/lsa/RADS.php) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.10 mm/year (no glacial isostatic adjustment correction) 
year,sea-level [mm]
1992-12-17,-19.380
1992-12-27,-22.640
1993-01-05,-24.080
1993-01-15,-23.990
1993-01-24,-24.270
1993-02-05,-23.360
1993-02-14,-22.210
1993-02-24,-20.890
1993-03-06,-20.660
1993-03-16,-19.940
1993-03-26,-20.480
1993-04-15,-20.230
1993-04-24,-17.490
1993-05-04,-18.910
1993-05-14,-20.610
1993-05-24,-20.130
1993-06-03,-19.650
1993-06-13,-18.110
1993-06-23,-15.890
1993-07-03,-16.360
1993-07-13,-17.340
1993-08-02,-19.430
1993-08-12,-19.640
1993-08-21,-17.530
1993-08-31,-17.440
1993-09-10,-20.140
1993-09-20,-22.550
1993-09-30,-20.190
1993-10-10,-15.360
1993-10-20,-17.720
1993-11-09,-20.330
1993-11-19,-21.310
1993-11-29,-20.550
1993-12-08,-17.030
1993-12-18,-12.450
1993-12-28,-15.120
1994-01-07,-19.190
1994-01-17,-16.080
1994-01-27,-14.240
1994-02-06,-17.800
1994-02-16,-19.460
1994-02-26,-17.510
1994-03-08,-14.200
1994-03-27,-12.330
1994-04-06,-13.070
1994-04-16,-12.670
1994-04-26,-13.630
1994-05-06,-14.940
1994-05-16,-16.740
1994-05-26,-16.880
1994-06-05,-15.310
1994-06-15,-12.810
1994-07-04,-17.650
1994-07-14,-15.180
1994-07-24,-15.730
1994-08-03,-13.870
1994-08-13,-14.470
1994-08-23,-15.020
1994-09-02,-15.440
1994-09-12,-14.620
1994-09-22,-14.940
1994-10-02,-13.890
1994-10-12,-13.990
1994-10-21,-13.390
1994-10-31,-12.940
1994-11-20,-15.980
1994-11-30,-17.170
1994-12-10,-11.910
1994-12-20,-9.710
1994-12-30,-10.460
1995-01-09,-10.360
1995-01-19,-11.180
1995-01-29,-6.570
1995-02-07,-10.360
1995-02-17,-13.860
1995-02-27,-9.930
1995-03-19,-6.750
1995-03-29,-11.990
1995-04-08,-9.630
1995-04-18,-8.620
1995-04-28,-8.970
1995-05-18,-9.880
1995-05-28,-9.320
1995-06-06,-7.180
1995-06-16,-8.520
1995-06-26,-10.890
1995-07-16,-13.130
1995-07-26,-11.530
1995-08-05,-12.020
1995-08-15,-10.050
1995-08-25,-10.820
1995-09-04,-10.930
1995-09-13,-7.500
1995-09-23,-2.280
1995-10-03,-7.880
1995-10-13,-9.920
1995-11-02,-8.520
1995-11-12,-9.870
1995-11-21,-5.680
1995-12-12,-7.390
1995-12-22,-4.080
1996-01-01,-5.920
1996-01-10,-8.150
1996-01-20,-10.410
1996-01-30,-9.700
1996-02-09,-6.840
1996-02-29,-5.250
1996-03-10,-8.790
1996-03-20,-7.520
1996-03-30,-6.950
1996-04-09,-8.480
1996-04-19,-8.170
1996-04-29,-7.010
1996-05-09,-3.410
1996-05-19,-4.820
1996-05-28,-3.780
1996-06-07,-7.160
1996-06-27,-6.940
1996-07-07,-5.460
1996-07-17,-2.390
1996-07-27,-2.040
1996-08-06,-5.680
1996-08-16,-7.830
1996-08-26,-6.820
1996-09-05,-9.840
1996-09-15,-5.850
1996-09-25,-3.850
1996-10-05,-3.660
1996-10-25,-0.790
1996-11-03,1.210
1996-11-13,-0.470
1996-11-23,-6.170
1996-12-03,-5.770
1996-12-13,-5.160
1996-12-23,-7.850
1997-01-02,-5.490
1997-01-12,-2.720
1997-01-22,-5.190
1997-02-01,-5.150
1997-02-21,-3.760
1997-03-03,-2.090
1997-03-12,-4.540
1997-03-22,-5.360
1997-04-01,-3.210
1997-04-11,-5.530
1997-04-21,-6.910
1997-05-01,-2.440
1997-05-11,0.160
1997-05-21,-1.650
1997-05-31,-1.230
1997-06-20,-4.640
