 ERSST AMO (North Atlantic 0-60N SSTA) Index:
Year  month      SSTA
1854      1      0.28
1854      2      0.34
1854      3      0.34
1854      4      0.16
1854      5      0.02
1854      6     -0.18
1854      7     -0.07
1854      8     -0.20
1854      9     -0.04
1854     10      0.09
1854     11      0.20
1854     12      0.41
1855      1      0.29
1855      2      0.26
1855      3      0.13
1855      4      0.01
1855      5     -0.10
1855      6     -0.06
1855      7     -0.07
1855      8     -0.14
1855      9     -0.18
1855     10      0.19
1855     11      0.31
1855     12      0.14
1856      1     -0.10
1856      2     -0.21
1856      3     -0.12
1856      4     -0.17
1856      5     -0.22
1856      6     -0.18
1856      7     -0.34
1856      8     -0.16
1856      9      0.04
1856     10     -0.04
1856     11      0.01
1856     12     -0.11
1857      1     -0.10
1857      2     -0.03
1857      3     -0.15
1857      4     -0.22
1857      5     -0.33
1857      6     -0.22
1857      7     -0.29
1857      8     -0.17
1857      9     -0.13
1857     10     -0.27
1857     11     -0.32
1857     12     -0.07
1858      1     -0.13
1858      2     -0.27
1858      3     -0.40
1858      4     -0.17
1858      5     -0.25
1858      6     -0.28
1858      7     -0.39
1858      8     -0.42
1858      9     -0.27
1858     10     -0.11
1858     11      0.04
1858     12     -0.13
1859      1     -0.29
1859      2     -0.22
1859      3      0.08
1859      4      0.13
1859      5      0.08
1859      6     -0.12
1859      7     -0.20
1859      8     -0.08
1859      9      0.17
1859     10      0.13
1859     11     -0.09
1859     12     -0.02
1860      1     -0.04
1860      2     -0.08
1860      3      0.02
1860      4     -0.02
1860      5      0.10
1860      6     -0.17
1860      7     -0.23
1860      8     -0.35
1860      9     -0.32
1860     10      0.08
1860     11      0.31
1860     12      0.34
1861      1     -0.01
1861      2     -0.34
1861      3     -0.24
1861      4     -0.04
1861      5     -0.14
1861      6     -0.23
1861      7      0.03
1861      8      0.38
1861      9      0.27
1861     10      0.11
1861     11      0.11
1861     12     -0.02
1862      1     -0.25
1862      2     -0.13
1862      3     -0.16
1862      4     -0.45
1862      5     -0.50
1862      6     -0.51
1862      7     -0.76
1862      8     -0.61
1862      9     -0.49
1862     10     -0.56
