 ERSST AMO (North Atlantic 0-60N SSTA) Index:
Year  month      SSTA
1862     11     -0.09
1862     12     -0.17
1863      1     -0.37
1863      2     -0.34
1863      3     -0.18
1863      4     -0.25
1863      5     -0.07
1863      6     -0.19
1863      7     -0.37
1863      8     -0.22
1863      9     -0.20
1863     10     -0.28
1863     11     -0.08
1863     12     -0.25
1864      1     -0.39
1864      2     -0.41
1864      3     -0.47
1864      4     -0.18
1864      5     -0.07
1864      6      0.00
1864      7      0.09
1864      8      0.17
1864      9     -0.00
1864     10     -0.06
1864     11      0.30
1864     12      0.54
1865      1      0.03
1865      2     -0.20
1865      3     -0.19
1865      4     -0.23
1865      5     -0.26
1865      6      0.07
1865      7      0.25
1865      8      0.14
1865      9      0.11
1865     10      0.40
1865     11      0.09
1865     12      0.16
1866      1      0.11
1866      2      0.07
1866      3     -0.09
1866      4     -0.19
1866      5     -0.06
1866      6      0.30
1866      7      0.13
1866      8     -0.17
1866      9     -0.08
1866     10      0.04
1866     11      0.26
1866     12      0.39
1867      1      0.25
1867      2      0.12
1867      3      0.01
1867      4     -0.21
1867      5     -0.10
1867      6     -0.18
1867      7     -0.13
1867      8      0.07
1867      9      0.05
1867     10     -0.07
1867     11      0.02
1867     12     -0.12
1868      1     -0.09
1868      2      0.07
1868      3      0.23
1868      4      0.07
1868      5      0.29
1868      6      0.32
1868      7      0.12
1868      8     -0.11
1868      9     -0.33
1868     10     -0.22
1868     11     -0.03
1868     12     -0.24
1869      1     -0.18
1869      2     -0.01
1869      3      0.16
1869      4     -0.08
1869      5      0.01
1869      6      0.02
1869      7     -0.02
1869      8     -0.25
1869      9     -0.16
1869     10     -0.15
1869     11     -0.03
1869     12     -0.01
1870      1      0.11
1870      2      0.16
1870      3      0.03
1870      4     -0.05
1870      5      0.05
1870      6     -0.24
1870      7      0.10
1870      8     -0.29
1870      9     -0.22
1870     10     -0.05
1870     11      0.04
1870     12     -0.01
1871      1     -0.34
1871      2     -0.30
1871      3     -0.10
1871      4      0.06
1871      5      0.16
1871      6      0.18
1871      7      0.13
1871      8     -0.17
1871      9     -0.31
1871     10     -0.39
1871     11      0.03
1871     12     -0.01
1872      1     -0.19
1872      2     -0.35
1872      3     -0.43
1872      4     -0.35
1872      5     -0.14
1872      6     -0.11
1872      7     -0.12
1872      8      0.15
1872      9     -0.06
1872     10     -0.12
1872     11     -0.29
1872     12     -0.24
1873      1      0.00
1873      2     -0.23
1873      3     -0.34
1873      4     -0.37
1873      5     -0.24
1873      6     -0.27
1873      7     -0.34
1873      8     -0.05
1873      9     -0.04
1873     10      0.16
1873     11     -0.03
1873     12      0.14
1874      1      0.12
1874      2      0.01
1874      3     -0.03
1874      4     -0.07
1874      5     -0.14
1874      6     -0.13
1874      7      0.05
1874      8      0.02
1874      9      0.01
1874     10     -0.08
1874     11     -0.24
1874     12     -0.39
1875      1     -0.21
1875      2     -0.03
1875      3     -0.12
1875      4     -0.14
1875      5     -0.08
1875      6     -0.07
1875      7     -0.12
1875      8     -0.16
1875      9      0.04
1875     10      0.35
1875     11      0.08
1875     12      0.04
1876      1     -0.08
1876      2     -0.18
1876      3     -0.35
1876      4     -0.53
1876      5     -0.38
1876      6     -0.19
1876      7     -0.10
1876      8      0.10
1876      9      0.28
1876     10      0.55
1876     11      0.20
1876     12      0.13
1877      1      0.03
1877      2      0.22
1877      3      0.31
1877      4      0.26
1877      5      0.34
1877      6      0.42
1877      7      0.39
1877      8      0.23
1877      9      0.37
1877     10      0.73
1877     11      0.67
1877     12      0.62
1878      1      0.45
1878      2      0.36
1878      3      0.74
1878      4      0.69
1878      5      0.62
1878      6      0.47
1878      7      0.38
1878      8      0.64
1878      9      0.34
1878     10     -0.04
1878     11      0.04
1878     12      0.43
1879      1      0.13
1879      2      0.20
1879      3     -0.06
1879      4      0.09
1879      5      0.21
1879      6      0.09
1879      7     -0.08
1879      8     -0.21
1879      9      0.07
1879     10      0.36
1879     11      0.19
1879     12      0.10
1880      1      0.15
1880      2      0.17
1880      3      0.18
1880      4      0.11
1880      5     -0.13
1880      6     -0.19
1880      7      0.08
1880      8     -0.02
1880      9     -0.03
1880     10      0.15
1880     11      0.03
1880     12     -0.00
1881      1      0.28
1881      2      0.36
1881      3      0.23
1881      4      0.06
1881      5      0.10
1881      6      0.08
1881      7     -0.06
1881      8     -0.19
1881      9     -0.15
1881     10     -0.26
1881     11     -0.40
1881     12     -0.36
1882      1     -0.03
1882      2     -0.04
1882      3     -0.09
1882      4     -0.11
1882      5     -0.22
1882      6     -0.17
1882      7     -0.13
1882      8     -0.19
1882      9     -0.28
1882     10     -0.12
1882     11      0.03
1882     12     -0.00
1883      1     -0.07
1883      2     -0.23
1883      3     -0.37
1883      4     -0.36
1883      5     -0.42
1883      6     -0.39
1883      7     -0.43
1883      8     -0.49
1883      9     -0.63
1883     10     -0.36
1883     11     -0.19
1883     12     -0.05
1884      1     -0.19
1884      2     -0.19
1884      3     -0.28
1884      4     -0.43
1884      5     -0.25
1884      6     -0.48
1884      7     -0.68
1884      8     -0.53
1884      9     -0.52
1884     10     -0.41
1884     11     -0.48
1884     12     -0.23
1885      1     -0.22
1885      2     -0.20
1885      3     -0.29
1885      4     -0.23
1885      5     -0.23
1885      6     -0.41
1885      7     -0.41
1885      8     -0.23
1885      9     -0.26
1885     10     -0.08
1885     11     -0.04
1885     12      0.01
1886      1      0.15
1886      2      0.15
1886      3      0.05
1886      4      0.07
1886      5      0.14
1886      6      0.03
1886      7     -0.09
1886      8     -0.32
1886      9     -0.39
1886     10     -0.18
1886     11     -0.19
1886     12     -0.18
1887      1     -0.28
1887      2     -0.22
1887      3     -0.17
1887      4     -0.21
1887      5     -0.12
1887      6      0.08
1887      7     -0.04
1887      8     -0.21
1887      9     -0.29
1887     10     -0.07
1887     11     -0.00
1887     12      0.02
1888      1      0.05
1888      2     -0.03
1888      3     -0.05
1888      4     -0.29
1888      5     -0.14
1888      6     -0.07
1888      7     -0.34
1888      8     -0.41
1888      9     -0.31
1888     10     -0.14
1888     11     -0.08
1888     12     -0.03
1889      1     -0.10
1889      2     -0.11
1889      3     -0.02
1889      4      0.02
1889      5      0.04
1889      6     -0.13
1889      7     -0.34
1889      8     -0.32
1889      9     -0.26
1889     10     -0.19
1889     11     -0.02
1889     12     -0.06
1890      1     -0.13
1890      2     -0.21
1890      3     -0.29
1890      4     -0.52
1890      5     -0.47
1890      6     -0.47
1890      7     -0.76
1890      8     -0.86
1890      9     -0.65
1890     10     -0.24
1890     11     -0.32
1890     12     -0.47
1891      1     -0.57
1891      2     -0.41
1891      3     -0.28
1891      4     -0.20
1891      5     -0.23
1891      6     -0.28
1891      7     -0.24
1891      8     -0.28
1891      9     -0.25
1891     10     -0.35
1891     11     -0.52
1891     12     -0.29
1892      1     -0.22
1892      2     -0.26
1892      3     -0.24
1892      4     -0.37
1892      5     -0.55
1892      6     -0.66
1892      7     -0.68
1892      8     -0.51
1892      9     -0.62
1892     10     -0.61
1892     11     -0.43
1892     12     -0.34
1893      1     -0.22
1893      2     -0.25
1893      3     -0.38
1893      4     -0.45
1893      5     -0.37
1893      6     -0.18
1893      7     -0.30
1893      8     -0.27
1893      9     -0.32
1893     10     -0.21
1893     11     -0.14
1893     12     -0.21
1894      1     -0.30
1894      2     -0.36
1894      3     -0.48
1894      4     -0.60
1894      5     -0.46
1894      6     -0.62
1894      7     -0.55
1894      8     -0.64
1894      9     -0.53
1894     10     -0.56
1894     11     -0.52
1894     12     -0.39
1895      1     -0.28
1895      2     -0.39
1895      3     -0.60
1895      4     -0.70
1895      5     -0.60
1895      6     -0.51
1895      7     -0.40
1895      8     -0.45
1895      9     -0.24
1895     10     -0.13
1895     11     -0.22
1895     12     -0.21
1896      1     -0.27
1896      2     -0.23
1896      3     -0.24
1896      4     -0.22
1896      5      0.14
1896      6      0.03
1896      7     -0.21
1896      8     -0.15
1896      9     -0.04
1896     10     -0.08
1896     11      0.03
1896     12     -0.12
1897      1     -0.26
1897      2     -0.13
1897      3      0.06
1897      4     -0.01
1897      5     -0.11
1897      6     -0.17
1897      7     -0.17
1897      8     -0.33
1897      9     -0.36
1897     10     -0.27
1897     11     -0.20
1897     12     -0.26
1898      1     -0.25
1898      2     -0.16
1898      3     -0.13
1898      4     -0.24
1898      5     -0.24
1898      6     -0.13
1898      7     -0.10
1898      8     -0.12
1898      9     -0.11
1898     10     -0.25
1898     11     -0.36
1898     12     -0.34
1899      1     -0.21
1899      2     -0.30
1899      3     -0.35
1899      4     -0.13
1899      5     -0.12
1899      6     -0.23
1899      7     -0.21
1899      8     -0.05
1899      9     -0.09
1899     10     -0.20
1899     11     -0.03
1899     12      0.07
1900      1      0.07
1900      2      0.01
1900      3     -0.15
1900      4     -0.19
1900      5     -0.39
1900      6     -0.43
1900      7     -0.40
1900      8     -0.33
1900      9     -0.27
1900     10     -0.14
1900     11     -0.17
1900     12     -0.16
1901      1     -0.12
1901      2     -0.09
1901      3     -0.23
1901      4     -0.24
1901      5     -0.21
1901      6     -0.11
1901      7     -0.14
1901      8     -0.12
1901      9     -0.19
1901     10     -0.33
1901     11     -0.42
1901     12     -0.51
1902      1     -0.30
1902      2     -0.36
1902      3     -0.41
1902      4     -0.51
1902      5     -0.44
1902      6     -0.63
1902      7     -0.70
1902      8     -0.60
1902      9     -0.45
1902     10     -0.26
1902     11     -0.28
1902     12     -0.37
1903      1     -0.38
1903      2     -0.28
1903      3     -0.27
1903      4     -0.36
1903      5     -0.44
1903      6     -0.68
1903      7     -0.81
1903      8     -1.00
1903      9     -0.84
1903     10     -0.73
1903     11     -0.60
1903     12     -0.63
1904      1     -0.65
1904      2     -0.71
1904      3     -0.80
1904      4     -0.82
1904      5     -0.80
1904      6     -1.01
1904      7     -0.96
1904      8     -0.82
1904      9     -0.92
1904     10     -0.76
1904     11     -0.58
1904     12     -0.55
1905      1     -0.65
1905      2     -0.67
1905      3     -0.66
1905      4     -0.62
1905      5     -0.50
1905      6     -0.66
1905      7     -0.64
1905      8     -0.78
1905      9     -0.86
1905     10     -0.68
1905     11     -0.63
1905     12     -0.65
1906      1     -0.32
1906      2     -0.27
1906      3     -0.35
1906      4     -0.39
1906      5     -0.49
1906      6     -0.34
1906      7     -0.46
1906      8     -0.49
1906      9     -0.53
1906     10     -0.49
1906     11     -0.29
1906     12     -0.47
1907      1     -0.52
1907      2     -0.61
1907      3     -0.53
1907      4     -0.51
1907      5     -0.59
1907      6     -0.71
1907      7     -0.78
1907      8     -0.83
1907      9     -0.59
1907     10     -0.49
1907     11     -0.53
1907     12     -0.50
1908      1     -0.53
1908      2     -0.56
1908      3     -0.55
1908      4     -0.70
1908      5     -0.59
1908      6     -0.47
1908      7     -0.39
1908      8     -0.52
1908      9     -0.55
1908     10     -0.48
1908     11     -0.41
1908     12     -0.34
1909      1     -0.37
1909      2     -0.51
1909      3     -0.51
1909      4     -0.64
1909      5     -0.53
1909      6     -0.70
1909      7     -0.79
1909      8     -0.65
1909      9     -0.55
1909     10     -0.48
1909     11     -0.65
1909     12     -0.57
1910      1     -0.64
1910      2     -0.55
1910      3     -0.58
1910      4     -0.59
1910      5     -0.71
1910      6     -0.80
1910      7     -0.86
1910      8     -0.71
1910      9     -0.50
1910     10     -0.48
1910     11     -0.34
1910     12     -0.46
1911      1     -0.50
1911      2     -0.47
1911      3     -0.63
1911      4     -0.70
1911      5     -0.64
1911      6     -0.57
1911      7     -0.55
1911      8     -0.51
1911      9     -0.48
1911     10     -0.40
1911     11     -0.46
1911     12     -0.46
1912      1     -0.50
1912      2     -0.54
1912      3     -0.51
1912      4     -0.48
1912      5     -0.46
1912      6     -0.61
1912      7     -0.84
1912      8     -1.07
1912      9     -0.84
1912     10     -0.64
1912     11     -0.62
1912     12     -0.53
1913      1     -0.49
1913      2     -0.44
1913      3     -0.51
1913      4     -0.77
1913      5     -0.80
1913      6     -0.96
1913      7     -0.88
1913      8     -0.86
1913      9     -0.77
1913     10     -0.57
1913     11     -0.53
1913     12     -0.37
1914      1     -0.33
1914      2     -0.44
1914      3     -0.63
1914      4     -0.58
1914      5     -0.55
1914      6     -0.67
1914      7     -0.88
1914      8     -0.85
1914      9     -0.53
1914     10     -0.24
1914     11     -0.25
1914     12     -0.29
1915      1     -0.24
1915      2     -0.15
1915      3     -0.11
1915      4     -0.17
1915      5     -0.04
1915      6     -0.02
1915      7     -0.03
1915      8     -0.03
1915      9     -0.04
1915     10     -0.06
1915     11     -0.04
1915     12     -0.08
1916      1     -0.18
1916      2     -0.15
1916      3     -0.33
1916      4     -0.33
1916      5     -0.26
1916      6     -0.27
1916      7     -0.40
1916      8     -0.53
1916      9     -0.44
1916     10     -0.16
1916     11     -0.42
1916     12     -0.47
1917      1     -0.52
1917      2     -0.49
1917      3     -0.52
1917      4     -0.57
1917      5     -0.52
1917      6     -0.43
1917      7     -0.45
1917      8     -0.47
1917      9     -0.68
1917     10     -0.51
1917     11     -0.39
1917     12     -0.30
1918      1     -0.27
1918      2     -0.34
1918      3     -0.50
1918      4     -0.51
1918      5     -0.48
1918      6     -0.58
1918      7     -0.69
1918      8     -0.78
1918      9     -0.72
1918     10     -0.58
1918     11     -0.34
1918     12     -0.15
1919      1     -0.19
1919      2     -0.11
1919      3     -0.11
1919      4     -0.28
1919      5     -0.40
1919      6     -0.54
1919      7     -0.73
1919      8     -0.49
1919      9     -0.31
1919     10     -0.19
1919     11     -0.31
1919     12     -0.37
1920      1     -0.45
1920      2     -0.44
1920      3     -0.42
1920      4     -0.44
1920      5     -0.50
1920      6     -0.62
1920      7     -0.76
1920      8     -0.76
1920      9     -0.52
1920     10     -0.40
1920     11     -0.43
1920     12     -0.42
1921      1     -0.37
1921      2     -0.25
1921      3     -0.24
1921      4     -0.29
1921      5     -0.47
1921      6     -0.48
1921      7     -0.36
1921      8     -0.64
1921      9     -0.44
1921     10     -0.10
1921     11     -0.26
1921     12     -0.16
1922      1     -0.21
1922      2     -0.24
1922      3     -0.42
1922      4     -0.58
1922      5     -0.62
1922      6     -0.60
1922      7     -0.83
1922      8     -0.74
1922      9     -0.64
1922     10     -0.43
1922     11     -0.45
1922     12     -0.38
1923      1     -0.40
1923      2     -0.49
1923      3     -0.53
1923      4     -0.62
1923      5     -0.55
1923      6     -0.66
1923      7     -0.74
1923      8     -0.89
1923      9     -0.72
1923     10     -0.45
1923     11     -0.38
1923     12     -0.13
1924      1     -0.25
1924      2     -0.36
1924      3     -0.32
1924      4     -0.34
1924      5     -0.22
1924      6     -0.39
1924      7     -0.56
1924      8     -0.60
1924      9     -0.57
1924     10     -0.45
1924     11     -0.45
1924     12     -0.40
1925      1     -0.48
1925      2     -0.38
1925      3     -0.38
1925      4     -0.39
1925      5     -0.30
1925      6     -0.45
1925      7     -0.47
1925      8     -0.50
1925      9     -0.42
1925     10     -0.27
1925     11     -0.36
1925     12     -0.15
1926      1     -0.06
1926      2     -0.04
1926      3     -0.17
1926      4     -0.10
1926      5     -0.18
1926      6     -0.23
1926      7     -0.28
1926      8     -0.33
1926      9     -0.22
1926     10      0.07
1926     11     -0.09
1926     12     -0.01
1927      1      0.01
1927      2      0.01
1927      3     -0.05
1927      4     -0.10
1927      5      0.01
1927      6     -0.14
1927      7     -0.25
1927      8     -0.23
1927      9     -0.15
1927     10      0.04
1927     11      0.10
1927     12     -0.03
1928      1     -0.11
1928      2     -0.22
1928      3     -0.21
1928      4     -0.39
1928      5     -0.36
1928      6     -0.30
1928      7     -0.30
1928      8     -0.33
1928      9     -0.23
1928     10     -0.17
1928     11     -0.20
1928     12     -0.22
1929      1     -0.17
1929      2     -0.17
1929      3     -0.21
1929      4     -0.23
1929      5     -0.46
1929      6     -0.57
1929      7     -0.58
1929      8     -0.53
1929      9     -0.36
1929     10     -0.21
1929     11     -0.22
1929     12     -0.32
1930      1     -0.28
1930      2     -0.33
1930      3     -0.33
1930      4     -0.51
1930      5     -0.36
1930      6     -0.38
1930      7     -0.32
1930      8     -0.38
1930      9     -0.11
1930     10      0.10
1930     11      0.17
1930     12      0.08
1931      1      0.06
1931      2     -0.01
1931      3      0.03
1931      4      0.02
1931      5      0.06
1931      6      0.01
1931      7     -0.13
1931      8     -0.17
1931      9     -0.02
1931     10      0.17
1931     11      0.03
1931     12      0.09
1932      1      0.16
1932      2      0.20
1932      3      0.16
1932      4      0.12
1932      5     -0.02
1932      6     -0.01
1932      7     -0.10
1932      8      0.17
1932      9      0.20
1932     10      0.11
1932     11      0.04
1932     12      0.04
1933      1      0.06
1933      2      0.13
1933      3      0.01
1933      4      0.14
1933      5      0.16
1933      6      0.06
1933      7     -0.05
1933      8     -0.07
1933      9      0.03
1933     10      0.33
1933     11      0.12
1933     12     -0.12
1934      1     -0.12
1934      2     -0.25
1934      3     -0.22
1934      4     -0.25
1934      5     -0.30
1934      6     -0.16
1934      7     -0.12
1934      8     -0.15
1934      9     -0.06
1934     10      0.10
1934     11      0.01
1934     12     -0.05
1935      1     -0.00
1935      2     -0.15
1935      3     -0.21
1935      4     -0.11
1935      5     -0.10
1935      6     -0.12
1935      7     -0.23
1935      8     -0.21
1935      9     -0.30
1935     10     -0.17
1935     11     -0.02
1935     12      0.02
1936      1      0.03
1936      2      0.00
1936      3      0.08
1936      4      0.03
1936      5     -0.02
1936      6      0.09
1936      7     -0.17
1936      8     -0.15
1936      9     -0.13
1936     10     -0.00
1936     11     -0.07
1936     12     -0.03
1937      1      0.07
1937      2      0.06
1937      3      0.04
1937      4     -0.07
1937      5      0.00
1937      6      0.35
1937      7      0.36
1937      8      0.36
1937      9      0.39
1937     10      0.22
1937     11      0.24
1937     12      0.28
1938      1      0.08
1938      2      0.00
1938      3      0.02
1938      4      0.00
1938      5      0.03
1938      6     -0.06
1938      7     -0.19
1938      8     -0.13
1938      9     -0.04
1938     10      0.07
1938     11      0.14
1938     12     -0.04
1939      1     -0.09
1939      2     -0.06
1939      3     -0.24
1939      4     -0.30
1939      5     -0.19
1939      6     -0.06
1939      7     -0.16
1939      8      0.07
1939      9      0.19
1939     10      0.14
1939     11      0.07
1939     12      0.18
1940      1      0.30
1940      2      0.17
1940      3      0.12
1940      4      0.13
1940      5      0.17
1940      6      0.23
1940      7      0.18
1940      8      0.21
1940      9      0.23
1940     10      0.35
1940     11      0.36
1940     12      0.37
1941      1      0.40
1941      2      0.28
1941      3      0.07
1941      4      0.23
1941      5      0.13
1941      6     -0.07
1941      7      0.07
1941      8      0.16
1941      9      0.29
1941     10      0.59
1941     11      0.60
1941     12      0.51
1942      1      0.11
1942      2      0.10
1942      3      0.20
1942      4      0.24
1942      5      0.26
1942      6      0.18
1942      7      0.12
1942      8      0.14
1942      9      0.20
1942     10      0.17
1942     11      0.19
1942     12      0.06
1943      1      0.01
1943      2      0.01
1943      3     -0.13
1943      4     -0.07
1943      5     -0.03
1943      6     -0.09
1943      7     -0.16
1943      8     -0.12
1943      9     -0.03
1943     10      0.07
1943     11      0.10
1943     12      0.11
1944      1      0.24
1944      2      0.41
1944      3      0.36
1944      4      0.31
1944      5      0.07
1944      6      0.23
1944      7      0.18
1944      8      0.22
1944      9      0.39
1944     10      0.39
1944     11      0.33
1944     12      0.29
1945      1      0.35
1945      2      0.41
1945      3      0.45
1945      4      0.59
1945      5      0.43
1945      6      0.30
1945      7      0.18
1945      8      0.43
1945      9      0.38
1945     10      0.23
1945     11      0.01
1945     12      0.06
1946      1      0.00
1946      2     -0.04
1946      3      0.05
1946      4     -0.09
1946      5     -0.15
1946      6     -0.42
1946      7     -0.42
1946      8     -0.37
1946      9     -0.17
1946     10     -0.12
1946     11     -0.15
1946     12     -0.22
1947      1     -0.31
1947      2     -0.30
1947      3     -0.28
1947      4     -0.30
1947      5     -0.34
1947      6     -0.35
1947      7     -0.37
1947      8     -0.31
1947      9     -0.34
1947     10     -0.20
1947     11     -0.01
1947     12     -0.20
1948      1     -0.13
1948      2     -0.14
1948      3     -0.09
1948      4     -0.20
1948      5     -0.12
1948      6     -0.15
1948      7     -0.20
1948      8     -0.22
1948      9     -0.29
1948     10     -0.15
1948     11     -0.00
1948     12     -0.08
1949      1      0.11
1949      2      0.14
1949      3     -0.06
1949      4     -0.02
1949      5     -0.13
1949      6     -0.20
1949      7     -0.04
1949      8     -0.02
1949      9     -0.02
1949     10      0.04
1949     11      0.08
1949     12      0.03
1950      1     -0.03
1950      2     -0.13
1950      3     -0.16
1950      4     -0.22
1950      5     -0.23
1950      6     -0.22
1950      7     -0.31
1950      8     -0.28
1950      9     -0.28
1950     10     -0.23
1950     11     -0.00
1950     12      0.04
1951      1      0.04
1951      2     -0.07
1951      3     -0.08
1951      4      0.05
1951      5      0.12
1951      6      0.16
1951      7      0.31
1951      8      0.17
1951      9      0.12
1951     10      0.13
1951     11      0.13
1951     12      0.12
1952      1      0.00
1952      2      0.04
1952      3      0.09
1952      4      0.02
1952      5      0.05
1952      6      0.28
1952      7      0.25
1952      8      0.33
1952      9      0.21
1952     10      0.24
1952     11      0.09
1952     12      0.17
1953      1      0.14
1953      2      0.07
1953      3      0.01
1953      4      0.16
1953      5      0.27
1953      6      0.18
1953      7      0.17
1953      8     -0.02
1953      9      0.09
1953     10      0.07
1953     11      0.24
1953     12      0.24
1954      1      0.15
1954      2     -0.01
1954      3     -0.05
1954      4     -0.11
1954      5     -0.05
1954      6     -0.08
1954      7     -0.18
1954      8     -0.27
1954      9     -0.22
1954     10     -0.06
1954     11     -0.10
1954     12     -0.06
1955      1      0.08
1955      2     -0.06
1955      3     -0.10
1955      4     -0.08
1955      5      0.07
1955      6     -0.11
1955      7      0.16
1955      8      0.17
1955      9      0.14
1955     10      0.15
1955     11      0.29
1955     12      0.12
1956      1      0.10
1956      2     -0.02
1956      3     -0.09
1956      4     -0.10
1956      5     -0.22
1956      6     -0.43
1956      7     -0.28
1956      8     -0.25
1956      9     -0.30
1956     10     -0.09
1956     11     -0.14
1956     12      0.01
1957      1     -0.16
1957      2     -0.12
1957      3     -0.06
1957      4     -0.16
1957      5     -0.27
1957      6     -0.14
1957      7     -0.10
1957      8      0.06
1957      9      0.11
1957     10      0.10
1957     11      0.03
1957     12      0.04
1958      1      0.09
1958      2      0.16
1958      3      0.31
1958      4      0.30
1958      5      0.15
1958      6      0.12
1958      7     -0.05
1958      8      0.04
1958      9      0.04
1958     10      0.04
1958     11      0.12
1958     12      0.14
1959      1      0.07
1959      2      0.11
1959      3     -0.07
1959      4     -0.19
1959      5     -0.15
1959      6     -0.15
1959      7     -0.18
1959      8     -0.12
1959      9      0.04
1959     10      0.08
1959     11     -0.01
1959     12     -0.05
1960      1      0.06
1960      2      0.09
1960      3     -0.05
1960      4     -0.06
1960      5      0.15
1960      6      0.18
1960      7      0.10
1960      8      0.17
1960      9      0.08
1960     10      0.22
1960     11      0.15
1960     12      0.06
1961      1      0.08
1961      2      0.08
1961      3      0.17
1961      4      0.18
1961      5      0.12
1961      6     -0.02
1961      7     -0.06
1961      8      0.04
1961      9     -0.03
1961     10      0.00
1961     11      0.15
1961     12      0.26
1962      1      0.14
1962      2      0.17
1962      3      0.13
1962      4      0.04
1962      5     -0.07
1962      6     -0.17
1962      7     -0.12
1962      8     -0.19
1962      9     -0.10
1962     10      0.08
1962     11      0.11
1962     12      0.22
1963      1      0.18
1963      2      0.07
1963      3      0.01
1963      4      0.01
1963      5     -0.17
1963      6     -0.14
1963      7     -0.17
1963      8     -0.14
1963      9     -0.22
1963     10     -0.04
1963     11      0.02
1963     12     -0.03
1964      1     -0.14
1964      2     -0.05
1964      3     -0.08
1964      4     -0.28
1964      5     -0.03
1964      6     -0.08
1964      7     -0.19
1964      8     -0.35
1964      9     -0.35
1964     10     -0.30
1964     11     -0.21
1964     12     -0.18
1965      1     -0.25
1965      2     -0.23
1965      3     -0.16
1965      4     -0.12
1965      5     -0.18
1965      6     -0.29
1965      7     -0.36
1965      8     -0.32
1965      9     -0.34
1965     10     -0.26
1965     11     -0.28
1965     12     -0.09
1966      1     -0.16
1966      2     -0.05
1966      3     -0.04
1966      4      0.02
1966      5     -0.09
1966      6     -0.15
1966      7     -0.11
1966      8     -0.16
1966      9     -0.11
1966     10     -0.05
1966     11     -0.03
1966     12      0.07
1967      1      0.01
1967      2     -0.01
1967      3     -0.06
1967      4     -0.03
1967      5     -0.30
1967      6     -0.36
1967      7     -0.27
1967      8     -0.21
1967      9     -0.21
1967     10     -0.17
1967     11     -0.21
1967     12     -0.14
1968      1     -0.25
1968      2     -0.21
1968      3     -0.28
1968      4     -0.18
1968      5     -0.27
1968      6     -0.39
1968      7     -0.40
1968      8     -0.30
1968      9     -0.21
1968     10     -0.03
1968     11     -0.09
1968     12     -0.11
1969      1     -0.07
1969      2      0.09
1969      3      0.14
1969      4      0.13
1969      5     -0.03
1969      6     -0.11
1969      7     -0.04
1969      8     -0.12
1969      9     -0.10
1969     10     -0.14
1969     11     -0.09
1969     12      0.00
1970      1     -0.07
1970      2     -0.09
1970      3     -0.02
1970      4     -0.01
1970      5     -0.08
1970      6     -0.20
1970      7     -0.32
1970      8     -0.21
1970      9     -0.18
1970     10     -0.13
1970     11     -0.16
1970     12     -0.15
1971      1     -0.19
1971      2     -0.25
1971      3     -0.32
1971      4     -0.41
1971      5     -0.36
1971      6     -0.38
1971      7     -0.37
1971      8     -0.47
1971      9     -0.35
1971     10     -0.14
1971     11     -0.12
1971     12     -0.25
1972      1     -0.25
1972      2     -0.30
1972      3     -0.39
1972      4     -0.30
1972      5     -0.51
1972      6     -0.50
1972      7     -0.41
1972      8     -0.49
1972      9     -0.38
1972     10     -0.28
1972     11     -0.24
1972     12     -0.26
1973      1     -0.28
1973      2     -0.21
1973      3     -0.16
1973      4     -0.14
