TMAX       300017 19700101 20201231 missing_value=99999.9 CASEY                                     
19820501 19820531    -8.6
19820601 19820630   -11.1
19820701 19820731    -8.6
19820801 19820831   -18.8
19820901 19820930   -15.0
19821001 19821031    -7.3
19821101 19821130    -2.4
19821201 19821231     3.6
19830101 19830131     3.2
19830201 19830228     1.3
19830301 19830331    -5.1
19830401 19830430    -6.3
19830501 19830531    -7.2
19830601 19830630    -9.3
19830701 19830731   -15.8
19830801 19830831   -10.2
19830901 19830930    -6.8
19831001 19831031   -10.6
19831101 19831130    -2.7
19831201 19831231     1.9
19840101 19840131     3.1
19840201 19840229     0.9
19840301 19840331    -0.7
19840401 19840430    -6.6
19840501 19840531    -4.5
19840601 19840630   -12.4
19840701 19840731   -10.2
19840801 19840831    -7.1
19840901 19840930   -10.7
19841001 19841031    -8.6
19841101 19841130    -3.7
19841201 19841231     2.8
19850101 19850131     3.6
19850201 19850228    -0.3
19850301 19850331    -1.3
19850401 19850430    -6.1
19850501 19850531   -15.5
19850601 19850630   -10.8
19850701 19850731   -11.9
19850801 19850831    -7.6
19850901 19850930   -10.6
19851001 19851031    -7.9
19851101 19851130    -1.9
19851201 19851231     0.6
19860101 19860131     1.7
19860201 19860228     3.6
19860301 19860331    -2.6
19860401 19860430    -7.0
19860501 19860531    -8.7
19860601 19860630   -13.0
19860701 19860731   -11.5
19860801 19860831    -8.6
19860901 19860930    -8.8
19861001 19861031    -4.1
19861101 19861130    -2.0
19861201 19861231     2.0
19870101 19870131     4.4
19870201 19870228     1.1
19870301 19870331    -3.7
19870401 19870430    -7.6
19870501 19870531   -12.2
19870601 19870630    -6.7
19870701 19870731    -8.8
19870801 19870831   -17.5
19870901 19870930    -9.7
19871001 19871031    -4.8
19871101 19871130    -1.3
19871201 19871231     2.3
19880101 19880131     2.7
19880201 19880229     0.5
19880301 19880331    -5.4
19880401 19880430    -8.3
19880501 19880531    -7.8
19880601 19880630   -10.5
19880701 19880731   -14.1
19880801 19880831   -11.1
19880901 19880930   -11.0
19881001 19881031    -5.3
19881101 19881130    -1.7
19881201 19881231     1.5
19890101 19890131     2.0
19890201 19890228    -1.0
19890301 19890331    -5.9
19890401 19890430    -7.7
19890501 19890531   -10.4
19890601 19890630   -14.9
19890701 19890731   -10.0
19890801 19890831    -9.0
19890901 19890930    -6.1
19891001 19891031    -4.0
19891101 19891130    -4.7
19891201 19891231     3.1
19900101 19900131     3.1
19900201 19900228    -0.1
19900301 19900331    -3.5
19900401 19900430    -6.2
19900501 19900531   -10.5
19900601 19900630   -15.6
19900701 19900731    -8.0
19900801 19900831   -10.9
19900901 19900930   -11.3
19901001 19901031    -9.5
19901101 19901130    -2.6
19901201 19901231     2.5
19910101 19910131     2.5
19910201 19910228     0.9
19910301 19910331    -3.1
19910401 19910430    -3.8
19910501 19910531   -12.2
19910601 19910630    -7.0
19910701 19910731    -9.0
19910801 19910831    -6.8
19910901 19910930   -11.2
19911001 19911031    -6.5
19911101 19911130    -0.9
19911201 19911231     4.0
19920101 19920131     3.3
19920201 19920229     0.5
19920301 19920331    -3.3
19920401 19920430    -7.6
19920501 19920531   -12.3
19920601 19920630    -7.9
19920701 19920731   -12.0
19920801 19920831    -8.6
19920901 19920930   -12.2
19921001 19921031    -9.2
19921101 19921130    -2.7
19921201 19921231     1.2
19930101 19930131     3.8
19930201 19930228     1.8
19930301 19930331    -3.8
19930401 19930430    -6.5
19930501 19930531   -11.7
19930601 19930630   -13.9
19930701 19930731   -12.3
19930801 19930831   -13.8
19930901 19930930   -11.5
19931001 19931031   -10.5
19931101 19931130    -3.5
19931201 19931231     0.2
19940101 19940131     1.4
19940201 19940228     0.6
19940301 19940331    -3.5
19940401 19940430    -9.9
19940501 19940531   -14.4
19940601 19940630    -6.1
19940701 19940731   -10.0
19940801 19940831   -14.5
19940901 19940930    -8.2
19941001 19941031    -7.1
19941101 19941130    -2.8
19941201 19941231    -0.4
19950101 19950131     0.6
19950201 19950228    -1.6
19950301 19950331    -4.8
19950401 19950430    -9.0
19950501 19950531   -14.3
19950601 19950630    -8.6
19950701 19950731    -7.2
19950801 19950831    -8.1
19950901 19950930    -8.8
