TMAX       200284 19600101 20201231 missing_value=99999.9 COCOS ISLAND AIRPORT                      
19950901 19950930    28.7
19951001 19951031    29.2
19951101 19951130    29.0
19951201 19951231    29.6
19960101 19960131    30.5
19960201 19960229    30.8
19960301 19960331    30.3
19960401 19960430    30.1
19960501 19960531    29.8
19960601 19960630    29.4
19960701 19960731    28.8
19960801 19960831    28.4
19960901 19960930    29.1
19961001 19961031    29.4
19961101 19961130    29.3
19961201 19961231    29.7
19970101 19970131    30.4
19970201 19970228    29.6
19970301 19970331    30.2
19970401 19970430    30.1
19970501 19970531    29.6
19970601 19970630    29.8
19970701 19970731    28.3
19970801 19970831    27.6
19970901 19970930    28.4
19971001 19971031    28.4
19971101 19971130    29.2
19971201 19971231    30.2
19980101 19980131    30.5
19980201 19980228    31.2
19980301 19980331    31.3
19980401 19980430    31.2
19980501 19980531    30.1
19980601 19980630    28.7
19980701 19980731    28.3
19980801 19980831    28.5
19980901 19980930    29.0
19981001 19981031    29.4
19981101 19981130    29.7
19981201 19981231    29.9
19990101 19990131    30.2
19990201 19990228    30.2
19990301 19990331    30.4
19990401 19990430    30.3
19990501 19990531    29.9
19990601 19990630    29.5
19990701 19990731    28.8
19990801 19990831    29.2
19990901 19990930    29.5
19991001 19991031    30.1
19991101 19991130    29.6
19991201 19991231    29.3
20000101 20000131    29.8
20000201 20000229    29.6
20000301 20000331    29.6
20000401 20000430    29.4
20000501 20000531    28.8
20000601 20000630    28.4
20000701 20000731    28.4
20000801 20000831    28.0
20000901 20000930    28.6
20001001 20001031    28.4
20001101 20001130    28.6
20001201 20001231    29.1
20010101 20010131    29.3
20010201 20010228    29.0
20010301 20010331    29.5
20010401 20010430    29.0
20010501 20010531    28.8
20010601 20010630    29.0
20010701 20010731    28.7
20010801 20010831    28.5
20010901 20010930    28.1
20011001 20011031    29.0
20011101 20011130    29.2
20011201 20011231    30.1
20020101 20020131    30.0
20020201 20020228    30.5
20020301 20020331    30.5
20020401 20020430    30.7
20020501 20020531    30.2
20020601 20020630    29.3
20020701 20020731    28.6
20020801 20020831    28.7
20020901 20020930    28.5
20021001 20021031    29.2
20021101 20021130    29.7
20021201 20021231    30.0
20030101 20030131    30.3
20030201 20030228    30.4
20030301 20030331    30.3
20030401 20030430    30.2
20030501 20030531    29.9
20030601 20030630    29.4
20030701 20030731    29.0
20030801 20030831    28.1
20030901 20030930    28.3
20031001 20031031    28.7
20031101 20031130    29.2
20031201 20031231    29.9
20040101 20040131    30.9
20040201 20040229    30.6
20040301 20040331    30.2
20040401 20040430    30.5
20040501 20040531    29.5
20040601 20040630    29.0
20040701 20040731    28.1
20040801 20040831    28.0
20040901 20040930    28.0
20041001 20041031    29.1
20041101 20041130    29.5
20041201 20041231    30.0
20050101 20050131    30.9
20050201 20050228    30.5
20050301 20050331    30.8
20050401 20050430    29.7
20050501 20050531    29.8
20050601 20050630    28.1
20050701 20050731    27.8
20050801 20050831    27.7
20050901 20050930    28.4
20051001 20051031    28.6
20051101 20051130    29.0
20051201 20051231    29.6
20060101 20060131    30.3
20060201 20060228    29.9
20060301 20060331    30.3
20060401 20060430    29.7
20060501 20060531    29.1
20060601 20060630    28.2
20060701 20060731    27.9
20060801 20060831    28.2
20060901 20060930    28.4
