Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland, Mangere,1945,C64971,-36.970,174.776,2,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(UTC),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
1945,19590201:2100,23.9,24,11.1,24,-,-,-,-,-,D
1945,19590202:2100,22.8,24,11.1,24,-,-,-,-,-,D
1945,19590203:2100,23.3,24,17.2,24,-,-,-,-,-,D
1945,19590204:2100,24.4,24,17.8,24,-,-,-,-,-,D
1945,19590205:2100,23.3,24,12.2,24,-,-,-,-,-,D
1945,19590206:2100,24.4,24,12.8,24,-,-,-,-,-,D
1945,19590208:2100,26.7,48,13.3,48,-,-,-,-,-,D
1945,19590209:2100,25.6,24,19.4,24,-,-,-,-,-,D
1945,19590210:2100,23.9,24,17.2,24,-,-,-,-,-,D
1945,19590211:2100,22.8,24,16.7,24,-,-,-,-,-,D
1945,19590212:2100,22.8,24,16.1,24,-,-,-,-,-,D
1945,19590213:2100,24.4,24,16.1,24,-,-,-,-,-,D
1945,19590215:2100,23.9,48,12.8,48,-,-,-,-,-,D
1945,19590216:2100,23.3,24,13.3,24,-,-,-,-,-,D
1945,19590217:2100,24.4,24,13.3,24,-,-,-,-,-,D
1945,19590218:2100,25.0,24,15.0,24,-,-,-,-,-,D
1945,19590219:2100,25.0,24,18.9,24,-,-,-,-,-,D
1945,19590220:2100,25.6,24,17.8,24,-,-,-,-,-,D
1945,19590222:2100,25.6,48,9.4,48,-,-,-,-,-,D
1945,19590223:2100,16.7,24,12.8,24,-,-,-,-,-,D
1945,19590224:2100,22.2,24,13.9,24,-,-,-,-,-,D
1945,19590225:2100,23.3,24,10.0,24,-,-,-,-,-,D
1945,19590226:2100,24.4,24,14.4,24,-,-,-,-,-,D
1945,19590227:2100,23.3,24,11.1,24,-,-,-,-,-,D
1945,19590301:2100,23.9,48,10.0,48,-,-,-,-,-,D
1945,19590302:2100,24.4,24,13.9,24,-,-,-,-,-,D
1945,19590303:2100,23.9,24,9.4,24,-,-,-,-,-,D
1945,19590304:2100,22.8,24,14.4,24,-,-,-,-,-,D
1945,19590305:2100,20.6,24,14.4,24,-,-,-,-,-,D
1945,19590306:2100,20.0,24,13.3,24,-,-,-,-,-,D
1945,19590308:2100,23.9,48,12.8,48,-,-,-,-,-,D
1945,19590309:2100,24.4,24,14.4,24,-,-,-,-,-,D
1945,19590310:2100,25.0,24,12.2,24,-,-,-,-,-,D
1945,19590311:2100,25.6,24,16.7,24,-,-,-,-,-,D
1945,19590312:2100,23.9,24,15.0,24,-,-,-,-,-,D
1945,19590313:2100,21.1,24,15.6,24,-,-,-,-,-,D
1945,19590315:2100,24.4,48,11.1,48,-,-,-,-,-,D
1945,19590316:2100,25.0,24,20.6,24,-,-,-,-,-,D
1945,19590317:2100,23.3,24,17.8,24,-,-,-,-,-,D
1945,19590318:2100,20.0,24,15.6,24,-,-,-,-,-,D
1945,19590319:2100,21.1,24,15.6,24,-,-,-,-,-,D
1945,19590320:2100,20.6,24,15.0,24,-,-,-,-,-,D
1945,19590322:2100,23.9,48,8.9,48,-,-,-,-,-,D
1945,19590323:2100,23.9,24,12.8,24,-,-,-,-,-,D
1945,19590324:2100,23.9,24,15.6,24,-,-,-,-,-,D
1945,19590325:2100,22.2,24,15.6,24,-,-,-,-,-,D
1945,19590330:2100,23.9,120,8.3,120,-,-,-,-,-,D
1945,19590331:2100,21.1,24,8.3,24,-,-,-,-,-,D
1945,19590401:2100,21.7,24,10.6,24,-,-,-,-,-,D
1945,19590402:2100,22.8,24,10.0,24,-,-,-,-,-,D
1945,19590403:2100,20.6,24,18.9,24,-,-,-,-,-,D
1945,19590405:2100,22.2,48,10.6,48,-,-,-,-,-,D
1945,19590406:2100,19.4,24,13.9,24,-,-,-,-,-,D
1945,19590407:2100,21.7,24,12.8,24,-,-,-,-,-,D
1945,19590408:2100,22.2,24,10.0,24,-,-,-,-,-,D
1945,19590409:2100,18.3,24,12.2,24,-,-,-,-,-,D
1945,19590410:2100,21.1,24,-,-,-,-,-,-,-,D
1945,19590411:2100,23.3,24,-,-,-,-,-,-,-,D
1945,19590413:2100,20.0,48,8.9,96,-,-,-,-,-,D
1945,19590414:2100,20.0,24,6.7,24,-,-,-,-,-,D
1945,19590415:2100,20.0,24,6.1,24,-,-,-,-,-,D
1945,19590416:2100,21.1,24,11.1,24,-,-,-,-,-,D
1945,19590417:2100,21.1,24,11.7,24,-,-,-,-,-,D
1945,19590419:2100,21.1,48,5.0,48,-,-,-,-,-,D
1945,19590420:2100,18.9,24,12.8,24,-,-,-,-,-,D
1945,19590421:2100,19.4,24,5.6,24,-,-,-,-,-,D
1945,19590422:2100,20.0,24,8.9,24,-,-,-,-,-,D
1945,19590423:2100,20.6,24,9.4,24,-,-,-,-,-,D
1945,19590426:2100,20.6,72,7.2,72,-,-,-,-,-,D
1945,19590427:2100,18.3,24,12.8,24,-,-,-,-,-,D
1945,19590428:2100,18.3,24,11.1,24,-,-,-,-,-,D
1945,19590429:2100,16.1,24,15.6,24,-,-,-,-,-,D
1945,19590430:2100,18.3,24,7.2,24,-,-,-,-,-,D
1945,19590501:2100,-,-,13.9,24,-,-,-,-,-,D
1945,19590503:2100,18.9,72,10.0,48,-,-,-,-,-,D
1945,19590504:2100,15.0,24,10.0,24,-,-,-,-,-,D
1945,19590505:2100,16.1,24,10.0,24,-,-,-,-,-,D
1945,19590506:2100,17.2,24,11.1,24,-,-,-,-,-,D
1945,19590507:2100,16.7,24,5.0,24,-,-,-,-,-,D
1945,19590508:2100,15.6,24,3.9,24,-,-,-,-,-,D
1945,19590510:2100,18.3,48,7.8,48,-,-,-,-,-,D
1945,19590511:2100,15.0,24,7.2,24,-,-,-,-,-,D
1945,19590512:2100,15.0,24,7.2,24,-,-,-,-,-,D
1945,19590513:2100,16.7,24,7.8,24,-,-,-,-,-,D
1945,19590514:2100,16.7,24,7.8,24,-,-,-,-,-,D
1945,19590515:2100,16.7,24,5.6,24,-,-,-,-,-,D
1945,19590517:2100,16.7,48,8.3,48,-,-,-,-,-,D
1945,19590518:2100,13.9,24,7.8,24,-,-,-,-,-,D
1945,19590519:2100,14.4,24,5.6,24,-,-,-,-,-,D
1945,19590520:2100,15.0,24,3.9,24,-,-,-,-,-,D
1945,19590521:2100,15.0,24,4.4,24,-,-,-,-,-,D
