Adelaide,023090
Albany,009999
Alice Springs,015590
Amberley,040004
Barcaldine,036007
Bathurst,063005
Birdsville,038026
Boulia,038003
Bourke,048245
Bridgetown,009617
Brisbane Airport,040842
Broome Airport,003003
Bundaberg,039128
Burketown,029077
Butlers Gorge,096003
Cabramurra,072161
Cairns,031011
Camooweal,037010
Canberra,070351
Cape Borda,022823
Cape Bruny Lighthouse,094198
Cape Leeuwin,009518
Cape Moreton,040043
Cape Otway Lighthouse,090015
Carnarvon,006011
Ceduna,018012
Charleville,044021
Charters Towers,034084
Cobar,048027
Coffs Harbour,059151
Cunderdin,010286
Dalwallinu,008297
Darwin,014015
Deniliquin,074258
Dubbo,065070
Esperance,009789
Eucla,011003
Forrest,011052
Gabo Island,084016
Gayndah,039066
Georgetown,030124
Geraldton,008315
Giles,013017
Grove,094220
Gunnedah,055024
Halls Creek,002079
Hobart,094029
Horn Island,027058
Inverell,056242
Kalgoorlie-Boulder,012038
Kalumburu,001019
Katanning,010916
Kerang,080023
Kyancutta,018044
Larapuna (Eddystone Point),092045
Launceston Airport,091311
Laverton RAAF,087031
Learmonth,005007
Longreach,036031
Low Head,091293
Mackay,033119
Marble Bar,004106
Marree,017126
Meekatharra,007045
Melbourne,086338
Merredin,010092
Mildura,076031
Miles,042112
Morawa,008296
Moree,053115
Moruya Heads,069018
Mount Gambier,026021
Nhill,078015
Normanton,029063
Nowra,068072
Nuriootpa,023373
Oodnadatta,017043
Orbost,084145
Palmerville,028004
Perth,009021
Point Perpendicular,068151
Port Hedland,004032
Port Lincoln,018192
Port Macquarie,060139
Rabbit Flat,015666
Richmond (NSW),067105
Richmond (Qld),030161
Robe,026026
Rockhampton,039083
Rutherglen,082039
Sale,085072
Scone,061363
Snowtown,021133
St George,043109
Sydney,066062,066214
Tarcoola,016098
Tennant Creek,015135
Thargomindah,045025
Tibooburra,046126
Townsville,032040
Victoria River Downs,014825
Wagga Wagga,072150
Walgett,052088
Wandering,010917
Weipa,027045
Wilcannia,046012
Williamtown,061078
Wilsons Promontory,085096
Wittenoom,005098
Woomera,016001
Wyalong,050017
Yamba,058012
