Max_min: Daily
Station	Date(NZST)	Tmax(C)	Per(Hrs)	Tmin(C)	Per(Hrs)	Tgmin(C)	Per(Hrs)	Tmean(C)	RHmean(%)	Per(Hrs)	Freq
6169	19400430:0900	21.0	24	13.3	24	10.9	24	-	-	-	D
6169	19400501:0900	20.0	24	13.1	24	10.6	24	-	-	-	D
6169	19400502:0900	20.1	24	13.6	24	10.9	24	-	-	-	D
6169	19400503:0900	20.8	24	17.8	24	16.1	24	-	-	-	D
6169	19400504:0900	21.8	24	18.9	24	17.5	24	-	-	-	D
6169	19400505:0900	21.9	24	18.7	24	18.2	24	-	-	-	D
6169	19400506:0900	22.6	24	16.7	24	14.4	24	-	-	-	D
6169	19400507:0900	21.8	24	15.0	24	13.2	24	-	-	-	D
6169	19400508:0900	21.1	24	15.4	24	13.9	24	-	-	-	D
6169	19400509:0900	21.7	24	16.1	24	14.1	24	-	-	-	D
6169	19400510:0900	21.9	24	17.1	24	15.0	24	-	-	-	D
6169	19400511:0900	21.6	24	17.2	24	15.0	24	-	-	-	D
6169	19400512:0900	20.0	24	15.6	24	14.0	24	-	-	-	D
6169	19400513:0900	19.9	24	15.3	24	12.8	24	-	-	-	D
6169	19400514:0900	20.2	24	14.4	24	11.9	24	-	-	-	D
6169	19400515:0900	20.6	24	13.3	24	11.1	24	-	-	-	D
6169	19400516:0900	19.7	24	13.6	24	11.7	24	-	-	-	D
6169	19400517:0900	20.2	24	13.1	24	12.2	24	-	-	-	D
6169	19400518:0900	18.2	24	14.4	24	13.3	24	-	-	-	D
6169	19400519:0900	20.4	24	16.3	24	15.0	24	-	-	-	D
6169	19400520:0900	21.3	24	17.3	24	16.1	24	-	-	-	D
6169	19400521:0900	20.5	24	14.7	24	12.7	24	-	-	-	D
6169	19400522:0900	20.0	24	15.4	24	13.6	24	-	-	-	D
6169	19400523:0900	20.1	24	16.7	24	15.6	24	-	-	-	D
6169	19400524:0900	19.3	24	15.6	24	13.4	24	-	-	-	D
6169	19400525:0900	19.6	24	15.3	24	12.9	24	-	-	-	D
6169	19400526:0900	19.4	24	14.4	24	12.2	24	-	-	-	D
