Auckland,1427,A64871,-36.853,174.767,49,G,N/A        ,null      ,1950/12/31,0    ,'Seven-station' series,Albert Park
Auckland,1427,A64871,-36.853,174.767,49,G,N/A        ,1951/01/01,1976/03/31,0    ,'Seven-station' series,Albert Park
Auckland,1945,C64971,-36.970,174.776,2,G,N/A         ,1976/04/01,1998/07/31,0    ,'Seven-station' series,Mangere
Auckland,1962,C74082,-37.00813,174.78873,7,H,N/A     ,1998/08/01,null      ,0    ,'Seven-station' series,Auckland Aero
Dunedin,5380,I50857,-45.850,170.500,94,W,N/A         ,null      ,1912/12/31,0    ,'Seven-station' series,Leith Valley
Dunedin,5375,I50852,-45.860,170.522,73,G,N/A         ,1913/01/01,1942/11/30,0    ,'Seven-station' series,Btl Gardens
Dunedin,5379,I50856,-45.867,170.500,210,W,N/A        ,1942/12/01,1947/05/31,0    ,'Seven-station' series,Beta St
Dunedin,5402,I50951,-45.904,170.513,2,G,N/A          ,1947/06/01,1960/10/31,0    ,'Seven-station' series,Musselburgh
Dunedin,5402,I50951,-45.904,170.513,2,G,N/A          ,1960/11/01,1997/08/31,0    ,'Seven-station' series,Musselburgh
Dunedin,15752,I50954,-45.90129,170.51470,4,H,Niwa    ,1997/09/01,null      ,0    ,'Seven-station' series,Musselburgh Ews
Masterton,2473,D05964,-40.980,175.611,114,G,N/A      ,null      ,1920/04/30,0    ,'Seven-station' series,Waingawa
Masterton,2473,D05964,-40.980,175.611,114,G,N/A      ,1920/06/01,1942/09/30,0    ,'Seven-station' series,Waingawa
Masterton,2473,D05964,-40.980,175.611,114,G,N/A      ,1942/10/01,1990/12/31,0    ,'Seven-station' series,Waingawa
Masterton,2612,D15064,-41.016,175.622,91,G,Metservice,1991/01/01,2009/10/30,0    ,'Seven-station' series,East Taratahi AWS
Masterton,21938,D15234,-41.25231,175.38985,20,H,Niwa ,2009/11/01,null      ,0    ,'Seven-station' series,Martinborough Ews
Hokitika,3907,F20791,-42.722,170.963,2,G,Metservice  ,null      ,1912/08/31,0    ,'Seven-station' series,Hokitika Town
Hokitika,3907,F20791,-42.722,170.963,2,G,Metservice  ,1912/09/01,1928/10/31,0    ,'Seven-station' series,Hokitika Town
Hokitika,3907,F20791,-42.722,170.963,2,G,Metservice  ,1928/11/01,1944/12/31,0    ,'Seven-station' series,Hokitika Town
Hokitika,37939,F20795,-42.729,170.960,4,G,N/A        ,1945/01/01,1963/12/30,0    ,'Seven-station' series,Hokitika Southside
Hokitika,3909,F20793,-42.712,170.984,39,G,N/A        ,1964/01/01,1967/10/31,0    ,'Seven-station' series,Hokitika Aero
Hokitika,3909,F20793,-42.712,170.984,39,G,N/A        ,1967/11/01,null      ,0    ,'Seven-station' series,Hokitika Aero
Lincoln,4881,H32641,-43.648,172.463,11,G,N/A         ,null      ,1915/11/30,0    ,'Seven-station' series,Lincoln
Lincoln,4881,H32641,-43.648,172.463,11,G,N/A         ,1915/12/01,1923/10/31,0    ,'Seven-station' series,Lincoln
Lincoln,4881,H32641,-43.648,172.463,11,G,N/A         ,1923/11/01,1925/12/31,0    ,'Seven-station' series,Lincoln
Lincoln,4881,H32641,-43.648,172.463,11,G,N/A         ,1926/01/01,1943/12/31,0    ,'Seven-station' series,Lincoln
Lincoln,4881,H32641,-43.648,172.463,11,G,N/A         ,1944/01/01,1964/04/30,0    ,'Seven-station' series,Lincoln
Lincoln,4881,H32641,-43.648,172.463,11,G,N/A         ,1964/05/01,1975/12/31,0    ,'Seven-station' series,Lincoln
Lincoln,4881,H32641,-43.648,172.463,11,G,N/A         ,1976/01/01,1987/05/31,0    ,'Seven-station' series,Lincoln
Lincoln,4882,H32642,-43.628,172.468,12,G,N/A         ,1987/06/01,1999/12/31,0    ,'Seven-station' series,Lincoln Broadfield EDL
Lincoln,17603,H32645,-43.62622,172.47040,18,H,Niwa/Plant & Food Research,2000/01/01,null,0    ,'Seven-station' series,Lincoln Broadfield EWS
Nelson,4244,G13231,-41.275,173.295,10,G,N/A          ,null      ,1920/11/30,0    ,'Seven-station' series,Nelson
Nelson,4244,G13231,-41.275,173.295,10,G,N/A          ,1920/12/31,1931/12/31,0    ,'Seven-station' series,Nelson
Nelson,4239,G13211,-41.293,173.099,17,G,N/A          ,1932/01/01,1996/11/30,0    ,'Seven-station' series,Appleby
Nelson,4241,G13222,-41.299,173.226,2,G,N/A           ,1996/12/01,1997/05/31,0    ,'Seven-station' series,Nelson Aero
Nelson,4241,G13222,-41.299,173.226,2,G,N/A           ,1997/06/01,null      ,0    ,'Seven-station' series,Nelson Aero
Wellington,3431,E14370,-41.300,174.783,34,W,N/A      ,null      ,1912/06/30,0    ,'Seven-station' series,Buckle St
Wellington,3391,E14278,-41.283,174.783,3,W,N/A       ,1912/07/01,1927/12/31,0    ,'Seven-station' series,Thorndon
Wellington,3385,E14272,-41.286,174.767,125,G,Metservice,1928/01/01,2005/08/31,0  ,'Seven-station' series,Kelburn
Wellington,25354,E1427P,-41.28445,174.76794,125,H,Metservice,2005/09/01,null,0   ,'Seven-station' series,Kelburn Aws
