Year, Month, Day,     Extent,    Missing, Source Data
YYYY,    MM,  DD, 10^6 sq km, 10^6 sq km, Source data product web sites: http://nsidc.org/data/nsidc-0081.html and http://nsidc.org/data/nsidc-0051.html
1978,    10,  26,     10.231,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.10.26/nt_19781026_n07_v1.1_n.bin']
1978,    10,  28,     10.420,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.10.28/nt_19781028_n07_v1.1_n.bin']
1978,    10,  30,     10.557,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.10.30/nt_19781030_n07_v1.1_n.bin']
1978,    11,  01,     10.670,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.01/nt_19781101_n07_v1.1_n.bin']
1978,    11,  03,     10.777,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.03/nt_19781103_n07_v1.1_n.bin']
1978,    11,  05,     10.968,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.05/nt_19781105_n07_v1.1_n.bin']
1978,    11,  07,     11.080,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.07/nt_19781107_n07_v1.1_n.bin']
1978,    11,  09,     11.189,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.09/nt_19781109_n07_v1.1_n.bin']
1978,    11,  11,     11.314,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.11/nt_19781111_n07_v1.1_n.bin']
1978,    11,  13,     11.460,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.13/nt_19781113_n07_v1.1_n.bin']
1978,    11,  15,     11.539,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.15/nt_19781115_n07_v1.1_n.bin']
1978,    11,  17,     11.696,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.17/nt_19781117_n07_v1.1_n.bin']
1978,    11,  19,     11.870,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.19/nt_19781119_n07_v1.1_n.bin']
1978,    11,  21,     12.053,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.21/nt_19781121_n07_v1.1_n.bin']
1978,    11,  23,     12.274,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.23/nt_19781123_n07_v1.1_n.bin']
1978,    11,  25,     12.441,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.25/nt_19781125_n07_v1.1_n.bin']
1978,    11,  27,     12.662,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.27/nt_19781127_n07_v1.1_n.bin']
1978,    11,  29,     12.684,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.29/nt_19781129_n07_v1.1_n.bin']
1978,    12,  01,     12.725,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.01/nt_19781201_n07_v1.1_n.bin']
1978,    12,  03,     12.660,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.03/nt_19781203_n07_v1.1_n.bin']
1978,    12,  05,     12.785,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.05/nt_19781205_n07_v1.1_n.bin']
1978,    12,  07,     13.051,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.07/nt_19781207_n07_v1.1_n.bin']
1978,    12,  09,     13.143,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.09/nt_19781209_n07_v1.1_n.bin']
1978,    12,  11,     13.437,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.11/nt_19781211_n07_v1.1_n.bin']
1978,    12,  13,     13.603,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.13/nt_19781213_n07_v1.1_n.bin']
1978,    12,  15,     13.649,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.15/nt_19781215_n07_v1.1_n.bin']
1978,    12,  17,     13.807,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.17/nt_19781217_n07_v1.1_n.bin']
1978,    12,  19,     13.892,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.19/nt_19781219_n07_v1.1_n.bin']
1978,    12,  21,     13.996,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.21/nt_19781221_n07_v1.1_n.bin']
1978,    12,  23,     14.189,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.23/nt_19781223_n07_v1.1_n.bin']
1978,    12,  25,     14.268,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.25/nt_19781225_n07_v1.1_n.bin']
1978,    12,  27,     14.383,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.27/nt_19781227_n07_v1.1_n.bin']
