03906620030128   363 -999
03906620030129   362  185
03906620030130   368  195
03906620030131   380  210
03906620030201   334  230
03906620030202   356  229
03906620030203   325  235
03906620030204   266  220
03906620030205   240  206
03906620030206   281  214
03906620030207   292  216
03906620030208   301  203
03906620030209   288  212
03906620030210   286  201
03906620030211   342  209
03906620030212   332  206
03906620030213   355  227
03906620030214   340  222
03906620030215   329  195
03906620030216   321  187
03906620030217   333  189
03906620030218   339  204
03906620030219   347  224
03906620030220   342  234
03906620030221   303  230
03906620030222   300  223
03906620030223   328  220
03906620030224   337  225
03906620030225   301  226
03906620030226   304  230
03906620030227   310  228
03906620030228   310  232
03906620030301   339  233
03906620030302   297  163
03906620030303   296  175
03906620030304   297  165
03906620030305   302  189
03906620030306   299  190
03906620030307   288  186
03906620030308   309  158
03906620030309   323  168
03906620030310   327  173
03906620030311   302  197
03906620030312   262  210
03906620030313   235  192
03906620030314   297  164
03906620030315   310  172
03906620030316   312  166
03906620030317   314  179
03906620030318   297  154
03906620030319   309  176
03906620030320   312  172
03906620030321   323  187
03906620030322   324  186
03906620030323   308  182
03906620030324   316  185
03906620030325   310  195
03906620030326   315  172
03906620030327   294  186
03906620030328   274  197
03906620030329   310  177
03906620030330   307  187
03906620030331   328  173
03906620030401   302  172
03906620030402   303  161
03906620030403   314  178
03906620030404   288  189
03906620030405   275  163
03906620030406   266  134
03906620030407   280  128
03906620030408   281  132
03906620030409   299  120
03906620030410   301  140
03906620030411   292  202
03906620030412   304  193
03906620030413   307  205
03906620030414   281  204
03906620030415   307  186
03906620030416   292  128
03906620030417   263  186
03906620030418   280  109
03906620030419   270   94
03906620030420   278  107
03906620030421   282  156
03906620030422   254  148
03906620030423   268  116
03906620030424   275  119
03906620030425   274  141
03906620030426   269  186
03906620030427   255  189
03906620030428   275  187
03906620030429   293  159
03906620030430   288  139
03906620030501   275  119
03906620030502   225  160
03906620030503   255  128
03906620030504   256  122
03906620030505   230  133
03906620030506   246  117
03906620030507   258  127
03906620030508   241  125
03906620030509   254  115
03906620030510   258  122
03906620030511   262  101
03906620030512   216  111
03906620030513   254  132
03906620030514   262  126
03906620030515   273  171
03906620030516   267  151
03906620030517   265  105
03906620030518   300   93
03906620030519   320  153
03906620030520   318  167
03906620030521   264   74
03906620030522   248   82
03906620030523   236   72
03906620030524   238   39
03906620030525   245   48
03906620030526   245   38
03906620030527   242   44
03906620030528   245   69
03906620030529   249  136
03906620030530   248  136
03906620030531   227  120
03906620030601   259  108
03906620030602   267  122
03906620030603   282  180
03906620030604   267  175
03906620030605   269  167
03906620030606   262   81
03906620030607   253  107
03906620030608   208   72
03906620030609   231   30
03906620030610   241   84
03906620030611   209   69
03906620030612   243   85
03906620030613   245   73
03906620030614   244   70
03906620030615   229   33
03906620030616   201   24
03906620030617   213   44
03906620030618   233   83
03906620030619   241   95
03906620030620   237  100
03906620030621   244  132
03906620030622   186   70
03906620030623   204  105
03906620030624   186   26
