1939,2779,2704,2764,2674,2549,2439,2399,2319,2434,2584,2734,2849
1940,2869,2794,2724,2614,2533,2444,2384,2394,2449,2499,2714,2808
1941,2854,2764,2804,2639,2539,2408,2329,2279,2429,2504,2689,2754
1942,2874,2859,2859,2764,2629,2529,2449,2483,2489,2564,2679,2759
1943,2683,2719,2719,2714,2594,2408,2414,2489,2569,2658,2769,2883
1944,2908,2833,2679,2639,2534,2429,2379,2394,2439,2504,2633,2769
1945,2774,2799,2719,2658,2534,2439,2344,2464,2524,2604,2683,2799
1946,2833,2829,2824,2669,2569,2379,2359,2389,2464,2539,2694,2774
1947,2829,2769,2829,2729,2559,2469,2439,2469,2574,2554,2729,2789
1948,2818,2775,2789,2653,2629,2430,2456,2387,2480,2615,2721,2754
1949,2757,2804,2800,2624,2474,2371,2380,2409,2480,2710,2677,2803
1950,2784,2840,2808,2676,2589,2466,2475,2419,2510,2654,2707,2705
1951,2749,2779,2742,2621,2499,2399,2440,2449,2470,2626,2738,2835
1952,2825,2809,2758,2741,2660,2560,2452,2486,2497,2638,2805,2853
1953,2806,2829,2716,2681,2539,2460,2371,2362,2453,2665,2842,2831
1954,2795,2831,2754,2680,2599,2463,2396,2426,2466,2614,2710,2718
1955,2797,2796,2741,2705,2623,2453,2441,2419,2465,2650,2689,2770
1956,2799,2804,2730,2693,2633,2515,2465,2413,2475,2710,2762,2833
1957,2778,2670,2745,2673,2497,2384,2409,2394,2444,2614,2754,2814
1958,2819,2829,2854,2774,2689,2514,2458,2494,2559,2608,2689,2789
1959,2794,2689,2679,2658,2519,2429,2333,2344,2489,2584,2764,2899
1960,2839,2814,2699,2654,2569,2429,2314,2394,2519,2629,2754,2779
1961,2699,2839,2769,2714,2529,2419,2424,2384,2444,2569,2739,2804
1962,2869,2794,2809,2714,2614,2509,2394,2414,2534,2694,2764,2789
1963,2819,2764,2789,2689,2594,2454,2358,2449,2489,2539,2704,2814
1964,2909,2929,2779,2724,2574,2519,2514,2489,2569,2714,2744,2783
1965,2754,2739,2758,2664,2614,2429,2239,2369,2464,2544,2694,2794
1966,2819,2849,2829,2704,2554,2429,2384,2394,2489,2544,2658,2709
1967,2804,2769,2739,2624,2494,2404,2324,2464,2474,2604,2699,2794
1968,2808,2744,2774,2674,2633,2464,2424,2464,2509,2594,2708,2789
1969,2783,2799,2804,2644,2644,2494,2424,2449,2489,2584,2754,2874
1970,2849,2774,2754,2689,2583,2484,2414,2424,2554,2624,2733,2774
1971,2884,2809,2744,2644,2594,2449,2358,2479,2559,2749,2834,2859
1972,2819,2729,2714,2614,2459,2369,2369,2364,2379,2583,2719,2749
1973,2869,2924,2784,2684,2654,2579,2474,2504,2544,2654,2804,2794
1974,2739,2754,2739,2724,2559,2429,2409,2484,2584,2664,2769,2809
1975,2849,2784,2814,2699,2564,2404,2459,2469,2569,2709,2789,2784
1980,2960,2895,2781,2664,2629,2500,2446,2431,2475,2641,2732,2763
1981,2744,2837,2800,2785,2608,2548,2527,2460,2500,2626,2804,2950
1982,2936,2841,2816,2676,2596,2391,2366,2321,2481,2531,2656,2866
1983,2891,2781,2806,2821,2706,2526,2406,2451,2611,2716,2846,2761
1984,2801,2756,2801,2761,2601,2496,2421,2481,2616,2646,2796,2921
1985,2861,2801,2806,2766,2641,2461,2366,2471,2516,2711,2821,2891
1986,2876,2871,2771,2731,2631,2511,2491,2486,2561,2751,2771,2826
1987,2946,2891,2836,2716,2656,2566,2411,2456,2526,2711,2841,2871
1988,2931,2826,2791,2781,2681,2526,2516,2496,2551,2751,2791,2841
1989,2821,2776,2821,2676,2611,2476,2441,2431,2581,2716,2791,2776
1990,2846,2941,2846,2746,2706,2566,2516,2416,2456,2634,2774,2794
1991,2884,2819,2724,2699,2569,2539,2484,2499,2529,2659,2749,2894
1992,2937,2956,2838,2731,2673,2498,2450,2474,2601,2587,2702,2778
1993,2752,2762,2809,2671,2557,2518,2495,2438,2521,2627,2775,2824
1994,2979,2959,2896,2677,2597,2490,2383,2390,2500,2655,2774,2792
1995,2851,2940,2829,2795,2650,2496,2470,2429,2565,2706,2851,2933
1996,2898,2832,2819,2845,2695,2583,2431,2502,2546,2711,2834,2949
1998,2827,2917,2893,2874,2731,2620,2580,2558,2647,2776,2769,2839
2000,2829,2819,2809,2789,2659,2469,2359,2459,2549,2679,2819,2799
2001,2849,2819,2849,2769,2609,2549,2429,2429,2579,2669,2839,2959
2002,2999,2989,2859,2769,2629,2569,2449,2449,2509,2649,2719,2849
2003,2849,2919,2869,2769,2649,2559,2489,2439,2509,2659,2729,2899
2005,2920,2974,2863,2784,2624,2582,2498,2431,2556,2738,2759,2949
2006,2939,2908,2863,2800,2657,2566,2500,2431,2540,2634,2719,2789
2007,2849,2819,2854,2709,2689,2569,2389,2469,2509,2669,2729,2849
2008,2879,2839,2759,2709,2559,2519,2479,2479,2579,2649,2819,2959
2009,2929,2919,2849,2759,2629,2569,2469,2509,2589,2609,2729,2839
2010,2849,2929,2879,2799,2699,2619,2609,2569,2689,2690,2700,2850
2012,2870,2840,2800,2700,2620,2460,2450,2430,2520,2610,2690,2800
2013,2860,2840,2740,2700,2590,2510,2420,2460,2530,2679,2750,2790
2014,2840,2810,2760,2730,2610,2530,2390,2420,2480,2565,2740,2880
2015,2870,2850,2780,2720,2630,2520,2450,2445,2515,2555,2760,2815
2016,2930,2975,2905,2795,2745,2600,2545,2440,2620,2695,2800,2860
2017,2910,2915,2825,2765,2670,2535,2525,2505,2540,2705,2775,2885
2018,2885,2855,2830,2715,2595,2475,2485,2495,2525,2670,2830,2880
2019,2770,2815,2800,2755,2605,2500,2460,2485,2510,2620,2725,2840
2020,2925,3020,2870,2790,2605,2565,2475,2490,2565,2665,2770,2885
2021,2865,2840,2800,2725,2665,2560,2570,2535,2545,2780,2885,2925
2022,2915,2885,2910,2785,2700,2575,2460,2550,2680,2765,2875,2860
2023,2825,2860,2855,2835,2685,2640,2545,2465,2530,2610,2725,2830
2024,2900,2940,2885,2795,2675,2570,2470,2530,2585,2680,2825,2910
