1996,12.25
1997,13.27
1998,13.52
1999,12.77
2000,12.89
2001,13.16
2002,13.42
2003,13.36
2004,13.60
2005,13.73
2006,13.81
2007,14.15
2008,13.10
2009,14.03
2010,13.36
2011,13.17
2012,12.71
2013,13.83
2014,13.94
2015,13.60
2016,14.24
2017,13.87
2018,14.28
2019,14.69
2020,13.98
2021,12.91
2022,13.16
2023,13.78
2024,14.37
2025,14.13
