Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1939,,,0,
1940,,,0,
1941,,,0,
1942,,,0,
1943,13.816529,27.955097,1,"=""017043"""
1944,13.946301,29.000822,1,"=""017043"""
1945,13.895799,27.858707,1,"=""017043"""
1946,13.309366,28.106077,1,"=""017043"""
1947,14.817416,28.439325,1,"=""017043"""
1948,,,0,
1949,13.555525,27.650553,1,"=""017043"""
1950,14.402198,27.846428,1,"=""017043"""
1951,,,0,
1952,13.896944,27.813889,1,"=""017043"""
1953,14.350959,28.730137,1,"=""017043"""
1954,14.042106,28.429363,1,"=""017043"""
1955,14.711507,27.77233,1,"=""017043"""
1956,14.016209,28.178297,1,"=""017043"""
1957,15.053572,29.596977,1,"=""017043"""
1958,14.601099,28.733698,1,"=""017043"""
1959,14.8483515,29.288187,1,"=""017043"""
1960,14.313187,28.955069,1,"=""017043"""
1961,14.386501,29.544077,1,"=""017043"""
1962,14.529363,29.13712,1,"=""017043"""
1963,15.014521,29.289864,1,"=""017043"""
1964,13.963661,28.891804,1,"=""017043"""
1965,14.548351,29.805494,1,"=""017043"""
1966,13.787397,28.120821,1,"=""017043"""
1967,14.143836,29.255342,1,"=""017043"""
1968,14.968306,28.759836,1,"=""017043"""
1969,14.550959,29.10493,1,"=""017043"""
1970,,,0,
1971,,,0,
1972,14.250274,29.564207,1,"=""017043"""
1973,15.888494,29.097809,1,"=""017043"""
1974,,,0,
1975,14.469041,28.56959,1,"=""017043"""
1976,13.135069,27.961643,1,"=""017043"""
1977,14.231868,29.568493,1,"=""017043"""
1978,14.314795,28.300549,1,"=""017043"""
1979,15.152747,29.270056,1,"=""017043"""
1980,14.790164,30.405737,1,"=""017043"""
1981,14.79726,29.404932,1,"=""017043"""
1982,14.467398,29.462465,1,"=""017043"""
1983,14.927472,29.631319,1,"=""017043"""
1984,13.804132,28.405737,1,"=""017043"""
1985,,,0,
1986,,,0,
1987,,,0,
1988,,,0,
1989,,,0,
1990,,,0,
1991,,,0,
1992,,,0,
1993,,,0,
1994,,,0,
1995,,,0,
1996,,,0,
1997,,,0,
1998,,,0,
1999,15.227823,29.620329,1,"=""017043"""
2000,15.556044,29.23674,1,"=""017043"""
2001,,,0,
2002,14.073184,29.9961,1,"=""017043"""
2003,14.941096,29.693956,1,"=""017043"""
2004,15.302732,29.815342,1,"=""017043"""
2005,15.051507,30.310684,1,"=""017043"""
2006,,,0,
2007,15.3619175,30.067945,1,"=""017043"""
2008,14.77377,29.085245,1,"=""017043"""
2009,15.669589,29.946703,1,"=""017043"""
2010,14.691233,27.776987,1,"=""017043"""
2011,15.195068,29.201096,1,"=""017043"""
2012,14.316621,29.680332,1,"=""017043"""
2013,15.715069,30.950686,1,"=""017043"""
2014,15.7109585,30.521917,1,"=""017043"""
2015,15.252198,29.763462,1,"=""017043"""
2016,15.360274,29.177322,1,"=""017043"""
