id,gtng_region
1665,02_western_canada_usa
205,02_western_canada_usa
218,02_western_canada_usa
3941,02_western_canada_usa
1335,02_western_canada_usa
1336,02_western_canada_usa
1337,02_western_canada_usa
1338,02_western_canada_usa
1339,02_western_canada_usa
1340,02_western_canada_usa
183,01_alaska
124,01_alaska
150,01_alaska
3924,02_western_canada_usa
89,02_western_canada_usa
184,01_alaska
78,01_alaska
94,01_alaska
1381,01_alaska
75,02_western_canada_usa
818,13_central_asia
165854,13_central_asia
