MIN TEMP       300004 19500501 20201231 missing_value=99999.9 MACQUARIE ISLAND                          
19610101 19610131     4.3
19610201 19610228     3.4
19610301 19610331     3.0
19610401 19610430     3.2
19610501 19610531     1.8
19610601 19610630     0.9
19610701 19610731     0.0
19610801 19610831     2.1
19610901 19610930     0.6
19611001 19611031     1.9
19611101 19611130     2.7
19611201 19611231     4.2
19620101 19620131     4.5
19620201 19620228     5.5
19620301 19620331     4.7
19620401 19620430     3.5
19620501 19620531     3.3
19620601 19620630     2.2
19620701 19620731     1.6
19620801 19620831     1.4
19620901 19620930     1.7
19621001 19621031     2.5
19621101 19621130     3.2
19621201 19621231     4.2
19630101 19630131     4.7
19630201 19630228     5.0
19630301 19630331     3.8
19630401 19630430     2.9
19630501 19630531     0.1
19630601 19630630     1.8
19630701 19630731     1.2
19630801 19630831     0.2
19630901 19630930     2.1
19631001 19631031     1.7
19631101 19631130     1.3
19631201 19631231     2.6
19640101 19640131     5.3
19640201 19640229     5.1
19640301 19640331     4.2
19640401 19640430     2.9
19640501 19640531     1.8
19640601 19640630     1.1
19640701 19640731     2.2
19640801 19640831     0.2
19640901 19640930     1.6
19641001 19641031     2.6
19641101 19641130     2.6
19641201 19641231     4.9
19650101 19650131     5.5
19650201 19650228     5.2
19650301 19650331     5.3
19650401 19650430     3.5
19650501 19650531     2.7
19650601 19650630     2.7
19650701 19650731     1.7
19650801 19650831     2.0
19650901 19650930     2.4
19651001 19651031     1.5
19651101 19651130     2.1
19651201 19651231     3.1
19660101 19660131     4.2
19660201 19660228     5.3
19660301 19660331     4.8
19660401 19660430     3.6
19660501 19660531     3.2
19660601 19660630     1.0
19660701 19660731     1.3
19660801 19660831     1.8
19660901 19660930     1.7
19661001 19661031     1.3
19661101 19661130     2.6
19661201 19661231     3.6
19670101 19670131     5.5
19670201 19670228     4.8
19670301 19670331     4.7
19670401 19670430     2.9
19670501 19670531     2.3
19670601 19670630     2.6
19670701 19670731     2.2
19670801 19670831     2.3
19670901 19670930     2.1
19671001 19671031     2.1
19671101 19671130     1.7
19671201 19671231     4.1
19680101 19680131     5.1
19680201 19680229     4.9
19680301 19680331     5.0
19680401 19680430     4.5
19680501 19680531     3.8
19680601 19680630     2.7
19680701 19680731     0.9
19680801 19680831     2.2
19680901 19680930     0.9
19681001 19681031     1.1
19681101 19681130     2.9
19681201 19681231     4.6
19690101 19690131     6.0
19690201 19690228     5.5
19690301 19690331     3.5
19690401 19690430     2.8
19690501 19690531     2.7
19690601 19690630     0.5
19690701 19690731     1.3
19690801 19690831     1.5
19690901 19690930     1.1
19691001 19691031     0.0
19691101 19691130     2.8
19691201 19691231     4.1
19700101 19700131     4.6
19700201 19700228     4.6
19700301 19700331     4.8
19700401 19700430     3.3
19700501 19700531     2.8
19700601 19700630     2.2
19700701 19700731     1.8
19700801 19700831     2.0
19700901 19700930    -0.3
19701001 19701031     1.9
19701101 19701130     3.5
19701201 19701231     4.3
19710101 19710131     6.3
19710201 19710228     6.4
19710301 19710331     5.5
19710401 19710430     4.5
19710501 19710531     4.2
19710601 19710630     2.5
19710701 19710731     3.0
19710801 19710831     3.2
19710901 19710930     0.1
19711001 19711031     2.6
19711101 19711130     3.0
19711201 19711231     5.2
19720101 19720131     5.1
19720201 19720229     5.5
19720301 19720331     5.2
19720401 19720430     3.0
19720501 19720531     2.0
19720601 19720630    -0.1
19720701 19720731     0.9
19720801 19720831     2.1
19720901 19720930     0.2
19721001 19721031     0.8
19721101 19721130     2.0
19721201 19721231     3.7
19730101 19730131     4.9
19730201 19730228     4.9
19730301 19730331     4.3
19730401 19730430     3.3
19730501 19730531     1.6
19730601 19730630     1.6
19730701 19730731     3.7
19730801 19730831     2.3
19730901 19730930     1.9
19731001 19731031     1.3
19731101 19731130     1.7
19731201 19731231     4.3
19740101 19740131     5.3
19740201 19740228     5.6
19740301 19740331     4.8
19740401 19740430     3.9
19740501 19740531     1.9
19740601 19740630     1.0
19740701 19740731     1.0
19740801 19740831     0.6
19740901 19740930     2.3
19741001 19741031     1.8
19741101 19741130     3.4
19741201 19741231     6.1
19750101 19750131     7.3
19750201 19750228     6.0
19750301 19750331     6.3
19750401 19750430     3.7
19750501 19750531     1.7
19750601 19750630     1.9
19750701 19750731     1.1
19750801 19750831     0.7
19750901 19750930     0.9
19751001 19751031     1.3
19751101 19751130     3.0
19751201 19751231     3.5
19760101 19760131     4.6
19760201 19760229     5.2
19760301 19760331     4.9
19760401 19760430     3.4
19760501 19760531     2.2
19760601 19760630     0.3
19760701 19760731    -0.2
19760801 19760831     1.5
19760901 19760930     1.7
19761001 19761031     1.6
19761101 19761130     2.7
19761201 19761231     5.2
19770101 19770131     5.7
19770201 19770228     6.4
19770301 19770331     5.4
19770401 19770430     2.9
19770501 19770531     2.4
19770601 19770630     1.4
19770701 19770731     2.0
19770801 19770831     2.8
19770901 19770930     1.4
19771001 19771031     0.8
19771101 19771130     2.5
19771201 19771231     4.4
19780101 19780131     5.4
19780201 19780228     5.7
19780301 19780331     4.2
19780401 19780430     4.1
19780501 19780531     3.9
19780601 19780630     1.4
19780701 19780731     3.2
19780801 19780831     2.0
19780901 19780930     2.5
19781001 19781031     2.5
19781101 19781130     2.5
19781201 19781231     4.4
19790101 19790131     5.1
19790201 19790228     4.5
19790301 19790331     4.9
19790401 19790430     3.9
19790501 19790531     2.5
19790601 19790630     3.1
19790701 19790731     2.7
19790801 19790831     1.8
19790901 19790930     0.8
19791001 19791031     2.8
19791101 19791130     2.9
19791201 19791231     4.2
19800101 19800131     6.0
19800201 19800229     6.4
19800301 19800331     5.7
19800401 19800430     5.2
19800501 19800531     3.3
19800601 19800630     2.2
19800701 19800731     2.4
19800801 19800831     2.1
19800901 19800930     2.8
19801001 19801031     2.3
19801101 19801130     2.3
19801201 19801231     4.6
19810101 19810131     4.9
19810201 19810228     5.0
19810301 19810331     5.7
19810401 19810430     4.7
19810501 19810531     3.6
19810601 19810630     2.2
19810701 19810731     2.2
19810801 19810831     2.0
19810901 19810930     1.8
19811001 19811031     2.6
19811101 19811130     3.2
19811201 19811231     5.0
19820101 19820131     4.9
19820201 19820228     5.2
19820301 19820331     5.3
19820401 19820430     4.4
19820501 19820531     3.4
19820601 19820630     2.7
19820701 19820731     1.6
19820801 19820831     0.5
19820901 19820930     1.7
19821001 19821031     1.3
19821101 19821130     1.1
19821201 19821231     2.9
19830101 19830131     4.8
19830201 19830228     5.0
19830301 19830331     2.3
19830401 19830430     2.3
19830501 19830531     1.4
19830601 19830630     1.3
19830701 19830731     1.6
19830801 19830831     1.5
19830901 19830930     1.1
19831001 19831031     1.9
19831101 19831130     3.4
19831201 19831231     3.3
19840101 19840131     5.4
19840201 19840229     5.8
19840301 19840331     6.5
19840401 19840430     3.1
19840501 19840531     3.0
19840601 19840630     2.4
19840701 19840731     2.3
19840801 19840831     1.6
19840901 19840930     2.2
19841001 19841031     2.3
19841101 19841130     3.1
19841201 19841231     5.1
19850101 19850131     6.8
19850201 19850228     6.5
19850301 19850331     5.3
19850401 19850430     4.2
19850501 19850531     2.9
19850601 19850630     2.7
19850701 19850731     1.8
19850801 19850831     2.2
19850901 19850930     1.5
