Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1910,22.917223,30.901644,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1911,22.328375,30.767307,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1912,22.688494,31.025682,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1913,22.036638,30.372055,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1914,22.416712,30.609917,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1915,23.200827,31.113972,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1916,22.99363,31.447815,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1917,22.622992,30.750275,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1918,22.421762,30.711508,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1919,22.092329,30.613462,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1920,23.331318,31.33022,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1921,22.79146,31.226849,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1922,22.204384,30.716164,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1923,21.879063,30.71621,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1924,22.760548,31.484066,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1925,21.954794,30.477716,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1926,,,0,
1927,22.676033,31.36685,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1928,22.8,31.215935,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1929,22.049725,30.749315,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1930,22.54411,30.837809,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1931,22.975,31.305769,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1932,22.670492,30.949453,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1933,22.702192,30.707714,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1934,22.586302,30.696438,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1935,22.389315,30.726576,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1936,23.026123,31.172394,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1937,22.793425,31.344444,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1938,22.970959,31.420822,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1939,22.599176,30.756987,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1940,22.196447,30.714754,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1941,,,0,
1942,,,0,
1943,22.44338,30.619778,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1944,,,0,
1945,22.64737,31.252077,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1946,,,0,
1947,23.230494,31.333792,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1948,22.824862,31.211813,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1949,22.300549,30.681044,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1950,22.56887,30.7779,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1951,23.162466,31.360989,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1952,23.40934,31.588154,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1953,22.907671,31.035069,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1954,22.825754,31.117807,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1955,23.593151,31.392857,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1956,23.04836,30.937704,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1957,22.908493,31.03233,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1958,23.331593,32.017807,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1959,22.748219,31.328493,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1960,22.410412,31.010109,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1961,22.469973,31.217808,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1962,23.152056,31.582466,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1963,22.333426,30.940548,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1964,22.924862,31.465754,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
1965,22.26548,31.230684,1,"=""ea07cb4c-9b2a-4e9f-bf58-20ad67f38dd0"""
